age,ielts_score,CGPA,work_experience,financial_status,interview_country,visa_approved
21,8.9,2.29,3,High,Australia,0
23,8.5,3.02,4,Medium,Australia,1
28,7.4,2.3,1,High,Germany,0
31,8.6,2.88,0,High,UK,0
33,5.5,3.13,1,Medium,Canada,0
21,6.8,3.62,2,Medium,Australia,1
29,6.7,3.72,4,Medium,Canada,1
28,6.3,2.06,4,Medium,Canada,0
29,5.0,3.38,1,High,UK,0
24,8.6,2.82,2,High,Germany,0
21,8.1,2.99,0,Low,Australia,0
23,7.6,2.44,5,Medium,Australia,0
31,5.5,2.07,0,Medium,UK,0
34,6.5,3.67,3,High,USA,0
31,8.7,2.46,4,High,Canada,0
26,7.5,3.76,2,Medium,Australia,1
31,7.4,2.14,3,High,UK,0
32,8.7,2.82,2,High,Germany,0
27,7.2,3.48,4,Medium,UK,1
34,7.4,2.51,2,Medium,Australia,0
22,6.4,3.93,3,Medium,Australia,0
33,6.5,3.27,1,Medium,Australia,0
20,7.7,2.43,1,Medium,Canada,0
23,6.3,3.59,5,Low,Australia,0
21,7.2,3.97,1,Medium,Australia,1
27,6.1,2.5,3,High,Australia,0
23,5.7,3.65,5,Low,Germany,0
21,6.8,3.95,4,Medium,UK,1
33,5.9,2.44,4,Low,Germany,0
25,8.6,2.47,1,Low,Germany,0
25,6.2,3.43,0,Medium,Australia,0
29,7.4,3.9,4,High,Canada,1
23,6.1,3.39,3,Medium,USA,0
25,6.0,3.01,4,Medium,Australia,0
32,6.4,2.21,3,High,Germany,0
34,8.7,3.85,5,Low,UK,0
21,6.6,2.14,1,High,USA,0
29,8.3,2.42,5,High,Australia,0
31,5.8,2.9,3,High,Canada,0
21,5.2,3.0,2,Low,Germany,0
29,8.1,2.11,3,Medium,USA,0
33,7.2,2.16,2,Medium,UK,0
23,7.0,2.25,4,High,Australia,0
33,6.1,2.08,1,High,Canada,0
34,5.3,3.95,0,Medium,Australia,0
34,6.9,2.48,2,Low,Canada,0
27,8.5,3.76,2,Medium,USA,1
33,5.5,3.57,0,High,Canada,0
26,8.7,3.41,4,Medium,Germany,1
31,6.1,3.32,5,High,Canada,0
28,7.1,3.0,1,Medium,Canada,0
33,5.3,3.13,0,High,Australia,0
27,6.7,3.78,2,Medium,Australia,1
24,5.5,3.56,1,Medium,Australia,0
32,5.2,2.46,1,Medium,UK,0
21,8.9,2.21,5,High,Canada,0
34,7.9,2.59,0,Medium,Australia,0
24,7.9,2.27,5,High,Canada,0
27,5.4,3.91,1,Low,UK,0
29,8.7,2.77,3,Low,UK,0
28,6.9,2.35,1,High,Australia,0
31,8.4,3.24,2,Medium,Canada,1
31,5.1,2.8,0,High,UK,0
31,6.2,2.44,3,Medium,USA,0
32,9.0,2.12,1,High,UK,0
28,6.7,2.18,3,Medium,Australia,0
32,8.6,3.13,0,High,UK,0
34,6.3,3.5,2,High,Canada,0
32,7.1,3.85,3,Low,UK,0
20,8.4,3.17,0,Medium,Australia,0
28,7.4,3.31,4,Medium,USA,1
26,7.9,2.48,2,Medium,Australia,0
28,5.9,2.55,5,Low,UK,0
27,5.6,2.84,4,Low,UK,0
20,5.9,3.74,3,Low,Germany,0
31,7.0,2.87,0,Medium,USA,0
27,8.2,2.48,3,Medium,Australia,0
27,6.4,3.84,3,Low,Germany,0
34,7.3,2.82,4,Low,Germany,0
30,8.2,2.16,3,Medium,Australia,0
22,6.0,3.09,2,Medium,UK,0
20,8.5,3.25,2,Low,Australia,0
27,8.8,3.91,3,High,UK,1
22,5.2,3.61,3,High,UK,0
22,5.2,2.2,2,Low,UK,0
20,5.4,3.02,2,Medium,USA,0
30,8.1,2.87,3,High,UK,0
24,5.8,2.79,5,Low,Germany,0
29,7.9,2.28,5,High,UK,0
26,6.8,2.75,1,Low,UK,0
29,8.3,2.94,2,Medium,Australia,0
28,8.2,2.44,1,Medium,USA,0
31,8.8,3.15,1,Medium,Australia,1
26,6.0,2.44,4,High,Australia,0
28,5.9,2.24,2,Low,USA,0
27,5.1,3.97,2,Medium,USA,0
31,6.6,3.38,2,High,Australia,1
21,6.8,3.19,2,High,UK,1
20,8.9,2.66,4,Medium,UK,0
26,8.3,2.42,4,Low,UK,0
26,5.7,2.26,0,High,Australia,0
33,8.2,2.13,5,Medium,USA,0
27,5.7,3.4,5,High,Australia,0
24,5.3,2.55,4,Low,UK,0
22,8.3,2.64,5,Low,Australia,0
31,8.9,2.32,2,Medium,Germany,0
27,5.4,2.23,1,Low,Germany,0
25,8.3,2.99,2,High,Germany,0
30,8.4,3.46,2,Low,USA,0
22,5.5,3.98,1,High,Germany,0
20,6.1,2.68,1,Medium,USA,0
22,7.9,3.33,5,High,USA,1
24,8.2,2.23,3,Medium,USA,0
34,6.4,3.11,4,Medium,USA,0
33,5.6,3.04,0,Medium,USA,0
22,7.6,2.06,5,Low,Canada,0
20,7.8,2.97,4,Medium,USA,0
24,7.0,2.99,4,High,UK,0
29,5.6,2.74,0,High,UK,0
26,8.4,3.15,1,High,USA,1
34,7.6,2.09,1,High,Germany,0
33,8.5,3.69,5,Low,UK,0
26,8.7,3.04,5,Medium,USA,1
30,8.2,2.06,2,Medium,UK,0
28,8.8,3.97,0,Low,USA,0
34,8.8,2.76,5,High,Australia,0
34,7.5,3.97,2,Medium,Canada,1
29,7.9,2.36,3,Medium,USA,0
29,7.8,2.06,1,Low,UK,0
31,7.5,3.43,3,Low,UK,0
32,5.1,3.89,4,Medium,Australia,0
22,6.4,2.16,4,Low,Germany,0
34,5.4,3.47,0,Low,UK,0
26,6.2,2.14,0,High,USA,0
20,5.3,3.59,1,Medium,Australia,0
23,8.7,3.16,0,High,Canada,0
32,6.8,3.56,1,Low,Australia,0
23,5.8,2.74,3,Medium,USA,0
33,7.3,3.81,0,High,Germany,0
24,5.8,2.61,4,Low,UK,0
26,8.2,2.57,1,Medium,Australia,0
26,6.2,3.92,3,Medium,USA,0
32,6.3,2.25,2,Medium,USA,0
34,8.5,3.19,1,Low,UK,0
30,7.2,3.15,4,High,USA,1
32,8.5,2.47,0,High,USA,0
23,6.7,2.63,3,Low,USA,0
32,6.4,2.57,5,Medium,USA,0
26,7.0,3.69,2,High,USA,1
30,5.2,2.78,0,High,USA,0
22,5.6,2.72,1,High,Canada,0
25,5.9,3.27,4,Low,Australia,0
31,8.3,2.99,2,Medium,Australia,0
21,7.9,2.85,2,Medium,Germany,0
29,5.8,3.42,0,Medium,UK,0
32,6.1,2.83,3,Medium,Australia,0
33,8.8,2.44,4,High,Australia,0
28,5.3,3.48,3,High,Germany,0
24,7.2,2.14,3,Low,Canada,0
25,7.1,4.0,3,High,USA,1
31,7.9,3.19,0,Medium,Australia,0
31,6.0,2.43,3,Low,USA,0
31,8.7,2.4,2,Low,UK,0
31,6.6,2.55,5,High,Australia,0
23,6.1,3.76,4,Medium,Australia,0
33,6.3,3.65,2,High,UK,0
33,6.4,2.29,1,High,USA,0
30,5.8,3.2,3,High,Canada,0
29,8.7,3.82,3,Medium,UK,1
26,5.7,3.47,5,Low,Canada,0
31,8.5,3.17,0,Low,Australia,0
28,6.6,2.42,0,Low,UK,0
26,6.1,3.89,1,High,USA,0
33,5.8,3.78,4,High,Germany,0
20,7.0,2.64,2,High,UK,0
20,7.7,3.0,4,High,Germany,0
28,8.6,2.16,1,High,Australia,0
30,7.6,3.26,4,Medium,UK,1
33,6.9,2.11,0,Medium,UK,0
28,5.1,3.81,2,Medium,USA,0
23,8.7,3.76,5,Medium,Australia,1
32,8.6,2.56,2,Medium,UK,0
28,6.5,3.48,3,Medium,USA,0
22,5.1,2.88,3,Medium,Australia,0
26,7.9,3.69,0,Low,Australia,0
25,8.2,2.12,3,Low,UK,0
27,7.2,3.01,3,Medium,UK,1
30,6.6,2.79,0,High,Canada,0
28,8.4,2.52,4,Medium,UK,0
33,5.8,2.42,4,High,Canada,0
24,6.8,3.35,1,Medium,Canada,1
20,5.1,2.4,2,Medium,Canada,0
22,5.7,3.26,4,High,Canada,0
29,8.8,2.78,0,High,UK,0
31,7.3,2.49,5,High,Canada,0
27,8.2,3.57,2,High,USA,1
34,6.9,2.73,1,Medium,USA,0
30,8.3,2.03,2,High,Canada,0
25,7.2,3.7,3,High,UK,1
27,5.0,2.63,0,High,USA,0
28,8.6,3.64,1,Low,Australia,0
23,5.6,3.09,1,Medium,USA,0
20,6.8,3.76,1,Medium,Canada,1
33,6.9,2.84,0,Low,UK,0
20,5.2,2.34,1,High,USA,0
29,5.2,2.04,3,Medium,Canada,0
23,8.1,3.56,3,Medium,Canada,1
31,6.2,3.56,4,Medium,UK,0
33,6.6,2.39,1,Medium,Australia,0
26,7.3,3.91,2,Low,Australia,0
21,6.5,3.9,1,High,Canada,0
22,8.1,2.73,2,High,USA,0
20,8.5,2.3,3,High,USA,0
24,5.2,2.57,3,Medium,USA,0
20,7.5,3.86,5,Low,Germany,0
27,6.3,3.22,3,Low,Canada,0
20,7.3,3.83,0,Medium,Canada,0
30,6.9,2.05,2,High,Canada,0
20,6.3,3.98,4,Medium,UK,0
21,5.4,3.26,1,Low,USA,0
21,7.2,2.37,2,Medium,Canada,0
31,5.5,3.01,2,High,Australia,0
25,5.6,3.64,5,Low,Canada,0
26,8.9,2.28,3,High,Canada,0
24,6.3,3.22,0,High,Australia,0
20,7.3,3.39,2,Medium,Australia,1
20,6.1,2.83,0,Low,Canada,0
22,8.5,3.08,0,Medium,USA,0
33,6.1,3.67,5,High,Canada,0
21,6.5,3.9,0,High,UK,0
24,7.4,3.11,1,Medium,USA,1
31,8.5,3.41,2,Low,Germany,0
29,8.3,2.65,3,Medium,UK,0
25,6.1,2.67,2,Low,UK,0
26,8.3,3.78,0,Medium,UK,0
23,7.8,2.2,2,High,Canada,0
26,9.0,2.41,3,Medium,UK,0
30,8.7,2.54,5,Low,Canada,0
27,7.1,2.19,3,Medium,Canada,0
30,8.0,3.34,5,Medium,UK,1
20,7.3,3.81,5,Medium,USA,1
34,7.4,2.05,5,Medium,UK,0
25,5.4,2.5,0,Low,Canada,0
27,5.0,3.84,3,Medium,UK,0
24,5.2,2.93,0,High,UK,0
23,8.9,3.77,5,High,Australia,1
21,5.5,3.89,2,Medium,UK,0
25,5.2,3.98,4,Medium,Australia,0
25,6.2,2.79,2,Medium,Australia,0
30,7.4,2.69,4,High,USA,0
34,8.8,3.5,2,Medium,UK,1
20,7.8,3.19,3,Medium,USA,1
28,6.1,3.32,2,Low,Canada,0
31,8.8,3.06,2,Medium,Australia,1
30,5.1,3.03,5,High,UK,0
25,8.9,2.63,2,Medium,USA,0
32,5.2,3.19,1,Low,Canada,0
22,8.0,2.54,5,Medium,USA,0
23,5.2,2.71,5,Medium,Canada,0
31,8.7,3.26,1,High,UK,1
30,5.4,3.27,4,Medium,USA,0
23,5.2,3.15,5,Medium,Canada,0
22,8.6,3.35,1,Medium,USA,1
29,5.4,2.82,1,High,Australia,0
22,8.2,3.19,5,High,USA,1
34,8.0,2.19,5,High,UK,0
22,7.4,2.97,5,Low,UK,0
23,6.5,3.17,3,Medium,Canada,0
26,8.7,2.84,3,Medium,USA,0
23,8.5,2.03,4,High,UK,0
28,6.7,3.4,3,Medium,UK,1
20,5.9,2.91,4,Medium,Australia,0
27,6.1,2.31,3,Medium,UK,0
26,5.9,3.95,4,Medium,USA,0
21,7.2,3.88,4,High,Canada,1
27,8.5,2.32,2,Medium,Australia,0
20,8.1,3.41,4,High,UK,1
30,8.2,3.04,4,High,USA,1
31,6.8,2.58,4,Medium,UK,0
28,6.3,3.37,5,Low,Canada,0
28,8.0,2.9,0,High,USA,0
21,8.2,3.8,4,Medium,Australia,1
26,7.8,3.41,2,High,Canada,1
34,5.1,3.02,0,Medium,Germany,0
33,7.4,2.9,5,Low,Canada,0
29,6.4,2.06,2,High,USA,0
22,5.8,2.32,2,High,UK,0
26,7.8,2.09,5,Medium,UK,0
31,6.1,2.13,5,Medium,USA,0
29,8.7,2.13,2,Low,USA,0
28,6.2,2.03,3,High,UK,0
23,7.2,3.58,5,Medium,Canada,1
31,8.3,2.96,4,High,UK,0
20,6.6,3.5,3,Medium,UK,1
21,8.3,2.34,5,Low,USA,0
20,7.9,3.68,2,Low,UK,0
33,8.7,2.19,5,Medium,UK,0
31,6.3,2.64,4,Low,USA,0
24,5.4,2.74,2,Medium,Germany,0
24,6.7,2.47,3,High,UK,0
30,8.1,2.27,5,Medium,Australia,0
26,6.8,3.26,1,Medium,Germany,1
28,6.0,2.02,0,High,Australia,0
28,5.1,3.58,5,High,UK,0
22,6.3,2.08,2,Low,UK,0
22,7.9,3.93,3,Medium,Australia,1
22,5.6,3.74,3,Medium,Canada,0
23,6.4,2.83,4,Medium,UK,0
27,5.1,2.29,3,Medium,Canada,0
25,7.9,3.74,5,Medium,Canada,1
27,8.5,3.29,1,Medium,USA,1
20,7.3,3.01,2,Medium,Australia,1
27,5.1,2.64,4,Low,Canada,0
23,5.9,3.12,2,High,UK,0
30,6.8,2.83,1,Low,USA,0
20,7.4,2.93,4,Medium,Australia,0
27,7.0,3.69,1,Medium,USA,1
23,8.7,3.9,3,High,Australia,1
25,8.8,3.93,1,Medium,Australia,1
27,5.4,3.82,5,Medium,USA,0
23,5.6,3.6,5,Medium,Canada,0
33,6.4,2.91,3,High,Canada,0
22,6.7,2.18,0,Medium,Canada,0
33,7.3,3.26,4,Medium,UK,1
28,8.1,2.8,5,Medium,Australia,0
22,5.5,3.37,4,Low,Germany,0
28,8.2,2.44,0,Medium,USA,0
32,7.4,3.53,2,Medium,Canada,1
21,8.9,2.34,2,High,Canada,0
33,7.6,3.62,3,Low,UK,0
21,7.9,3.82,4,Low,Australia,0
21,5.8,3.8,0,Medium,Australia,0
25,8.1,2.69,5,Low,USA,0
22,5.3,2.78,3,Medium,UK,0
32,7.6,3.68,3,Medium,USA,1
28,5.2,3.38,0,Medium,Australia,0
23,5.5,3.05,5,High,Germany,0
20,5.4,3.92,4,High,Germany,0
23,5.2,3.03,1,High,USA,0
20,6.3,2.49,1,Low,Germany,0
33,9.0,3.36,1,High,UK,1
24,6.4,3.02,5,High,Canada,0
23,8.0,2.41,3,Low,UK,0
27,5.5,2.3,3,Low,Australia,0
27,6.8,2.71,2,Low,UK,0
26,5.7,3.94,3,Medium,USA,0
22,5.8,2.29,2,High,Germany,0
20,5.4,2.94,5,Medium,Australia,0
20,6.7,2.65,0,Low,USA,0
31,5.3,3.89,5,Medium,Canada,0
30,8.6,2.75,0,Medium,Australia,0
22,6.8,2.45,4,High,USA,0
25,8.4,2.96,4,Medium,Germany,0
26,8.9,2.31,3,Low,UK,0
25,7.7,2.76,5,High,UK,0
33,8.6,3.46,4,High,Australia,1
33,5.5,3.2,2,High,Canada,0
25,8.3,2.02,0,Medium,USA,0
25,6.1,3.0,5,High,USA,0
32,6.9,3.63,5,Medium,Australia,1
22,7.6,3.13,2,Medium,USA,1
25,8.6,2.94,2,Low,Germany,0
27,8.6,2.83,5,Medium,Australia,0
30,5.4,3.07,1,Medium,USA,0
30,6.5,2.15,4,High,Australia,0
21,8.2,3.6,2,High,USA,1
24,7.8,3.71,1,Medium,USA,1
33,5.1,3.18,3,High,USA,0
20,6.8,3.96,1,High,USA,1
31,8.3,3.11,0,High,Australia,0
34,8.0,2.05,5,High,Canada,0
20,6.6,2.93,1,High,Canada,0
24,7.9,2.8,3,Medium,Canada,0
31,7.2,2.39,0,High,Germany,0
32,8.7,3.07,1,Medium,Canada,1
22,7.3,2.91,1,High,UK,0
23,6.6,2.34,2,Low,Canada,0
22,8.5,3.01,2,High,Canada,1
20,5.2,3.67,2,High,UK,0
20,8.6,3.02,4,Medium,UK,1
31,7.8,2.43,2,Medium,USA,0
31,8.8,3.37,2,Medium,UK,1
33,6.0,3.74,3,Medium,Germany,0
32,7.8,2.69,2,Low,UK,0
33,8.2,2.14,1,Medium,UK,0
24,7.8,3.83,2,Medium,Australia,1
25,5.8,3.36,0,Medium,USA,0
22,6.1,3.98,0,Medium,Germany,0
31,7.3,3.39,2,High,Australia,1
28,6.8,2.25,1,Medium,Australia,0
24,7.9,2.87,4,Medium,Canada,0
27,6.5,2.09,2,Medium,UK,0
32,8.4,2.68,0,Medium,Australia,0
20,6.7,3.57,1,High,Canada,1
33,5.2,3.11,4,Low,Germany,0
24,5.1,2.92,2,Medium,USA,0
34,7.6,3.7,4,Low,Canada,0
22,7.2,2.35,3,Medium,UK,0
31,7.2,3.08,3,Medium,UK,1
20,8.2,3.29,1,Medium,UK,1
23,6.5,3.85,4,High,USA,0
34,9.0,2.33,3,High,Australia,0
32,8.8,3.41,2,High,UK,1
24,5.1,2.09,5,Low,USA,0
26,8.6,3.13,2,High,UK,1
20,7.7,3.29,4,Low,Canada,0
22,7.0,3.68,3,Medium,Canada,1
21,7.3,2.65,1,Medium,Canada,0
28,8.4,3.39,2,Low,USA,0
29,8.8,2.19,4,Medium,Australia,0
34,7.2,2.45,5,High,Canada,0
25,5.7,3.55,3,Medium,Canada,0
29,7.6,3.79,1,Medium,Germany,1
22,5.3,2.03,5,Medium,Germany,0
27,7.5,2.33,2,Medium,USA,0
33,8.2,2.42,4,Medium,Canada,0
27,6.4,3.04,0,Low,UK,0
21,5.3,2.31,4,High,UK,0
34,7.8,3.95,5,High,Canada,1
25,6.4,2.78,4,Medium,USA,0
26,6.0,2.29,4,Medium,UK,0
21,7.8,3.55,5,High,Canada,1
34,8.9,3.12,2,High,Australia,1
30,8.0,3.83,2,Medium,Canada,1
29,7.0,3.87,2,Medium,UK,1
21,7.4,3.71,4,Medium,Canada,1
29,5.6,3.13,4,Medium,USA,0
20,8.3,2.45,3,High,USA,0
27,7.4,2.86,5,Medium,Canada,0
20,8.9,2.97,5,Medium,USA,0
28,8.9,3.95,3,Medium,Australia,1
30,6.4,2.51,1,High,UK,0
25,9.0,2.87,0,Low,Australia,0
26,8.8,3.12,2,High,UK,1
32,7.6,2.78,0,Medium,UK,0
29,6.3,2.24,2,Medium,Germany,0
26,8.0,3.78,5,Medium,USA,1
29,6.1,3.6,3,Medium,UK,0
22,7.5,2.51,1,High,Canada,0
21,5.1,2.89,0,High,Canada,0
28,7.5,3.47,4,Medium,UK,1
27,8.8,3.95,5,Medium,Canada,1
32,5.9,2.34,3,Medium,UK,0
31,8.1,3.28,1,Low,UK,0
29,6.2,3.64,2,High,Canada,0
26,7.8,2.05,2,High,USA,0
28,7.8,3.62,1,Medium,Australia,1
23,5.7,3.58,2,High,Australia,0
32,7.4,3.85,2,High,UK,1
23,8.4,2.17,4,Low,USA,0
20,6.5,2.25,2,Medium,UK,0
27,7.8,3.04,5,Medium,Canada,1
33,7.7,3.74,0,Medium,Australia,0
33,6.0,3.75,5,High,UK,0
31,8.7,3.4,1,Low,USA,0
22,7.3,2.9,1,High,Canada,0
26,6.4,2.46,4,Low,Germany,0
34,5.7,2.95,3,Medium,Australia,0
31,6.9,2.43,5,Medium,Australia,0
21,7.9,3.55,3,Low,Germany,0
21,7.5,2.84,5,Medium,UK,0
26,7.9,3.08,2,Medium,Australia,1
34,8.2,3.36,1,High,USA,1
25,6.8,3.05,5,High,UK,1
22,7.1,3.51,0,Medium,Australia,0
28,8.9,3.57,0,Low,USA,0
29,8.9,2.49,2,Medium,Canada,0
34,6.7,2.6,3,Medium,Canada,0
33,7.7,2.12,2,Medium,Australia,0
32,6.1,2.18,3,Medium,USA,0
25,5.6,3.66,4,High,Canada,0
29,8.1,2.43,4,Medium,Canada,0
29,6.7,3.67,4,Medium,UK,1
25,5.7,3.97,1,Medium,USA,0
20,8.0,2.49,5,High,USA,0
23,8.7,2.92,3,High,Germany,0
29,8.7,3.07,3,High,USA,1
25,7.4,3.89,1,Medium,UK,1
34,6.9,2.36,4,Medium,USA,0
25,5.6,3.67,1,Medium,UK,0
30,8.2,3.92,2,Low,Germany,0
31,8.8,3.11,4,Low,UK,0
24,8.6,2.3,5,High,UK,0
20,8.0,2.67,3,High,Australia,0
27,5.0,3.92,2,Medium,USA,0
24,6.6,2.34,2,Medium,UK,0
31,6.6,2.98,4,Low,Australia,0
31,8.6,2.38,1,High,Canada,0
31,5.3,3.81,3,Medium,Australia,0
24,7.1,3.18,4,Medium,USA,1
26,5.5,3.85,2,High,UK,0
23,7.6,3.89,2,Low,Germany,0
25,8.2,2.98,2,High,UK,0
32,7.6,3.87,2,Medium,USA,1
23,8.2,2.0,5,Low,Germany,0
33,7.4,2.38,1,Low,Germany,0
34,5.8,3.47,3,High,Australia,0
22,6.5,3.05,1,Low,USA,0
26,8.8,3.98,4,High,USA,1
27,6.2,3.57,1,Low,USA,0
23,5.3,3.33,4,High,UK,0
32,6.5,3.82,0,High,Germany,0
21,6.5,2.67,0,Low,UK,0
31,6.9,2.34,4,Medium,Germany,0
29,7.2,3.09,1,Medium,UK,1
33,9.0,2.48,4,Low,USA,0
22,8.0,2.46,2,Medium,USA,0
20,5.1,2.61,1,Medium,Canada,0
27,7.9,3.35,0,Medium,UK,0
34,8.3,2.05,3,Medium,Australia,0
22,8.6,3.7,5,High,Canada,1
31,6.7,3.22,5,Medium,UK,1
29,6.3,2.61,0,Medium,Australia,0
26,8.4,2.23,3,Medium,Canada,0
29,8.1,3.58,4,Low,USA,0
24,7.1,2.87,4,High,Australia,0
29,5.5,2.87,2,High,USA,0
24,7.6,2.94,0,High,UK,0
33,5.3,2.83,0,High,Canada,0
26,5.4,3.03,5,Medium,Australia,0
34,6.3,3.26,4,Medium,Canada,0
28,6.5,2.86,4,High,Canada,0
31,6.8,3.95,2,Medium,UK,1
24,6.4,2.8,1,Medium,Canada,0
20,5.1,2.43,4,Medium,Canada,0
29,5.6,3.96,2,Low,USA,0
29,5.5,2.59,4,High,Australia,0
20,6.7,3.24,1,Medium,UK,1
34,5.8,3.66,5,High,USA,0
21,6.2,2.01,3,Medium,Australia,0
33,6.9,2.57,3,Low,Australia,0
25,5.9,3.06,4,High,Canada,0
28,6.0,2.91,1,Low,UK,0
27,8.3,2.15,5,High,Canada,0
32,7.2,2.89,2,Medium,Canada,0
24,8.4,2.21,0,Medium,Canada,0
20,7.1,2.5,4,High,Australia,0
32,8.6,3.5,0,Medium,Canada,0
26,6.0,2.36,3,Low,USA,0
34,7.5,3.33,5,Medium,USA,1
24,7.0,3.95,4,Medium,USA,1
25,8.7,2.49,1,Low,Australia,0
32,6.7,2.52,4,Low,Australia,0
26,8.4,3.91,5,Low,USA,0
22,7.3,3.33,3,Medium,UK,1
31,7.8,3.54,5,Medium,Canada,1
29,8.5,3.58,1,Medium,Australia,1
22,9.0,3.46,4,Medium,USA,1
24,7.9,3.95,1,Medium,Canada,1
25,6.3,2.55,2,Medium,UK,0
28,6.2,3.04,1,High,USA,0
32,6.2,3.33,0,High,Australia,0
33,5.4,3.41,1,Medium,Australia,0
31,5.2,2.38,5,High,USA,0
24,7.3,3.75,0,High,Australia,0
34,8.2,3.63,1,Medium,Germany,1
20,5.1,2.53,5,Low,USA,0
33,7.3,3.09,2,Medium,Canada,1
33,6.5,2.59,2,Low,USA,0
33,8.6,2.73,0,High,UK,0
23,5.6,3.07,1,Low,USA,0
24,7.3,3.08,2,Medium,Australia,1
31,8.9,3.06,3,High,USA,1
29,6.4,3.09,2,High,Australia,0
29,8.0,3.27,4,Low,USA,0
24,8.5,2.03,2,Medium,Canada,0
26,5.7,2.28,3,Medium,Canada,0
23,9.0,2.94,5,Low,Canada,0
20,8.2,3.42,5,Low,USA,0
33,5.6,3.02,5,Medium,Germany,0
33,6.2,3.26,2,Medium,Australia,0
24,7.5,3.94,4,Low,UK,0
26,8.5,3.46,1,High,Canada,1
29,5.8,3.88,4,Medium,UK,0
29,7.9,2.04,0,High,UK,0
25,6.1,2.89,2,Medium,Australia,0
24,8.2,2.71,4,Low,Canada,0
23,7.7,3.41,0,Low,UK,0
21,7.1,3.86,4,High,Australia,1
23,7.6,2.08,5,High,Australia,0
34,8.5,2.11,4,Medium,Germany,0
29,6.5,3.35,0,Medium,Australia,0
29,8.1,2.69,5,Low,USA,0
22,5.6,2.41,3,Medium,Germany,0
29,7.8,3.91,3,Low,Canada,0
20,8.0,2.03,4,High,USA,0
27,6.8,2.55,0,Medium,UK,0
24,8.2,2.66,4,High,Canada,0
32,7.2,3.57,2,Medium,USA,1
23,8.7,3.12,2,High,UK,1
27,5.4,2.66,2,Medium,Canada,0
26,5.5,2.34,3,Medium,USA,0
21,8.4,2.44,1,Medium,USA,0
20,8.4,2.08,4,Medium,Australia,0
31,6.9,3.67,1,High,Canada,1
30,8.9,2.23,2,High,Australia,0
23,7.7,3.65,5,High,Canada,1
27,8.9,2.28,2,High,Canada,0
31,7.1,3.81,4,Low,USA,0
21,5.8,3.36,2,High,UK,0
22,6.8,2.7,1,High,UK,0
31,8.9,2.79,2,Medium,Germany,0
20,6.5,2.57,1,Medium,UK,0
20,8.8,2.42,2,High,Australia,0
32,8.2,3.82,2,Low,UK,0
22,6.8,2.37,1,High,Australia,0
30,7.2,2.35,1,Medium,UK,0
24,7.4,2.72,5,Low,USA,0
31,7.7,3.97,1,Medium,Australia,1
22,5.3,2.93,5,Low,Canada,0
20,8.7,2.71,1,Medium,UK,0
20,7.4,4.0,3,Low,Australia,0
27,8.7,3.48,3,Medium,Germany,1
