job_role,education_level,experience_years,skills,certifications,salary_range,location,target
Database Admin,Masters,14,"ML, Excel, SQL, HTML",No,Medium,UK,1
Cybersecurity Analyst,Bachelors,12,"DL, JS",No,Low,UK,1
AI Engineer,Bootcamp,6,"Security, Cloud, JS, Excel",No,Low,Canada,0
Research Scientist,Bachelors,2,"R, Excel, JS",No,High,India,0
Database Admin,Bootcamp,11,"Networking, ML, Cloud",Yes,High,Remote,1
DevOps Engineer,Masters,9,"Networking, SQL",Yes,High,Canada,1
Business Analyst,Bootcamp,13,"Cloud, Networking",Yes,Medium,India,1
Cloud Engineer,PhD,4,"JS, Python, R",No,Low,Germany,0
AI Engineer,Masters,11,"Excel, Security, JS",Yes,Medium,Remote,1
Data Scientist,Bachelors,13,"JS, DL, SQL, Security",Yes,Medium,Canada,1
Cybersecurity Analyst,PhD,9,"SQL, Networking, Excel, JS",Yes,Low,Germany,1
DevOps Engineer,PhD,11,"DL, CSS",Yes,High,UK,1
DevOps Engineer,PhD,6,"Cloud, DL, JS",Yes,Medium,Germany,1
AI Engineer,PhD,0,"DL, Cloud",Yes,Medium,India,1
Cybersecurity Analyst,Bootcamp,8,"Networking, JS, R, ML",Yes,Low,Canada,1
Web Developer,Bachelors,13,"DL, SQL",No,Low,Canada,1
Web Developer,Bachelors,3,"ML, R",Yes,Medium,India,1
Database Admin,Masters,8,"CSS, HTML, Excel, Networking",Yes,High,Germany,1
ML Engineer,Masters,6,"Excel, Python, HTML",Yes,Medium,India,1
DevOps Engineer,Bachelors,7,"Networking, CSS, ML, SQL",No,Low,Germany,1
ML Engineer,Masters,8,"Excel, Cloud, ML",No,High,USA,1
AI Engineer,Masters,4,"R, DL",Yes,Low,Canada,1
Business Analyst,Bachelors,2,"Cloud, ML, DL",Yes,Medium,Remote,1
ML Engineer,PhD,11,"HTML, ML, Networking, DL",Yes,Medium,USA,1
Research Scientist,Masters,10,"Networking, HTML, JS",No,Medium,India,1
DevOps Engineer,Bootcamp,7,"Python, SQL",Yes,Low,USA,1
Cybersecurity Analyst,Masters,3,"Security, HTML",No,Medium,India,1
Business Analyst,Masters,13,"Python, CSS",No,Low,Remote,1
Cybersecurity Analyst,Bachelors,9,"ML, DL, SQL",Yes,High,Canada,1
Research Scientist,Bachelors,6,"Python, DL, Networking",No,Medium,Remote,1
Web Developer,PhD,2,"R, Python",No,Medium,UK,0
Cloud Engineer,Bootcamp,4,"ML, R",Yes,Medium,USA,1
Research Scientist,Masters,7,"DL, Python",Yes,Medium,Germany,1
DevOps Engineer,Bachelors,10,"Networking, DL",Yes,Medium,USA,1
Web Developer,PhD,1,"Python, SQL, Cloud",No,Low,India,0
Cloud Engineer,PhD,11,"Python, HTML, R",Yes,High,India,1
DevOps Engineer,Bachelors,6,"HTML, CSS",Yes,High,India,1
ML Engineer,Bachelors,0,"HTML, SQL",No,High,Remote,0
Database Admin,Bachelors,2,"Cloud, JS, Excel",Yes,Low,Canada,0
Database Admin,PhD,1,"JS, CSS",No,High,Germany,0
Database Admin,Masters,11,"HTML, Networking, JS",No,Medium,Germany,1
DevOps Engineer,PhD,5,"Security, CSS, Networking, ML",No,Low,Canada,1
Business Analyst,Bootcamp,3,"HTML, CSS, ML, JS",No,High,India,0
Cloud Engineer,Bootcamp,10,"CSS, DL, SQL, R",Yes,Medium,UK,1
DevOps Engineer,PhD,0,"DL, Excel, ML, Python",Yes,High,USA,1
Data Scientist,Bachelors,5,"JS, Python",No,Low,Canada,0
Research Scientist,PhD,3,"ML, SQL, JS",Yes,High,Canada,1
Cybersecurity Analyst,Bachelors,5,"SQL, Excel, R",No,Low,UK,0
AI Engineer,Bachelors,10,"SQL, Python, Excel, JS",Yes,Medium,Remote,1
ML Engineer,PhD,0,"Networking, ML",Yes,Low,India,1
Database Admin,Bootcamp,11,"Excel, DL, Cloud, JS",Yes,Medium,Canada,1
ML Engineer,PhD,5,"R, Python",No,High,UK,1
Database Admin,Bachelors,2,"Networking, ML, HTML, JS",Yes,High,Remote,1
Web Developer,Masters,3,"SQL, CSS, Cloud, JS",No,Low,UK,0
Data Scientist,Bachelors,9,"Networking, JS, Cloud, ML",No,Low,Remote,1
Database Admin,Bachelors,14,"HTML, Cloud, JS, DL",Yes,Low,India,1
Research Scientist,Bootcamp,3,"Python, SQL, CSS, R",Yes,Low,UK,0
Database Admin,Bootcamp,3,"DL, Security",No,High,India,0
ML Engineer,Bachelors,0,"HTML, DL, ML, Cloud",Yes,High,Canada,1
Data Scientist,Bootcamp,1,"CSS, SQL",No,High,USA,0
AI Engineer,Bachelors,10,"DL, SQL",Yes,Low,India,1
AI Engineer,Bachelors,8,"DL, ML, JS",Yes,Medium,UK,1
Research Scientist,Bachelors,6,"JS, DL, ML, Cloud",Yes,Medium,Remote,1
DevOps Engineer,PhD,13,"Cloud, ML, DL",Yes,Medium,USA,1
Database Admin,PhD,2,"Excel, JS, SQL, CSS",No,Medium,USA,0
Data Scientist,Bachelors,11,"ML, Cloud, R",No,Low,Germany,1
DevOps Engineer,PhD,8,"Security, R",No,Low,Germany,1
Cloud Engineer,Masters,1,"Cloud, CSS",No,Medium,USA,0
Cybersecurity Analyst,Masters,13,"Networking, Excel",No,High,Germany,1
Cloud Engineer,PhD,4,"DL, Python, JS, Excel",No,Medium,Canada,1
DevOps Engineer,Bootcamp,6,"SQL, Cloud",Yes,Medium,Germany,1
Data Scientist,Bootcamp,8,"DL, R, HTML, Python",Yes,Low,India,1
Web Developer,Bootcamp,2,"Excel, CSS, HTML, DL",Yes,Medium,Germany,1
Web Developer,PhD,3,"DL, HTML, JS",No,Low,Remote,1
Database Admin,PhD,7,"CSS, Networking",No,High,Germany,1
Cybersecurity Analyst,PhD,7,"SQL, Cloud, Excel, Networking",No,Low,India,1
AI Engineer,Bachelors,0,"Python, HTML, ML",Yes,High,Germany,1
AI Engineer,Bootcamp,7,"DL, JS, ML",No,Low,Remote,1
Cloud Engineer,Bootcamp,2,"CSS, JS, DL",No,High,USA,0
AI Engineer,Bootcamp,8,"Python, Cloud, CSS, R",No,Low,India,0
Business Analyst,Masters,8,"HTML, Excel",Yes,High,UK,1
Database Admin,Masters,1,"ML, JS, SQL",Yes,Medium,USA,1
ML Engineer,Bachelors,1,"Security, Python, ML",Yes,Medium,Remote,1
DevOps Engineer,Bootcamp,5,"Python, SQL, Excel, ML",Yes,Medium,Germany,1
Database Admin,Bootcamp,12,"DL, Python",No,Low,Canada,1
Database Admin,Masters,3,"Excel, Cloud",No,High,Germany,0
Database Admin,Bootcamp,3,"DL, JS",No,High,Germany,0
Database Admin,Masters,13,"Networking, SQL",Yes,Low,Remote,1
Research Scientist,Bootcamp,3,"SQL, Python, JS, Networking",No,Low,Remote,0
Web Developer,PhD,2,"Python, HTML",Yes,High,USA,1
Web Developer,Bootcamp,0,"ML, HTML, Excel, Security",Yes,High,UK,1
AI Engineer,Masters,2,"ML, CSS, Python",No,High,India,1
Web Developer,PhD,6,"JS, SQL, Security",No,High,India,1
ML Engineer,Masters,13,"ML, Python, R",No,Low,Germany,1
ML Engineer,PhD,5,"Excel, Cloud, R",Yes,Low,UK,1
Database Admin,Bootcamp,12,"Security, DL, ML, Excel",No,High,Canada,1
Business Analyst,Bachelors,5,"HTML, Python, SQL, JS",Yes,Medium,UK,1
Cloud Engineer,Masters,10,"DL, Security, HTML",Yes,High,USA,1
ML Engineer,Bootcamp,4,"HTML, JS, CSS",No,Low,Canada,0
Research Scientist,Masters,0,"DL, Python, Security, Excel",No,High,Canada,1
Research Scientist,Bootcamp,0,"R, DL",Yes,High,Remote,1
DevOps Engineer,Bachelors,11,"DL, JS",Yes,Low,Remote,1
Data Scientist,Masters,2,"Cloud, HTML, R, Excel",No,Medium,UK,1
Research Scientist,Bachelors,0,"Python, DL",No,High,UK,1
Research Scientist,Bootcamp,11,"Cloud, DL, Security",Yes,High,Remote,1
Research Scientist,Masters,12,"ML, JS, DL",No,High,Remote,1
Cybersecurity Analyst,Bootcamp,4,"Cloud, Security, DL",Yes,Low,Canada,1
ML Engineer,Bachelors,2,"SQL, ML",Yes,Low,USA,1
Cloud Engineer,Bachelors,4,"SQL, ML",No,Low,India,0
Cloud Engineer,PhD,0,"Cloud, DL, HTML",No,Medium,India,1
DevOps Engineer,PhD,4,"R, JS, Cloud, ML",Yes,Medium,USA,1
Database Admin,Bachelors,2,"JS, DL",No,Medium,India,0
Data Scientist,Masters,3,"Cloud, R, Python, Excel",Yes,Medium,Germany,1
Cloud Engineer,Bootcamp,12,"Security, HTML",No,Medium,USA,1
Database Admin,PhD,6,"SQL, DL",Yes,Low,India,1
AI Engineer,Bachelors,2,"Python, R, Excel",No,Low,Remote,0
Business Analyst,PhD,8,"Cloud, HTML, Networking",Yes,Low,Remote,1
Database Admin,PhD,14,"DL, JS, ML",Yes,Medium,USA,1
Web Developer,PhD,9,"JS, Excel, HTML, Security",Yes,High,UK,1
Research Scientist,PhD,7,"DL, Excel, SQL",Yes,Medium,USA,1
Research Scientist,Masters,7,"Excel, Cloud, ML",Yes,High,UK,1
Business Analyst,Bootcamp,14,"HTML, Cloud, CSS",Yes,Medium,USA,1
DevOps Engineer,PhD,6,"HTML, Networking, R",Yes,Medium,Canada,1
AI Engineer,Bachelors,14,"JS, Security, DL, CSS",Yes,Medium,USA,1
ML Engineer,PhD,9,"R, HTML, Security",No,Medium,UK,1
Data Scientist,Masters,9,"Cloud, R",Yes,Medium,UK,1
Business Analyst,PhD,7,"Python, DL",No,Low,Remote,1
Data Scientist,Bootcamp,8,"Excel, CSS, Security, Python",Yes,Medium,Germany,1
Data Scientist,Bootcamp,5,"DL, Cloud, SQL, Security",Yes,Low,USA,1
Business Analyst,Bachelors,12,"Networking, Excel, ML",No,High,Remote,1
Data Scientist,PhD,6,"HTML, Networking, Security",No,Medium,Canada,1
DevOps Engineer,Bootcamp,2,"Security, JS, HTML",No,Low,India,0
ML Engineer,Masters,8,"DL, HTML",No,Low,Germany,1
Database Admin,Masters,11,"R, Excel, Networking",No,High,USA,1
ML Engineer,Bachelors,6,"Cloud, Excel",Yes,High,UK,1
AI Engineer,Bachelors,3,"Excel, JS",No,Low,Canada,0
AI Engineer,Bachelors,3,"ML, JS",Yes,Low,Remote,1
ML Engineer,Bachelors,7,"Excel, Python, R",Yes,High,Germany,1
AI Engineer,PhD,13,"Excel, CSS, ML, Python",No,Low,Canada,1
Research Scientist,Bachelors,6,"JS, R, Python, CSS",No,Medium,USA,0
Business Analyst,PhD,11,"ML, HTML, Security",No,High,USA,1
Data Scientist,Masters,1,"Security, Networking, JS, SQL",Yes,Medium,Germany,1
Cybersecurity Analyst,Bootcamp,14,"DL, ML, Networking",No,High,USA,1
Web Developer,Masters,2,"SQL, HTML",Yes,Low,India,1
Data Scientist,PhD,9,"Python, ML, SQL, Cloud",No,Medium,Canada,1
Data Scientist,Bootcamp,13,"Python, R",No,Medium,India,0
Cloud Engineer,Bachelors,5,"Networking, SQL, Excel",No,High,India,0
Research Scientist,Bachelors,9,"Networking, ML, SQL",Yes,Medium,USA,1
Database Admin,Bootcamp,0,"DL, Python, ML",No,High,USA,1
Business Analyst,Bachelors,5,"JS, DL, ML, HTML",No,Medium,Canada,0
Business Analyst,Masters,5,"SQL, DL, CSS, JS",No,High,India,1
Research Scientist,PhD,11,"Excel, DL",Yes,Medium,Germany,1
Data Scientist,Masters,0,"Excel, JS",Yes,High,UK,1
AI Engineer,Bootcamp,11,"Cloud, Excel",Yes,Low,Germany,1
Database Admin,PhD,6,"Python, CSS, JS",No,High,India,1
ML Engineer,Masters,12,"Security, HTML, R",Yes,Medium,Canada,1
Cybersecurity Analyst,Masters,14,"Networking, ML, HTML, SQL",Yes,Low,USA,1
Cybersecurity Analyst,PhD,6,"Excel, JS",Yes,Medium,Remote,1
Cloud Engineer,Bachelors,1,"Networking, Excel, R",Yes,High,Germany,0
Cybersecurity Analyst,Bootcamp,13,"CSS, ML, SQL, DL",Yes,Medium,Germany,1
ML Engineer,Masters,0,"JS, CSS, Python, DL",No,High,Canada,1
Business Analyst,Masters,2,"ML, HTML, Excel",No,High,Germany,1
Web Developer,Bootcamp,6,"Security, HTML, DL",No,High,USA,1
AI Engineer,Masters,4,"Cloud, DL, JS",Yes,Medium,Canada,1
Business Analyst,PhD,4,"R, DL, Python",Yes,Low,India,1
Business Analyst,Masters,6,"SQL, Security, JS, Python",Yes,Medium,Germany,1
ML Engineer,Bootcamp,8,"Excel, Cloud",No,Medium,Germany,0
DevOps Engineer,PhD,0,"CSS, SQL, JS",No,High,India,0
Cloud Engineer,Masters,9,"HTML, Python",No,Low,Canada,1
Business Analyst,Bachelors,14,"JS, R, Networking",Yes,Low,UK,1
Web Developer,PhD,13,"R, JS, ML",Yes,Low,Germany,1
AI Engineer,Bachelors,8,"R, SQL",Yes,High,Germany,1
Cybersecurity Analyst,Bachelors,4,"Networking, SQL",No,Medium,UK,0
Data Scientist,Bootcamp,12,"SQL, Security, ML, R",No,High,USA,1
Cybersecurity Analyst,Masters,14,"Excel, R",No,Medium,Germany,1
Cybersecurity Analyst,Bachelors,5,"SQL, HTML",No,Low,Remote,0
Cybersecurity Analyst,Bootcamp,6,"Python, SQL, Excel, Cloud",Yes,Medium,UK,1
ML Engineer,Bachelors,11,"Networking, Cloud, Excel",No,Medium,Germany,0
AI Engineer,PhD,2,"DL, JS",No,Medium,UK,1
Cloud Engineer,Bachelors,5,"JS, Cloud",No,High,Germany,0
Research Scientist,Masters,12,"Security, SQL, R",No,High,USA,1
Cloud Engineer,Masters,11,"DL, R",No,High,Canada,1
Database Admin,Bachelors,14,"SQL, Security",Yes,High,India,1
Research Scientist,Bachelors,13,"Networking, R, DL",Yes,High,India,1
Cybersecurity Analyst,PhD,13,"Networking, ML",Yes,High,Germany,1
Database Admin,PhD,11,"Python, DL, HTML",Yes,Low,Canada,1
Cloud Engineer,Masters,9,"DL, SQL",No,Low,UK,1
Cloud Engineer,Masters,6,"Networking, CSS",Yes,High,Canada,1
Research Scientist,PhD,13,"Python, ML, CSS",Yes,Medium,Remote,1
Web Developer,Masters,4,"ML, Networking, SQL, Excel",Yes,High,Germany,1
ML Engineer,Masters,9,"CSS, HTML, SQL",No,High,Canada,1
Database Admin,Masters,5,"JS, HTML",No,Low,UK,1
Web Developer,PhD,3,"Security, JS, DL",Yes,Medium,Germany,1
Web Developer,Bootcamp,3,"ML, Excel, CSS, DL",Yes,High,USA,1
Database Admin,Bootcamp,9,"SQL, Networking, DL",No,High,UK,1
Business Analyst,Masters,2,"SQL, R, Security",No,High,UK,0
ML Engineer,Bootcamp,0,"SQL, ML",No,High,Remote,0
DevOps Engineer,Bachelors,12,"DL, Networking, SQL, Python",No,High,India,1
Database Admin,Bootcamp,1,"R, Python",No,High,UK,0
Data Scientist,Bachelors,11,"Cloud, ML, Python, Security",No,High,Remote,1
Database Admin,Bachelors,3,"Cloud, SQL, DL",Yes,High,Canada,1
Web Developer,Bachelors,2,"Security, SQL",Yes,High,UK,0
Data Scientist,Bachelors,0,"Security, HTML",No,High,Canada,0
Data Scientist,Bootcamp,2,"SQL, JS, ML, CSS",No,Low,Germany,0
Cloud Engineer,Bachelors,4,"Security, R, SQL, DL",Yes,Low,Remote,1
Business Analyst,Bachelors,0,"HTML, Security",Yes,Medium,UK,1
Database Admin,Bachelors,7,"R, CSS, Cloud",No,High,Germany,0
AI Engineer,PhD,10,"CSS, DL",Yes,High,India,1
ML Engineer,Bootcamp,12,"Security, CSS, R, SQL",No,Low,USA,0
Data Scientist,Bachelors,13,"DL, JS, Python",No,Low,UK,1
Research Scientist,PhD,12,"Networking, Security, ML, Python",Yes,High,Germany,1
Web Developer,PhD,1,"HTML, ML, Security, SQL",No,High,Remote,1
DevOps Engineer,Masters,6,"ML, Security",No,Medium,USA,1
Cybersecurity Analyst,PhD,9,"JS, Networking",No,High,USA,1
AI Engineer,Bootcamp,9,"JS, Networking, Excel",Yes,Medium,India,1
Research Scientist,Bachelors,9,"Excel, DL, HTML",No,High,Germany,1
Web Developer,Bootcamp,1,"ML, SQL, R, DL",Yes,Low,UK,1
DevOps Engineer,Masters,8,"CSS, Excel, DL, Cloud",Yes,High,Germany,1
Cybersecurity Analyst,Bachelors,3,"CSS, Cloud, JS",Yes,High,UK,0
DevOps Engineer,Bachelors,4,"Excel, JS, Cloud",Yes,Low,Canada,0
Database Admin,PhD,12,"DL, Python, CSS, HTML",Yes,Medium,USA,1
Database Admin,Bootcamp,12,"CSS, JS",Yes,High,Remote,1
Database Admin,Masters,4,"HTML, Security",Yes,Medium,UK,1
Cybersecurity Analyst,Bachelors,8,"JS, Networking, SQL",No,Low,USA,0
Research Scientist,Bootcamp,4,"CSS, SQL",No,High,India,0
Research Scientist,Bootcamp,7,"ML, JS, Networking, DL",Yes,Medium,UK,1
Database Admin,Bachelors,0,"Networking, CSS, SQL, HTML",No,Medium,Remote,0
Cybersecurity Analyst,Bachelors,3,"Cloud, HTML, Python",No,Medium,Remote,0
Data Scientist,Bachelors,0,"Networking, Cloud, Python, JS",Yes,Medium,UK,0
ML Engineer,Bootcamp,7,"R, JS, Python, Excel",No,High,Remote,1
Database Admin,Bachelors,13,"Excel, Cloud",Yes,High,Germany,1
Cloud Engineer,Masters,11,"JS, Python",Yes,Medium,Canada,1
Web Developer,Bootcamp,6,"HTML, Networking",Yes,Medium,India,1
Web Developer,Masters,6,"Security, SQL",No,High,Canada,1
Data Scientist,Bachelors,2,"HTML, Cloud",Yes,Low,UK,1
ML Engineer,Bachelors,13,"Excel, R",No,Low,UK,0
Database Admin,Bootcamp,0,"R, HTML, DL",No,Low,UK,0
Web Developer,PhD,3,"Cloud, JS",Yes,High,Canada,1
Research Scientist,PhD,5,"Security, ML",Yes,High,UK,1
AI Engineer,Bachelors,10,"JS, Python, Cloud, Networking",No,High,India,1
AI Engineer,Bootcamp,0,"Networking, DL",Yes,Medium,UK,1
ML Engineer,Bachelors,8,"DL, CSS, Security, Cloud",Yes,Medium,USA,1
Cybersecurity Analyst,Bachelors,11,"DL, Security",No,Low,USA,1
ML Engineer,PhD,6,"Python, Security, Networking",No,High,UK,1
Research Scientist,Masters,14,"R, CSS, Python, ML",No,Low,India,1
ML Engineer,Bootcamp,9,"JS, HTML, Python, CSS",No,Medium,Canada,1
Database Admin,PhD,4,"SQL, R",Yes,Low,India,1
Web Developer,Masters,2,"Cloud, SQL",Yes,High,UK,1
Database Admin,Bachelors,3,"Python, ML, HTML, Security",Yes,Medium,Germany,1
Research Scientist,Bootcamp,4,"Cloud, JS",No,Medium,Germany,0
DevOps Engineer,Bootcamp,6,"Excel, JS",Yes,High,USA,1
Research Scientist,PhD,6,"Networking, ML",Yes,High,Remote,1
Cybersecurity Analyst,Masters,4,"ML, Cloud, HTML",No,High,Germany,1
ML Engineer,Bootcamp,9,"JS, ML, DL, Python",Yes,Low,Canada,1
DevOps Engineer,PhD,13,"HTML, Security, Cloud, ML",Yes,High,India,1
AI Engineer,Bootcamp,9,"ML, Cloud",No,Medium,Germany,1
Cybersecurity Analyst,Masters,2,"CSS, Cloud, ML, JS",No,Low,India,1
Web Developer,Bootcamp,12,"CSS, Security, ML, DL",No,Low,Remote,1
Data Scientist,Bootcamp,10,"Networking, CSS, HTML",Yes,Medium,UK,1
Business Analyst,Masters,14,"JS, Networking",Yes,Medium,Canada,1
Cybersecurity Analyst,Bachelors,9,"Python, ML, JS",Yes,High,Canada,1
AI Engineer,Masters,11,"Cloud, Security",No,Low,Germany,1
Cloud Engineer,Bootcamp,12,"SQL, Networking, HTML",No,High,India,1
Data Scientist,PhD,6,"DL, JS, Cloud",No,Low,USA,1
Data Scientist,Bootcamp,12,"ML, DL, Python",No,Low,Remote,1
DevOps Engineer,PhD,8,"Excel, Python, JS",No,High,India,1
DevOps Engineer,Masters,10,"Cloud, Networking, SQL",No,Medium,Canada,1
Web Developer,Bachelors,1,"ML, JS",No,High,Germany,0
Database Admin,Masters,12,"Python, ML",Yes,High,Remote,1
AI Engineer,Masters,5,"Cloud, Networking, ML, CSS",No,Medium,India,1
Cybersecurity Analyst,PhD,7,"R, JS",Yes,Low,Canada,1
Cybersecurity Analyst,PhD,0,"Networking, SQL, CSS",Yes,Medium,Germany,1
Research Scientist,Bootcamp,3,"CSS, Python",No,High,USA,0
Data Scientist,Masters,14,"Excel, Networking, HTML, DL",No,Medium,India,1
Cybersecurity Analyst,Bachelors,8,"HTML, Cloud",No,Low,Remote,1
Cloud Engineer,Masters,3,"Excel, Networking, Python",No,High,Remote,1
Database Admin,Masters,11,"DL, R, JS, CSS",Yes,Low,Canada,1
Research Scientist,Bootcamp,2,"HTML, CSS",No,Low,Canada,0
Data Scientist,Masters,11,"Security, CSS, Python",No,Low,Remote,1
Cybersecurity Analyst,Masters,6,"DL, ML, Cloud, CSS",No,High,Canada,1
AI Engineer,Masters,9,"Networking, Excel, Python",Yes,High,UK,1
Cloud Engineer,Masters,2,"Networking, Cloud, Security, Excel",Yes,Low,Germany,1
