date,region,job_role,avg_salary_usd,job_postings,applicants_per_posting,q10_demand,q50_demand,q90_demand
2019-04-01,Middle East & Africa,Machine Learning Engineer,79377.29,383,7.1,372.24,383,391.22
2019-04-01,Middle East & Africa,Data Analyst,78726.09,493,17.22,482.13,493,509.23
2019-04-01,Middle East & Africa,AI Researcher,78695.91,278,11.59,269.22,278,285.97
2019-04-01,Middle East & Africa,MLOps Engineer,84206.37,225,12.54,214.02,225,234.34
2019-05-01,North America,Data Scientist,115627.62,595,6.75,582.69,595,605.5
2019-05-01,North America,Machine Learning Engineer,124313.76,523,16.91,511.1,523,539.81
2019-05-01,North America,Data Analyst,131613.43,686,8.73,678.55,686,700.53
2019-05-01,North America,AI Researcher,127741.08,365,17.32,355.81,365,372.06
2019-05-01,North America,MLOps Engineer,132452.45,404,15.8,396.77,404,418.16
2019-05-01,Europe,Data Scientist,101022.8,511,10.19,506.34,511,525.49
2019-05-01,Europe,Machine Learning Engineer,109694.28,455,12.59,448.38,455,464.39
2019-05-01,Europe,Data Analyst,119801.9,593,18.84,585.37,593,604.41
2019-05-01,Europe,AI Researcher,117399.81,354,19.02,345.53,354,363.73
2019-05-01,Europe,MLOps Engineer,123962.8,364,10.99,354.47,364,372.72
2019-05-01,Asia-Pacific,Data Scientist,137588.57,655,10.2,644.78,655,668.81
2019-05-01,Asia-Pacific,Machine Learning Engineer,138729.26,576,11.79,566.74,576,585.18
2019-05-01,Asia-Pacific,Data Analyst,149592.79,737,13.71,724.91,737,743.95
2019-05-01,Asia-Pacific,AI Researcher,144006.67,406,19.95,388.28,406,416.18
2019-05-01,Asia-Pacific,MLOps Engineer,149819.06,467,8.08,457.43,467,484.71
2019-05-01,South America,Data Scientist,96248.62,335,11.61,321.26,335,338.78
2019-05-01,South America,Machine Learning Engineer,88328.52,330,14.66,322.33,330,338.91
2019-05-01,South America,Data Analyst,92183.92,464,14.88,451.83,464,470.61
2019-05-01,South America,AI Researcher,92202.19,209,6.49,196.86,209,221.44
2019-05-01,South America,MLOps Engineer,91055.93,263,10.96,256.24,263,274.85
2019-05-01,Middle East & Africa,Data Scientist,78761.81,370,11.32,363.75,370,376.28
2019-05-01,Middle East & Africa,Machine Learning Engineer,85263.07,275,9.02,268.84,275,290.26
2019-05-01,Middle East & Africa,Data Analyst,86785.83,385,16.45,375.29,385,397.92
2019-05-01,Middle East & Africa,AI Researcher,78657.14,231,5.34,220.08,231,235.87
2019-05-01,Middle East & Africa,MLOps Engineer,82973.06,222,19.77,212.55,222,228.13
2019-06-01,North America,Data Scientist,119407.65,587,13.31,573.91,587,598.42
2019-06-01,North America,Machine Learning Engineer,136387.49,549,7.63,535.96,549,558.53
2019-06-01,North America,Data Analyst,132493.49,673,5.7,661.45,673,680.82
2019-06-01,North America,AI Researcher,125090.01,341,9.33,335.22,341,355.02
2019-06-01,North America,MLOps Engineer,133730.79,359,12.14,347.52,359,369.55
2019-06-01,Europe,Data Scientist,113851.7,462,12.45,451.63,462,466.93
2019-06-01,Europe,Machine Learning Engineer,108063.05,463,6.13,453.1,463,478.31
2019-06-01,Europe,Data Analyst,119968.47,584,16.99,575.69,584,590.74
2019-06-01,Europe,AI Researcher,100304.23,329,6.37,319.22,329,340.86
2019-06-01,Europe,MLOps Engineer,102655.61,351,17.1,339.17,351,364.86
2019-06-01,Asia-Pacific,Data Scientist,146596.92,697,12.34,685.71,697,707.62
2019-06-01,Asia-Pacific,Machine Learning Engineer,140424.39,588,18.87,574.84,588,601.39
2019-06-01,Asia-Pacific,Data Analyst,146509.12,811,17.43,800.71,811,819.61
2019-06-01,Asia-Pacific,AI Researcher,147681.21,394,10.1,385.44,394,403.22
2019-06-01,Asia-Pacific,MLOps Engineer,153094.28,440,16.86,426.9,440,445.54
2019-06-01,South America,Data Scientist,94003.34,406,19.09,392.8,406,419.67
2019-06-01,South America,Machine Learning Engineer,87705.64,308,14.41,299.34,308,322.36
2019-06-01,South America,Data Analyst,87647.13,505,10.32,495.85,505,511.98
2019-06-01,South America,AI Researcher,81298.45,200,15.19,187.05,200,209.36
2019-06-01,South America,MLOps Engineer,93036.69,261,19.87,249.85,261,274.5
2019-06-01,Middle East & Africa,Data Scientist,73720.16,389,7.65,380.87,389,397.33
2019-06-01,Middle East & Africa,Machine Learning Engineer,84756.07,328,15.44,319.71,328,339.03
2019-06-01,Middle East & Africa,Data Analyst,77179.16,408,13.05,393.36,408,423.39
2019-06-01,Middle East & Africa,AI Researcher,78449.19,204,14.83,193.0,204,211.45
2019-06-01,Middle East & Africa,MLOps Engineer,73005.81,231,8.9,221.1,231,246.38
2019-07-01,North America,Data Scientist,131454.62,655,12.21,641.43,655,668.62
2019-07-01,North America,Machine Learning Engineer,138605.19,589,13.49,577.25,589,597.92
2019-07-01,North America,Data Analyst,137206.57,823,15.46,811.48,823,836.03
2019-07-01,North America,AI Researcher,125780.26,438,18.21,428.5,438,448.44
2019-07-01,North America,MLOps Engineer,124689.92,496,17.48,487.18,496,505.32
2019-07-01,Europe,Data Scientist,114497.64,541,19.72,535.08,541,553.24
2019-07-01,Europe,Machine Learning Engineer,121897.9,515,16.42,504.34,515,526.61
2019-07-01,Europe,Data Analyst,116649.4,655,18.98,646.34,655,665.58
2019-07-01,Europe,AI Researcher,104354.17,362,10.19,354.1,362,370.56
2019-07-01,Europe,MLOps Engineer,112019.06,389,5.37,374.3,389,398.8
2019-07-01,Asia-Pacific,Data Scientist,164108.68,735,7.45,731.6,735,746.95
2019-07-01,Asia-Pacific,Machine Learning Engineer,158413.9,731,9.1,719.05,731,740.7
2019-07-01,Asia-Pacific,Data Analyst,141974.36,937,19.76,929.08,937,949.69
2019-07-01,Asia-Pacific,AI Researcher,144668.46,446,5.47,439.75,446,460.33
2019-07-01,Asia-Pacific,MLOps Engineer,158379.72,541,16.56,529.63,541,552.38
2019-07-01,South America,Data Scientist,85750.34,478,5.49,467.41,478,490.13
2019-07-01,South America,Machine Learning Engineer,96480.53,403,8.01,387.6,403,410.78
2019-07-01,South America,Data Analyst,82838.68,561,16.96,552.34,561,565.33
2019-07-01,South America,AI Researcher,79092.54,243,15.42,230.72,243,254.12
2019-07-01,South America,MLOps Engineer,89891.2,324,6.57,314.01,324,330.52
2019-07-01,Middle East & Africa,Data Scientist,83509.45,437,9.9,426.92,437,444.37
2019-07-01,Middle East & Africa,Machine Learning Engineer,78923.26,368,6.18,361.0,368,377.16
2019-07-01,Middle East & Africa,Data Analyst,82563.37,520,7.51,508.28,520,530.83
2019-07-01,Middle East & Africa,AI Researcher,87247.92,234,18.06,221.31,234,245.91
2019-07-01,Middle East & Africa,MLOps Engineer,77859.06,328,11.78,317.41,328,339.2
2019-08-01,North America,Data Scientist,127598.11,803,5.91,794.95,803,811.55
2019-08-01,North America,Machine Learning Engineer,132757.08,681,14.88,672.72,681,699.9
2019-08-01,North America,Data Analyst,123934.11,916,19.95,905.89,916,926.36
2019-08-01,North America,AI Researcher,123351.85,462,18.02,457.01,462,474.8
2019-08-01,North America,MLOps Engineer,117881.85,533,10.57,522.33,533,546.14
2019-08-01,Europe,Data Scientist,107476.14,690,18.51,680.12,690,695.1
2019-08-01,Europe,Machine Learning Engineer,114402.74,566,8.16,551.57,566,580.14
2019-08-01,Europe,Data Analyst,112176.92,762,7.7,751.22,762,772.97
2019-08-01,Europe,AI Researcher,100922.3,376,18.06,363.68,376,377.45
2019-08-01,Europe,MLOps Engineer,100431.57,465,19.54,458.36,465,477.42
2019-08-01,Asia-Pacific,Data Scientist,158307.9,835,6.96,825.14,835,846.43
2019-08-01,Asia-Pacific,Machine Learning Engineer,140377.56,801,11.46,792.48,801,812.95
2019-08-01,Asia-Pacific,Data Analyst,143712.09,1025,7.51,1015.96,1025,1041.23
2019-08-01,Asia-Pacific,AI Researcher,153225.31,546,8.09,535.28,546,555.02
2019-08-01,Asia-Pacific,MLOps Engineer,150362.89,588,19.05,575.8,588,597.76
2019-08-01,South America,Data Scientist,81008.1,538,11.82,526.96,538,541.7
2019-08-01,South America,Machine Learning Engineer,86079.9,537,5.45,523.68,537,543.88
2019-08-01,South America,Data Analyst,85259.63,631,18.02,615.26,631,642.64
2019-08-01,South America,AI Researcher,89861.01,325,14.27,314.4,325,338.15
2019-08-01,South America,MLOps Engineer,95341.64,398,10.91,391.43,398,405.69
2019-08-01,Middle East & Africa,Data Scientist,84020.57,467,16.74,452.16,467,478.36
2019-08-01,Middle East & Africa,Machine Learning Engineer,83856.35,431,17.12,424.68,431,443.16
2019-08-01,Middle East & Africa,Data Analyst,85159.03,567,6.8,557.52,567,577.05
2019-08-01,Middle East & Africa,AI Researcher,74239.8,280,10.83,272.54,280,285.34
2019-08-01,Middle East & Africa,MLOps Engineer,74827.42,310,6.1,295.07,310,323.03
2019-09-01,North America,Data Scientist,144640.83,759,12.79,749.97,759,767.64
2019-09-01,North America,Machine Learning Engineer,122481.16,659,10.98,645.93,659,676.32
2019-09-01,North America,Data Analyst,133665.41,948,19.33,935.44,948,957.24
2019-09-01,North America,AI Researcher,128772.17,471,6.52,466.08,471,480.7
2019-09-01,North America,MLOps Engineer,122826.67,513,9.67,498.82,513,527.54
2019-09-01,Europe,Data Scientist,106681.72,634,6.83,622.35,634,641.09
2019-09-01,Europe,Machine Learning Engineer,102662.86,571,13.51,560.04,571,585.19
2019-09-01,Europe,Data Analyst,106815.7,769,14.5,758.63,769,780.63
2019-09-01,Europe,AI Researcher,110223.25,375,14.16,366.99,375,388.45
2019-09-01,Europe,MLOps Engineer,108485.72,454,8.55,446.16,454,466.68
2019-09-01,Asia-Pacific,Data Scientist,159358.07,859,14.36,848.16,859,875.67
2019-09-01,Asia-Pacific,Machine Learning Engineer,153932.72,751,17.94,741.56,751,760.61
2019-09-01,Asia-Pacific,Data Analyst,148897.48,1066,8.48,1049.37,1066,1080.38
2019-09-01,Asia-Pacific,AI Researcher,152357.88,490,7.05,482.41,490,504.92
2019-09-01,Asia-Pacific,MLOps Engineer,145848.09,656,9.11,641.11,656,662.7
2019-09-01,South America,Data Scientist,87360.46,507,12.79,496.3,507,512.33
2019-09-01,South America,Machine Learning Engineer,93750.88,449,10.0,437.88,449,461.08
2019-09-01,South America,Data Analyst,88827.76,696,5.9,684.33,696,706.23
2019-09-01,South America,AI Researcher,85856.97,328,6.45,322.24,328,342.75
2019-09-01,South America,MLOps Engineer,95913.04,343,16.93,336.28,343,352.05
2019-09-01,Middle East & Africa,Data Scientist,80566.87,526,6.34,514.82,526,534.42
2019-09-01,Middle East & Africa,Machine Learning Engineer,82014.94,436,15.63,428.36,436,442.01
2019-09-01,Middle East & Africa,Data Analyst,82031.97,505,14.01,501.46,505,517.51
2019-09-01,Middle East & Africa,AI Researcher,81005.22,280,17.77,269.75,280,289.7
2019-09-01,Middle East & Africa,MLOps Engineer,78838.9,349,16.85,338.03,349,357.48
2019-10-01,North America,Data Scientist,122278.57,664,15.42,653.92,664,673.97
2019-10-01,North America,Machine Learning Engineer,133085.54,629,14.09,616.55,629,637.05
2019-10-01,North America,Data Analyst,113582.83,821,7.2,812.83,821,830.44
2019-10-01,North America,AI Researcher,133443.0,404,9.68,392.54,404,405.34
2019-10-01,North America,MLOps Engineer,131841.45,466,8.24,451.41,466,479.66
2019-10-01,Europe,Data Scientist,118198.99,568,19.76,559.01,568,576.31
2019-10-01,Europe,Machine Learning Engineer,107980.27,494,6.52,485.16,494,504.51
2019-10-01,Europe,Data Analyst,110016.75,694,9.59,680.43,694,705.5
2019-10-01,Europe,AI Researcher,104258.15,386,18.3,380.1,386,395.33
2019-10-01,Europe,MLOps Engineer,100089.11,383,16.54,370.72,383,392.91
2019-10-01,Asia-Pacific,Data Scientist,147063.26,774,8.9,765.64,774,785.18
2019-10-01,Asia-Pacific,Machine Learning Engineer,151375.2,669,6.65,657.26,669,673.12
2019-10-01,Asia-Pacific,Data Analyst,141052.05,975,9.87,965.52,975,990.14
2019-10-01,Asia-Pacific,AI Researcher,137898.29,460,18.38,450.63,460,473.43
2019-10-01,Asia-Pacific,MLOps Engineer,138006.48,515,17.61,498.53,515,523.18
2019-10-01,South America,Data Scientist,91346.82,501,6.0,486.32,501,507.43
2019-10-01,South America,Machine Learning Engineer,90398.91,447,15.2,438.1,447,457.55
2019-10-01,South America,Data Analyst,85627.74,550,14.92,541.97,550,558.65
2019-10-01,South America,AI Researcher,91271.45,260,16.47,247.01,260,267.73
2019-10-01,South America,MLOps Engineer,96756.0,292,14.23,282.75,292,303.93
2019-10-01,Middle East & Africa,Data Scientist,77666.57,440,19.53,431.93,440,452.78
2019-10-01,Middle East & Africa,Machine Learning Engineer,81074.37,397,17.18,385.48,397,404.44
2019-10-01,Middle East & Africa,Data Analyst,82227.28,502,8.37,495.13,502,506.1
2019-10-01,Middle East & Africa,AI Researcher,75587.17,288,18.3,278.83,288,293.98
2019-10-01,Middle East & Africa,MLOps Engineer,81216.5,313,17.7,303.5,313,323.85
2019-11-01,North America,Data Scientist,140447.75,591,16.65,578.8,591,597.88
2019-11-01,North America,Machine Learning Engineer,132120.79,541,19.06,529.8,541,549.05
2019-11-01,North America,Data Analyst,133811.37,714,15.99,703.94,714,730.9
2019-11-01,North America,AI Researcher,117655.35,377,13.48,364.74,377,388.14
2019-11-01,North America,MLOps Engineer,134375.68,437,5.14,430.67,437,449.49
2019-11-01,Europe,Data Scientist,117083.9,472,8.06,456.99,472,483.18
2019-11-01,Europe,Machine Learning Engineer,112445.31,441,13.31,432.83,441,446.65
2019-11-01,Europe,Data Analyst,107501.96,562,18.15,546.82,562,570.8
2019-11-01,Europe,AI Researcher,115129.25,282,15.43,277.28,282,295.5
2019-11-01,Europe,MLOps Engineer,110996.14,324,12.21,315.69,324,334.55
2019-11-01,Asia-Pacific,Data Scientist,165045.7,742,15.15,728.37,742,750.13
2019-11-01,Asia-Pacific,Machine Learning Engineer,149947.18,648,6.16,638.51,648,656.64
2019-11-01,Asia-Pacific,Data Analyst,157164.79,831,11.6,816.57,831,839.7
2019-11-01,Asia-Pacific,AI Researcher,143675.55,387,8.31,372.46,387,398.89
2019-11-01,Asia-Pacific,MLOps Engineer,163905.69,472,6.78,460.25,472,485.44
2019-11-01,South America,Data Scientist,95393.89,372,13.82,363.47,372,378.64
2019-11-01,South America,Machine Learning Engineer,82042.02,374,8.89,364.44,374,387.1
2019-11-01,South America,Data Analyst,88340.26,491,17.04,484.51,491,492.38
2019-11-01,South America,AI Researcher,97975.13,269,16.48,260.37,269,280.06
2019-11-01,South America,MLOps Engineer,91778.89,254,14.85,244.3,254,263.39
2019-11-01,Middle East & Africa,Data Scientist,76692.48,340,9.08,328.9,340,349.09
2019-11-01,Middle East & Africa,Machine Learning Engineer,77895.69,358,5.94,355.27,358,370.65
2019-11-01,Middle East & Africa,Data Analyst,78874.69,451,19.05,439.45,451,460.67
2019-11-01,Middle East & Africa,AI Researcher,83538.43,191,19.72,178.62,191,197.24
2019-11-01,Middle East & Africa,MLOps Engineer,74573.67,266,14.13,256.11,266,273.57
2019-12-01,North America,Data Scientist,127226.08,576,8.76,565.4,576,589.45
2019-12-01,North America,Machine Learning Engineer,130400.92,517,6.02,504.92,517,528.14
2019-12-01,North America,Data Analyst,129462.79,735,12.27,723.69,735,747.71
2019-12-01,North America,AI Researcher,123436.75,314,5.93,297.83,314,328.19
2019-12-01,North America,MLOps Engineer,125792.94,414,16.79,405.94,414,421.6
2019-12-01,Europe,Data Scientist,104756.69,492,8.07,477.13,492,500.92
2019-12-01,Europe,Machine Learning Engineer,111746.1,460,16.58,447.35,460,469.77
2019-12-01,Europe,Data Analyst,127562.09,601,17.33,593.26,601,614.93
2019-12-01,Europe,AI Researcher,99930.77,291,16.89,275.38,291,304.24
2019-12-01,Europe,MLOps Engineer,117045.59,342,7.37,329.44,342,354.95
2019-12-01,Asia-Pacific,Data Scientist,156253.56,689,18.59,680.0,689,697.79
2019-12-01,Asia-Pacific,Machine Learning Engineer,153176.99,625,6.25,618.2,625,635.57
2019-12-01,Asia-Pacific,Data Analyst,153909.71,824,11.27,817.19,824,835.28
2019-12-01,Asia-Pacific,AI Researcher,157392.97,423,15.79,405.23,423,430.58
2019-12-01,Asia-Pacific,MLOps Engineer,152032.31,494,13.11,487.02,494,507.42
2019-12-01,South America,Data Scientist,89468.69,405,12.41,396.82,405,413.5
2019-12-01,South America,Machine Learning Engineer,92456.18,376,17.39,366.72,376,384.9
2019-12-01,South America,Data Analyst,85849.15,507,14.77,497.97,507,512.44
2019-12-01,South America,AI Researcher,89536.4,290,19.69,282.71,290,300.97
2019-12-01,South America,MLOps Engineer,95344.56,255,7.62,244.4,255,263.79
2019-12-01,Middle East & Africa,Data Scientist,77963.22,386,14.64,375.62,386,401.82
2019-12-01,Middle East & Africa,Machine Learning Engineer,77289.02,314,18.07,303.46,314,326.17
2019-12-01,Middle East & Africa,Data Analyst,75151.64,463,18.61,450.98,463,478.7
2019-12-01,Middle East & Africa,AI Researcher,76101.88,232,13.2,222.36,232,242.76
2019-12-01,Middle East & Africa,MLOps Engineer,79249.86,239,5.63,228.0,239,249.57
2020-01-01,North America,Data Scientist,127169.34,705,16.31,695.78,705,717.67
2020-01-01,North America,Machine Learning Engineer,134285.97,597,6.69,585.9,597,612.51
2020-01-01,North America,Data Analyst,127729.44,814,9.52,804.91,814,819.18
2020-01-01,North America,AI Researcher,136825.72,412,5.72,399.15,412,427.13
2020-01-01,North America,MLOps Engineer,128902.66,476,5.95,462.51,476,487.04
2020-01-01,Europe,Data Scientist,111458.36,611,17.44,600.43,611,624.0
2020-01-01,Europe,Machine Learning Engineer,113728.31,453,16.61,448.49,453,465.66
2020-01-01,Europe,Data Analyst,121578.61,681,14.47,666.08,681,693.23
2020-01-01,Europe,AI Researcher,101189.19,344,12.32,336.53,344,355.27
2020-01-01,Europe,MLOps Engineer,118134.93,416,12.59,407.87,416,426.58
2020-01-01,Asia-Pacific,Data Scientist,140099.83,762,7.1,752.11,762,771.34
2020-01-01,Asia-Pacific,Machine Learning Engineer,153390.25,646,9.21,635.75,646,651.63
2020-01-01,Asia-Pacific,Data Analyst,144358.83,943,12.69,928.98,943,954.13
2020-01-01,Asia-Pacific,AI Researcher,144156.36,465,14.26,455.96,465,472.61
2020-01-01,Asia-Pacific,MLOps Engineer,150159.84,602,19.89,592.18,602,610.8
2020-01-01,South America,Data Scientist,83800.35,430,11.17,419.2,430,441.53
2020-01-01,South America,Machine Learning Engineer,94027.67,384,8.86,373.56,384,394.43
2020-01-01,South America,Data Analyst,86812.7,559,10.76,555.46,559,566.84
2020-01-01,South America,AI Researcher,85557.69,277,6.2,266.77,277,288.54
2020-01-01,South America,MLOps Engineer,95518.82,344,10.43,334.3,344,354.06
2020-01-01,Middle East & Africa,Data Scientist,80932.86,449,15.86,438.14,449,459.18
2020-01-01,Middle East & Africa,Machine Learning Engineer,73211.61,352,12.29,343.65,352,362.28
2020-01-01,Middle East & Africa,Data Analyst,75889.3,526,14.78,518.6,526,537.41
2020-01-01,Middle East & Africa,AI Researcher,87360.87,258,9.13,245.0,258,265.99
2020-01-01,Middle East & Africa,MLOps Engineer,78999.81,327,18.75,316.22,327,331.54
2020-02-01,North America,Data Scientist,118068.23,777,14.02,763.9,777,790.38
2020-02-01,North America,Machine Learning Engineer,127329.71,657,18.35,647.64,657,664.11
2020-02-01,North America,Data Analyst,130322.26,917,14.55,908.69,917,926.37
2020-02-01,North America,AI Researcher,124761.84,443,10.47,428.15,443,458.67
2020-02-01,North America,MLOps Engineer,129701.19,515,5.41,503.36,515,525.02
2020-02-01,Europe,Data Scientist,109397.15,644,7.4,635.11,644,648.59
2020-02-01,Europe,Machine Learning Engineer,109486.11,585,18.33,571.48,585,596.11
