Year,Country,CO2_Emissions,Temperature_Anomaly,Sea_Level_Rise_mm,Deforestation_Rate,Renewable_Energy_%,Population_Millions,Urbanization_%,Greenhouse_Gases_ppm,Climate_Risk_Level
2012,UK,3012.45,0.767,3.93,3.77,37.66,828.92,45.81,371.03,High
1991,UK,3387.9,0.668,1.81,3.05,32.66,1375.58,20.34,392.65,Low
2001,Canada,4836.67,1.031,3.07,1.48,28.96,830.14,28.98,411.26,Low
2023,Brazil,6395.93,0.628,4.09,3.96,58.77,71.28,25.93,357.56,High
2004,UK,3369.05,0.595,3.4,2.29,36.82,540.37,33.74,399.53,Low
2006,India,3380.37,1.138,2.17,4.65,11.73,1101.46,85.64,434.51,High
2021,Australia,4544.86,0.933,3.72,3.03,54.8,484.47,25.13,402.78,Low
2007,China,6031.46,1.001,3.3,1.67,41.59,107.9,33.05,424.25,High
1995,India,7630.7,0.922,2.85,4.41,18.53,130.43,65.46,401.48,High
1994,Russia,5131.87,1.665,3.87,3.09,21.52,670.29,50.43,410.82,Medium
2023,UK,3987.85,1.006,2.33,1.95,55.71,116.84,55.59,453.2,Low
1982,India,3805.46,0.945,2.96,3.57,52.83,648.86,40.32,431.67,High
2016,China,7058.25,1.113,3.06,4.29,42.37,857.89,59.8,453.36,High
1986,Australia,3105.71,1.097,4.16,0.11,15.81,57.27,25.64,421.01,Medium
2000,Pakistan,5290.76,1.289,3.39,1.49,46.69,464.0,30.75,380.18,Medium
1988,Australia,6976.5,1.052,2.74,1.11,44.76,200.78,20.81,390.69,High
2018,USA,4762.53,1.126,2.55,1.6,25.75,316.26,45.84,432.01,Low
1997,India,3378.4,1.231,1.73,4.18,56.27,369.61,82.5,461.02,High
1983,Canada,5793.83,1.324,2.41,2.09,43.22,1163.96,67.35,407.92,Medium
2004,Russia,5155.94,0.864,3.24,1.7,57.51,686.57,53.15,381.46,Low
1993,Australia,5705.61,0.556,1.26,2.89,38.76,451.45,83.76,418.89,Low
1988,Brazil,5867.93,0.502,3.2,1.28,53.83,215.2,47.35,411.9,Low
2005,India,5776.65,1.153,2.2,3.28,40.04,755.19,54.97,395.5,Low
1981,Pakistan,5444.05,1.063,4.25,0.17,38.79,652.28,46.78,344.47,Medium
1999,Russia,6015.48,0.603,3.05,1.75,23.69,599.6,42.27,405.98,High
2007,Canada,7023.6,1.0,3.23,2.42,39.98,429.17,20.23,393.35,High
1986,Canada,3824.86,0.87,2.13,2.64,23.13,1078.22,75.94,386.26,Low
2023,Germany,4601.51,0.764,2.62,0.32,14.97,865.46,27.16,402.0,Low
1987,Pakistan,6190.63,0.448,3.02,4.15,23.34,1280.19,31.03,391.62,High
2014,USA,4890.78,0.884,3.76,1.93,55.4,462.67,31.55,389.14,Low
1993,Brazil,3104.47,1.108,3.05,2.24,33.74,758.91,40.62,412.82,Low
1996,Australia,5499.28,1.539,2.69,4.77,12.43,181.64,80.87,399.77,High
2015,Australia,4262.88,0.594,2.47,3.55,48.41,1154.84,72.61,369.5,High
2019,USA,8180.53,0.868,3.55,3.52,13.76,609.68,30.13,389.22,High
1983,India,6489.94,1.487,3.02,2.79,25.32,1260.28,85.59,450.91,High
1981,China,6739.43,1.295,1.94,4.77,31.7,1115.72,70.2,384.17,High
1985,Canada,5062.53,1.244,3.55,4.94,39.19,1304.23,56.0,418.75,High
2021,Australia,5465.78,1.0,5.29,1.76,50.37,873.97,41.59,394.32,Medium
1983,India,4486.42,1.247,2.82,2.95,15.42,887.56,76.92,397.1,Medium
2008,Germany,3742.88,0.758,3.57,0.09,12.1,142.11,85.59,428.46,Low
1997,USA,3632.37,0.712,3.24,3.86,26.73,30.13,25.72,401.95,High
2005,USA,8204.9,0.522,3.33,4.38,40.69,317.66,86.13,402.49,High
2023,UK,5595.3,0.983,5.26,2.81,23.29,84.55,87.11,406.99,Medium
2013,USA,3015.96,1.195,1.96,0.85,22.87,1275.24,89.8,386.08,Low
1989,Brazil,6442.23,1.114,3.57,2.06,35.25,511.89,37.17,377.77,High
2015,UK,8934.78,1.515,3.32,3.17,33.7,247.95,53.52,434.1,High
1993,USA,2696.52,0.773,1.78,4.36,26.19,580.28,35.3,389.54,High
2010,Russia,5900.43,1.329,3.81,3.15,24.87,641.95,57.77,436.19,Medium
1994,Brazil,3315.99,1.04,1.24,3.63,28.36,335.62,73.22,377.88,High
1987,Russia,6733.27,1.312,4.05,2.54,55.91,1108.79,66.25,425.05,High
1993,Russia,1790.84,0.986,3.0,2.63,47.17,153.64,49.85,386.1,Low
2002,UK,5118.29,0.994,3.41,1.04,29.52,1151.23,78.04,406.51,Low
2019,Canada,5665.62,1.077,3.71,2.24,12.26,1274.32,69.3,412.04,Low
2000,USA,2923.08,1.008,1.4,2.31,25.18,203.52,25.84,377.95,Low
1995,Australia,5666.1,1.433,3.94,0.28,12.63,9.67,86.59,401.91,Medium
2024,India,4302.76,0.355,3.83,4.18,27.3,852.93,81.98,373.46,High
1997,Pakistan,7584.72,0.803,3.06,3.11,52.43,756.4,79.95,386.54,High
2003,Pakistan,2864.34,0.812,4.11,0.33,12.86,608.75,57.46,393.5,Medium
2005,UK,6362.75,1.284,5.13,4.56,24.91,540.79,51.45,398.77,High
2004,Brazil,4850.04,0.854,5.16,2.94,13.04,609.0,59.33,403.82,Medium
2024,Russia,6940.46,0.986,5.35,2.0,27.31,286.33,87.63,406.08,High
2020,Canada,6974.94,0.891,1.67,0.84,29.42,568.91,72.54,401.49,High
2008,Brazil,4622.57,1.207,3.07,1.53,35.83,1276.95,25.16,347.99,Medium
1994,UK,4932.97,0.962,3.43,2.11,38.4,364.71,62.45,452.37,Low
2024,China,6363.11,1.258,3.24,3.0,43.84,1177.79,30.29,372.87,High
1980,India,5782.94,1.296,4.38,4.61,39.06,202.58,58.23,422.97,High
2004,Canada,4824.04,1.586,1.84,0.09,24.42,734.72,52.5,373.12,Medium
1986,Brazil,3749.91,1.26,2.26,1.69,22.09,1091.85,65.07,421.37,Medium
1988,Pakistan,5547.99,1.145,2.87,1.36,10.62,296.67,38.26,438.19,Low
2003,Canada,3333.36,1.547,3.48,4.07,41.4,702.59,34.63,391.33,High
1980,Russia,5972.36,1.341,3.34,2.21,52.86,1036.19,77.89,405.0,Medium
2023,Australia,6665.87,1.027,3.61,3.38,24.85,248.31,83.92,427.99,High
1987,USA,3760.69,0.91,3.9,3.33,52.84,908.15,35.33,402.71,Medium
2003,Australia,4374.13,1.365,4.18,0.21,39.42,748.45,41.41,415.2,Medium
1990,UK,4054.07,0.885,3.97,1.53,44.97,355.36,20.62,417.84,Medium
1996,China,6580.83,1.126,3.04,4.53,47.78,287.97,66.74,421.32,High
1987,Germany,5082.06,0.531,2.91,3.67,50.9,1394.99,87.74,381.1,High
2014,China,4450.95,0.946,2.76,4.57,21.45,663.03,48.29,390.51,High
2014,Russia,5971.3,1.432,4.9,2.97,24.06,1083.34,58.7,425.84,Medium
2012,China,4278.87,0.688,1.94,3.32,45.37,962.96,45.3,414.54,Low
1984,India,4694.35,1.23,3.93,4.68,17.78,773.33,63.93,412.18,High
2021,Germany,3327.57,0.348,3.11,4.07,56.74,1360.37,52.46,441.34,High
2018,UK,6257.97,1.38,6.23,1.55,31.07,192.82,79.16,411.88,High
2020,USA,3362.07,0.762,2.08,3.01,35.67,1310.91,87.28,475.15,Low
2007,Brazil,7149.41,0.897,2.06,0.24,21.93,803.34,40.81,398.32,High
1986,Australia,5358.48,1.424,5.4,4.5,14.06,1385.36,57.65,421.51,High
1988,India,4764.93,0.887,2.5,4.41,23.97,502.17,60.6,409.79,High
1987,USA,4980.35,1.281,3.56,1.33,54.54,163.88,26.6,462.63,Medium
1991,India,7564.93,1.211,1.01,1.21,41.93,310.04,34.16,418.21,High
2013,Russia,2980.76,1.369,3.33,3.4,34.42,526.52,78.72,442.79,Medium
2012,China,3091.92,1.295,2.87,0.01,12.0,1079.92,50.12,416.66,Medium
2002,USA,6439.09,0.967,3.62,2.05,21.42,323.93,25.27,394.67,High
2003,Canada,3617.97,1.354,2.89,1.49,19.33,1315.76,63.42,415.37,Medium
2016,Canada,3891.2,1.075,2.9,0.31,18.63,528.24,49.46,419.96,Low
2014,Australia,4335.39,1.072,4.92,1.51,55.73,828.36,81.98,433.17,Medium
2023,China,6688.21,1.515,4.43,1.67,42.48,105.87,45.09,429.65,High
2019,USA,6214.32,1.103,3.51,4.11,52.01,748.91,67.89,415.87,High
2001,Australia,4788.23,0.96,4.76,4.07,16.3,1075.47,36.08,374.23,High
2006,Pakistan,5600.77,1.501,4.53,4.34,11.56,908.31,84.24,438.51,High
2014,Brazil,5564.5,1.013,4.4,0.61,37.49,931.25,86.89,408.71,Medium
1980,Russia,3496.21,0.673,5.24,0.97,28.16,823.8,53.24,415.74,Medium
2014,Australia,3598.25,0.532,3.37,0.81,11.17,1393.67,38.99,430.65,Low
2016,Pakistan,1944.96,0.964,4.16,3.06,35.77,560.02,21.93,405.3,Medium
1993,China,7235.9,0.856,4.07,1.38,21.33,683.67,59.28,407.59,High
1982,Brazil,3994.87,1.312,2.6,4.05,55.5,647.72,66.57,383.29,High
1980,Russia,5020.38,0.835,3.69,4.71,53.79,359.33,61.45,426.67,High
1984,Germany,5808.36,0.615,3.84,0.11,22.24,535.43,64.42,413.28,Medium
2005,India,3543.1,1.002,3.98,2.34,30.9,744.74,30.76,444.54,Medium
1993,Germany,3728.61,0.521,1.91,4.88,47.81,899.7,36.74,406.36,High
2018,China,3618.62,1.016,1.37,2.78,32.79,502.69,76.23,383.9,Low
2006,India,654.78,1.01,3.5,3.97,42.48,602.54,27.32,411.15,High
1988,Australia,4902.29,0.896,3.32,2.68,55.53,776.95,68.96,357.75,Low
1994,Pakistan,8505.74,0.617,4.06,3.72,30.45,1330.79,78.07,425.21,High
1994,Pakistan,4205.84,0.795,3.85,0.8,49.19,812.36,46.39,406.47,Medium
2005,Germany,4246.81,0.946,3.33,3.34,41.09,649.34,21.01,447.77,Low
2021,USA,4445.28,0.618,1.7,4.05,33.78,556.24,67.54,426.6,High
1992,Brazil,5467.41,1.111,2.67,3.67,27.58,1399.74,31.36,402.39,High
2011,USA,6322.17,1.158,3.39,1.56,56.15,1393.76,28.85,409.5,High
2018,USA,3748.27,1.026,3.05,1.67,15.41,1267.24,48.32,451.83,Low
2011,Australia,5693.86,0.768,2.96,4.88,46.07,151.48,75.93,443.2,High
1983,UK,4871.38,0.926,3.61,4.61,33.63,423.16,57.34,374.06,High
2009,USA,5448.32,1.445,3.73,2.59,22.12,814.25,51.23,426.44,Medium
2016,UK,5676.94,1.174,4.95,3.47,10.17,1023.81,63.97,442.03,Medium
2002,Australia,3537.8,0.951,3.22,4.05,23.06,1202.35,84.53,393.13,High
2018,Brazil,4210.89,1.208,4.2,2.94,38.99,648.07,52.22,420.25,Medium
2024,Pakistan,5693.54,0.342,3.35,0.37,49.94,1267.86,25.99,391.7,Low
1994,Australia,4789.72,1.754,2.6,2.38,41.74,1277.55,39.38,454.67,Medium
2022,Germany,6188.36,0.636,2.91,4.22,14.84,121.6,84.22,419.43,High
2008,Russia,4666.41,1.082,3.21,1.62,28.57,1376.43,57.18,415.59,Low
2015,China,6515.72,0.727,2.63,2.51,13.17,1315.0,34.31,388.26,High
1992,UK,2056.11,0.673,3.1,1.03,42.34,682.25,41.43,412.46,Low
2011,India,5485.02,1.312,4.39,4.12,50.34,337.95,52.23,408.66,High
1986,China,3065.51,0.962,2.75,1.01,53.44,441.99,88.9,403.65,Low
2001,USA,6682.06,1.05,1.85,3.71,31.04,280.73,50.1,397.89,High
2007,Brazil,4775.96,1.092,3.76,3.2,55.51,1283.48,33.65,386.12,Low
1981,Germany,4489.24,1.18,3.69,4.68,36.27,895.12,65.27,461.15,High
2021,India,3760.67,1.157,3.47,2.95,25.76,505.51,53.15,453.11,Low
2024,Australia,5995.54,1.261,3.79,3.47,56.51,350.06,74.01,432.5,Medium
1985,Pakistan,5852.21,0.446,2.07,4.97,22.66,77.73,88.31,424.49,High
2007,Australia,4577.71,0.765,3.23,1.64,29.94,659.33,72.12,414.56,Low
2007,Australia,5998.15,0.728,2.6,1.2,11.09,320.61,74.35,364.05,Low
2023,Russia,5330.93,1.315,5.1,1.73,26.88,15.33,77.73,392.43,Medium
2023,Germany,5128.94,1.227,3.12,3.46,16.56,386.08,20.75,382.88,Medium
1999,Germany,6174.32,1.198,3.44,2.37,15.49,373.59,38.1,394.67,High
2009,USA,7717.02,0.723,0.78,3.12,42.55,842.21,69.42,419.16,High
1990,USA,5422.84,0.64,1.26,4.85,32.28,508.45,54.04,412.41,High
2007,China,5425.15,0.501,4.89,2.69,38.6,12.78,77.12,424.28,Medium
2004,Germany,6377.92,1.103,3.27,3.32,23.91,1009.93,28.8,399.82,High
2018,Pakistan,3571.3,0.541,2.63,0.8,17.92,847.92,41.41,407.34,Low
2012,USA,4725.38,1.224,2.72,1.62,36.1,46.84,87.73,416.79,Medium
1980,Brazil,4420.87,0.793,3.51,4.06,31.09,1258.93,75.33,386.06,High
2006,Russia,5450.59,0.845,3.53,0.01,50.32,771.84,53.2,416.6,Low
1992,China,5325.41,0.911,2.77,3.05,37.86,1261.08,62.25,410.07,Low
2020,India,7637.85,0.623,3.5,3.82,32.9,600.83,28.09,415.42,High
1982,UK,7248.78,1.272,2.67,1.64,29.12,152.2,88.35,411.31,High
2018,Pakistan,2727.78,0.66,3.65,1.48,42.66,332.35,51.76,474.05,Low
1985,India,5535.9,0.918,4.53,1.07,25.67,1049.02,33.48,383.18,Medium
1987,Brazil,6062.28,1.303,2.93,3.8,14.63,1378.57,60.6,407.84,High
2006,Russia,5126.08,0.42,3.39,4.91,43.71,320.5,88.75,409.49,High
1988,Russia,4226.02,0.593,2.97,3.52,21.34,481.5,33.08,406.37,High
2016,Pakistan,7068.07,0.844,0.98,3.87,13.73,165.49,28.18,397.42,High
2012,Australia,5495.24,0.983,4.29,1.58,54.65,141.74,42.71,392.76,Medium
2021,Canada,3434.87,1.167,2.71,3.54,30.32,899.07,39.28,413.59,High
2023,Russia,6464.03,1.034,2.79,3.13,26.56,633.6,65.87,385.78,High
2003,Germany,5701.61,1.135,3.79,0.71,31.72,903.23,73.0,384.7,Low
1994,Canada,4034.51,1.107,5.18,3.28,25.18,756.55,58.55,434.43,Medium
2011,Germany,3854.8,1.162,4.1,4.67,19.48,647.62,20.02,404.11,High
2011,Australia,3805.8,0.59,3.06,2.5,39.37,1220.62,21.59,436.4,Low
2003,Australia,6775.63,0.844,4.09,4.36,20.58,308.22,79.6,393.75,High
2020,Australia,5884.2,0.954,3.86,4.5,35.53,1198.03,88.82,373.23,High
1991,USA,6434.34,1.053,3.18,0.4,38.88,1277.67,36.29,373.0,High
2018,UK,5306.75,0.909,4.37,4.16,55.65,23.31,46.08,387.62,High
1981,Australia,3977.67,0.924,4.15,2.66,17.8,786.65,40.34,416.02,Medium
1982,Germany,3808.5,0.849,5.29,3.22,58.66,872.62,62.56,427.22,Medium
2016,Germany,6609.72,0.99,2.91,0.58,55.61,1212.8,32.63,387.56,High
1996,China,5669.34,1.681,3.38,0.61,31.69,966.82,43.2,388.89,Medium
1981,UK,4601.46,1.02,5.14,3.6,56.2,1299.63,72.87,419.57,High
1981,Pakistan,5032.03,0.663,2.51,4.14,52.03,338.36,82.06,466.89,High
2007,Pakistan,6497.13,1.287,2.94,4.91,26.74,839.59,25.69,414.89,High
2002,UK,5844.78,0.468,3.03,4.63,56.66,1185.82,72.55,463.72,High
2016,India,4861.6,1.081,3.5,4.06,12.86,759.55,23.01,448.54,High
2011,USA,4930.63,1.006,4.3,4.85,18.2,297.12,30.3,384.67,High
2012,Canada,4114.23,1.476,3.9,3.55,39.57,1153.06,71.61,446.1,High
1980,Pakistan,5034.73,1.072,2.12,4.97,10.39,834.07,25.07,410.53,High
1998,Australia,4568.22,1.449,3.68,1.87,47.78,830.96,20.61,425.72,Medium
1981,Pakistan,4924.8,1.006,4.42,0.26,42.29,1109.99,40.72,450.85,Medium
2023,Australia,4187.66,1.119,4.47,3.62,55.41,253.61,29.5,405.27,High
2005,Germany,2990.41,0.816,6.12,1.16,37.08,1359.5,48.89,422.39,Medium
2011,Australia,6430.7,0.883,4.35,1.86,50.71,1083.51,85.23,409.37,High
1985,Australia,5859.68,1.185,1.68,1.39,10.55,761.71,82.07,442.96,Low
2011,USA,4601.79,1.363,3.31,0.04,29.77,880.1,77.02,463.0,Medium
1983,China,4517.28,0.472,2.9,2.52,25.82,321.86,21.96,358.15,Low
1990,Australia,2916.88,1.623,2.93,0.41,13.87,12.61,87.44,445.14,Medium
1996,Canada,6598.82,1.136,3.16,1.11,15.99,956.92,75.3,420.58,High
2017,India,6880.92,0.898,4.09,2.03,59.75,1286.47,49.71,417.44,High
2003,USA,4868.02,1.141,2.74,2.55,12.71,919.06,61.03,418.21,Low
1984,China,5490.17,0.835,3.09,3.74,37.13,512.52,82.22,439.86,High
2013,India,3516.95,1.225,1.44,1.05,25.12,1141.34,76.15,408.48,Medium
1985,Russia,5128.4,1.207,1.41,2.44,58.17,139.84,81.03,472.61,Medium
2001,Germany,3968.0,1.039,3.88,3.39,26.52,1374.98,78.88,416.71,Medium
1990,Brazil,3973.2,0.728,3.95,3.07,27.17,623.06,62.01,376.45,Medium
1995,Germany,4567.1,1.008,3.36,0.8,37.33,1136.03,80.31,407.06,Low
2012,Russia,4363.57,1.058,4.91,4.14,17.98,1255.78,54.96,419.29,High
1988,India,4807.6,1.27,3.65,0.09,55.23,561.4,61.59,405.64,Medium
1985,UK,6584.97,0.833,1.52,2.19,46.97,1158.57,74.6,390.22,High
1995,Germany,1832.05,0.895,4.21,1.48,54.17,525.94,79.25,363.38,Medium
2008,Pakistan,4200.1,1.384,1.37,0.5,59.26,333.22,26.19,395.76,Medium
1982,Canada,5947.64,1.511,5.25,3.8,59.05,1144.23,39.86,429.01,High
1999,Russia,5292.08,1.015,4.83,4.34,31.19,292.51,72.03,446.1,High
2015,Canada,3830.37,1.371,5.49,2.68,54.76,444.61,31.07,434.19,Medium
1998,USA,8157.8,0.999,4.59,2.84,39.0,643.93,61.39,421.89,High
2005,Russia,9044.52,0.65,4.32,2.79,58.79,565.58,71.87,436.16,High
1982,Australia,4976.74,0.812,4.78,1.78,34.02,415.26,80.67,427.68,Medium
1998,UK,3512.84,0.79,3.53,2.6,34.76,162.55,42.63,430.62,Low
1999,China,4623.32,0.887,2.08,2.76,45.52,393.05,69.87,395.17,Low
2011,China,3309.02,0.894,4.22,4.99,13.47,720.7,42.32,438.76,High
1986,Brazil,5600.97,1.637,4.76,1.67,15.12,52.35,37.23,365.84,Medium
2020,Brazil,5863.34,0.789,5.03,3.92,39.84,343.6,48.89,402.92,High
2012,Australia,6477.98,0.697,2.09,1.38,44.48,786.78,84.85,437.92,High
2019,Canada,5599.13,1.362,0.34,1.5,42.53,760.27,38.83,431.11,Medium
2018,USA,5343.14,0.522,4.1,0.2,46.66,1242.04,80.36,383.56,Medium
1997,Pakistan,3488.68,1.082,4.3,0.73,31.07,440.9,49.81,395.57,Medium
2019,Brazil,3166.27,0.993,1.79,2.02,21.38,404.81,24.79,375.72,Low
1980,Russia,1968.84,0.892,2.85,4.05,33.28,526.18,71.24,407.6,High
1990,Germany,5121.33,0.748,3.43,2.66,14.63,1002.43,20.68,458.06,Low
2007,India,6294.9,0.68,3.06,2.2,39.48,256.55,67.07,387.13,High
2004,UK,6727.51,1.184,2.11,4.19,31.78,177.76,65.23,415.05,High
2002,Russia,6256.41,1.333,4.39,3.74,16.66,385.15,24.85,411.53,High
2010,Germany,4449.2,0.804,3.45,2.08,59.45,818.77,71.73,419.94,Low
2009,Canada,7788.73,0.946,3.75,4.95,55.67,47.53,65.12,417.15,High
2021,Canada,3576.81,0.66,4.1,3.99,56.67,1147.82,76.16,394.92,High
2014,USA,3506.75,1.026,5.39,2.05,30.69,466.96,63.31,377.75,Medium
1986,Australia,6150.06,0.826,2.92,4.06,37.33,273.32,24.66,404.17,High
1995,Canada,7109.36,1.062,4.77,2.83,51.5,1157.56,73.4,389.34,High
2005,China,7688.97,0.967,3.98,0.3,35.46,1323.72,51.76,427.67,High
1981,UK,6495.66,0.623,2.48,3.6,31.97,25.0,40.02,407.06,High
1980,China,6101.9,1.032,3.37,1.99,41.79,955.2,39.76,363.47,High
1991,India,6219.24,0.981,4.45,3.62,18.86,501.97,28.66,430.64,High
1984,USA,4582.82,0.817,3.42,2.35,12.57,817.95,26.59,403.89,Low
2016,India,3798.08,1.253,4.16,1.43,54.1,817.95,27.76,408.04,Medium
2011,Canada,5412.06,0.969,2.89,1.48,27.94,1331.24,81.74,453.71,Low
1988,Australia,2456.51,1.119,1.74,0.88,11.11,1051.71,53.36,410.65,Low
2020,Brazil,4537.5,1.531,1.95,4.46,39.61,647.29,48.24,425.18,High
2014,Germany,4203.92,1.567,2.97,4.77,12.92,1070.84,33.87,401.57,High
1998,Germany,5874.91,0.626,4.26,3.5,41.46,564.58,51.21,411.7,Medium
1995,USA,5330.2,1.218,3.83,0.38,39.38,39.31,68.74,427.3,Medium
1982,Russia,7229.71,0.945,4.02,2.44,25.34,261.51,39.32,427.89,High
1999,Russia,6233.43,1.098,2.52,0.38,12.75,467.26,88.73,437.28,High
2003,China,4041.33,1.349,2.84,1.56,28.74,613.85,76.95,444.23,Medium
2012,China,6008.77,1.217,2.32,0.19,13.6,357.62,42.9,418.65,High
2003,Germany,2409.1,0.965,2.61,4.98,31.11,978.3,89.27,364.48,High
1990,UK,6098.59,1.306,4.94,2.14,59.49,12.8,20.96,404.75,High
1987,India,3880.75,0.857,3.87,1.38,24.23,1071.08,81.73,412.6,Medium
2015,China,4088.33,1.073,2.86,0.4,29.32,926.78,53.74,440.21,Low
2017,Australia,7014.46,1.215,2.36,0.72,32.76,689.84,30.38,455.63,High
2019,Germany,5584.31,1.234,2.36,1.14,13.96,1241.84,89.31,396.61,Medium
1999,UK,4710.35,0.492,2.95,2.22,30.33,42.57,26.68,383.53,Low
2014,India,6524.59,0.756,4.2,0.69,47.3,75.05,79.34,411.7,High
2004,Russia,7209.9,0.771,2.0,0.47,25.94,348.87,57.68,426.64,High
2014,Germany,3500.43,0.933,4.81,3.39,35.3,581.52,80.85,392.84,Medium
2004,Pakistan,3929.38,1.212,4.99,2.97,21.97,1041.82,55.91,428.92,Medium
2008,UK,6216.79,1.071,3.56,0.92,59.83,1359.63,27.57,398.82,High
1997,USA,5459.89,1.262,3.56,2.55,34.0,149.89,88.91,391.75,Medium
1997,China,2208.31,1.539,4.0,1.18,34.12,1120.12,42.75,418.54,Medium
1981,Brazil,7674.03,1.006,1.74,0.43,36.19,86.77,77.13,425.52,High
2014,China,4277.34,1.074,1.54,3.58,44.08,1117.7,79.48,392.19,High
1995,India,3492.61,1.392,3.55,2.63,57.38,469.49,51.32,400.52,Medium
2020,Germany,5017.41,0.705,2.01,3.02,11.39,1306.26,53.2,395.28,Low
2015,Russia,6353.12,1.142,2.53,0.75,22.01,728.87,33.42,437.88,High
2012,UK,6702.0,1.006,3.35,3.76,59.66,885.42,28.91,421.22,High
1983,Brazil,5085.75,0.56,1.48,3.84,26.55,1096.72,33.05,375.89,High
2012,China,8803.74,1.292,3.97,2.5,20.08,1085.99,81.49,398.55,High
1993,Canada,9234.59,1.386,3.48,4.33,48.43,475.42,86.16,430.98,High
2000,Pakistan,5671.95,1.281,4.84,4.96,31.15,478.97,40.54,431.72,High
1999,Canada,4906.88,0.777,1.57,2.19,53.7,1225.22,27.23,370.01,Low
1987,Pakistan,4494.76,1.659,3.18,3.47,50.63,738.13,76.53,402.27,Medium
1986,Russia,4770.81,1.302,2.41,0.11,41.38,3.32,32.31,379.18,Medium
1982,Australia,7242.65,1.212,4.47,0.34,47.28,707.7,42.17,406.62,High
1996,Pakistan,5503.7,1.281,4.06,2.51,18.24,846.08,38.82,421.29,Medium
2012,Brazil,6305.46,1.176,4.27,0.86,57.5,213.2,70.81,382.97,High
1991,Pakistan,6040.83,0.922,3.66,0.12,31.15,1138.85,56.44,428.5,High
2001,UK,5909.58,1.141,3.0,0.31,36.39,221.46,40.49,395.06,Low
2001,China,6633.6,1.199,3.76,0.52,10.94,462.75,55.34,428.82,High
2009,China,6241.34,1.029,2.76,4.65,27.38,103.08,40.61,403.87,High
2017,Russia,5715.01,0.781,4.57,3.38,38.27,1203.58,48.36,396.8,Medium
2017,Canada,7767.33,1.063,2.27,3.94,33.49,1001.16,53.72,416.75,High
2024,Canada,3021.06,1.292,3.46,0.85,43.87,940.74,22.64,388.46,Medium
1987,Australia,5424.57,0.999,3.52,1.63,17.91,936.49,44.86,416.82,Low
2006,Canada,4208.56,1.335,3.12,0.56,10.55,1086.35,51.8,423.37,Medium
2006,Russia,6379.45,0.915,3.31,4.34,44.24,1352.66,60.21,398.39,High
2013,Pakistan,2548.69,0.992,3.69,2.23,45.97,946.61,31.78,422.74,Low
2000,Australia,5349.77,0.482,2.8,4.43,17.65,867.7,37.97,404.28,High
2009,Russia,5723.56,1.127,3.97,3.23,58.48,815.33,56.38,426.18,Medium
2012,USA,6834.44,0.387,2.41,4.58,13.57,85.96,84.97,457.27,High
2007,India,4365.83,1.022,2.04,3.52,36.1,1168.4,78.74,445.66,High
2012,Canada,9185.35,1.102,1.67,2.73,42.96,1133.33,89.68,431.44,High
1984,Brazil,4120.44,1.01,2.05,0.05,35.78,1365.84,30.75,388.45,Low
1998,China,3292.68,0.609,3.68,1.59,37.15,976.83,74.55,409.86,Low
