student_id,age,hours_studied_per_week,attendance_rate,previous_term_score,assignments_completed,participation_score,sleep_hours_per_night,internet_access,family_support,study_group,practice_tests_taken,screen_time_hours,distractions_score,late_night_study,final_exam_score
57,27,14.49,90.7,68.59,13,6.6,9.82,0,1,1,4,1.85,5.09,0.0,69.38
58,24,4.16,100.0,49.25,12,2.82,7.02,0,0,0,11,1.92,3.13,2.26,54.68
59,22,14.73,94.52,60.28,9,5.42,8.08,0,0,0,3,1.08,3.7,2.0,60.57
60,23,10.01,86.8,69.08,6,6.46,7.17,0,1,0,14,4.59,5.12,2.26,64.03
61,19,21.58,66.55,72.29,19,8.44,3.55,1,0,1,6,4.35,7.97,2.43,67.74
62,22,6.74,95.02,44.9,8,7.26,8.76,0,0,0,0,1.09,3.35,1.03,50.69
63,21,0.76,94.94,57.5,16,5.41,5.29,0,1,0,12,3.36,3.48,3.78,59.79
64,19,12.33,82.97,63.15,18,3.49,8.59,1,1,0,10,2.09,2.94,1.96,61.38
65,29,10.26,80.3,69.44,14,6.03,6.79,1,0,0,10,4.06,7.19,1.09,61.76
66,16,9.92,91.01,74.67,7,5.73,5.7,1,0,0,4,4.34,6.85,2.79,60.54
67,17,1.29,77.19,62.07,19,8.57,3.35,1,1,0,4,5.15,3.21,2.04,57.55
68,18,14.13,92.32,53.65,16,7.78,6.28,1,1,0,11,3.58,4.45,2.8,64.92
69,29,20.37,74.66,75.66,10,3.23,5.49,1,1,0,8,3.71,5.45,3.68,65.47
70,25,2.45,76.17,67.99,16,1.43,7.03,1,1,1,8,3.32,3.58,3.87,55.72
71,28,17.86,84.99,82.74,16,5.16,5.35,0,0,1,0,3.91,6.38,2.32,70.24
72,18,9.16,71.14,65.64,14,6.5,8.04,1,0,1,3,3.06,5.67,1.6,56.3
73,26,23.75,84.87,79.8,7,4.07,6.19,1,0,0,8,3.05,8.07,2.27,67.61
74,21,14.18,89.86,61.23,16,4.96,6.31,0,0,1,11,3.6,4.43,1.61,65.52
75,22,11.06,72.49,75.24,12,8.29,9.93,0,0,0,7,2.07,5.67,0.14,61.65
76,16,17.53,93.58,73.09,7,7.41,8.14,0,1,0,2,1.98,8.8,1.99,69.39
77,24,14.63,79.59,77.44,19,2.59,6.02,1,0,0,0,3.69,6.8,1.95,61.72
78,27,9.04,90.04,60.71,10,6.65,7.52,1,0,1,3,3.77,6.0,1.74,59.43
79,25,15.55,86.89,70.53,9,6.28,4.58,1,0,1,9,4.78,8.22,2.58,64.62
80,18,9.45,80.6,61.75,10,5.57,5.87,0,0,0,13,3.94,8.46,2.02,54.06
81,23,3.06,79.97,70.06,8,7.08,6.72,0,1,1,7,3.53,5.41,1.32,63.09
82,19,22.16,68.86,79.52,8,7.12,5.87,1,0,0,2,4.34,7.61,2.12,64.61
83,29,10.25,78.36,100.0,9,10.0,5.49,1,1,0,10,1.88,7.91,3.42,77.3
84,28,8.95,77.66,72.43,8,6.42,7.93,0,1,0,6,3.28,5.4,2.75,60.53
85,18,13.69,100.0,80.64,18,4.54,6.08,1,0,1,8,3.89,5.2,3.99,73.66
86,23,4.2,94.47,73.37,9,5.0,5.77,1,1,1,0,6.07,8.22,1.23,62.36
87,29,5.23,72.05,85.71,12,7.38,6.08,0,1,0,3,2.61,6.16,1.4,63.55
88,27,9.5,92.43,77.59,19,9.76,6.0,0,0,1,12,5.35,7.61,3.1,71.86
89,25,9.4,87.0,84.63,7,7.16,8.14,1,1,0,8,2.7,5.61,2.05,69.22
90,24,12.36,81.35,76.3,10,7.03,7.4,1,0,1,7,2.95,4.91,1.32,64.94
91,16,17.61,89.26,100.0,12,6.5,4.75,1,0,1,10,4.99,6.1,3.46,78.46
92,26,9.63,92.35,88.65,16,5.1,8.95,0,0,0,5,2.33,5.41,1.3,66.5
93,22,14.46,79.59,51.46,15,6.12,8.57,1,1,1,2,1.33,1.8,0.2,59.49
94,17,15.01,82.35,75.64,16,3.6,6.55,1,0,1,0,4.14,6.82,2.59,62.81
95,19,6.58,86.49,72.96,10,7.44,5.51,1,0,1,10,4.94,9.43,2.82,61.73
96,23,13.14,75.7,45.39,16,6.91,7.0,0,1,1,4,2.46,4.28,2.07,57.37
97,26,7.29,86.67,61.63,12,6.34,6.12,1,1,0,0,4.74,4.67,2.63,58.69
98,23,17.32,84.18,66.47,12,4.3,7.73,1,0,0,4,3.2,7.92,0.41,59.4
99,24,14.28,78.57,63.16,12,5.47,6.91,1,1,0,10,4.16,7.28,2.77,60.69
100,28,12.08,77.06,73.59,12,4.86,8.84,0,0,1,10,2.92,6.12,1.34,61.53
101,25,5.3,87.81,50.38,18,6.58,4.57,1,0,0,7,5.07,5.2,4.07,54.64
102,21,12.58,93.16,81.04,7,5.42,6.06,0,0,0,3,5.82,5.16,2.63,63.02
103,25,8.16,88.05,81.38,10,6.69,7.38,1,1,1,9,3.27,6.8,2.13,69.33
104,24,15.53,76.94,76.3,18,7.81,6.24,1,1,1,4,2.53,6.75,1.75,70.2
105,17,11.4,91.97,68.06,11,8.47,6.35,0,0,1,3,4.68,5.56,1.31,65.31
106,16,7.94,86.55,72.1,10,3.98,5.27,1,0,0,0,2.94,6.8,3.01,55.9
107,25,16.63,90.51,66.44,17,5.33,9.78,0,1,0,13,1.89,6.3,0.16,67.65
108,21,15.61,95.86,85.86,15,3.84,6.7,1,0,1,2,3.39,5.87,2.46,72.65
109,24,9.03,76.51,78.15,14,8.43,7.99,1,0,0,9,1.0,3.47,1.53,64.61
110,20,17.81,83.66,96.09,18,4.32,5.82,0,1,1,3,2.56,4.52,0.8,75.62
111,19,10.51,79.37,67.62,6,8.63,6.28,1,0,0,4,6.01,5.42,2.62,57.65
112,18,10.45,76.78,89.55,13,5.0,6.86,1,0,0,3,2.81,2.28,2.79,64.16
113,21,12.62,100.0,65.11,17,8.0,9.38,0,0,1,3,1.0,1.12,0.4,69.29
114,27,8.24,93.76,70.0,10,4.93,8.98,0,1,0,10,1.27,5.1,0.44,62.68
115,21,9.79,68.44,59.48,14,5.55,10.0,1,1,0,9,1.21,5.62,1.0,56.75
116,21,11.2,88.96,78.37,18,6.23,9.2,0,0,1,0,2.97,4.43,0.73,65.54
117,24,19.65,79.77,71.35,9,6.16,9.15,0,0,1,1,1.0,4.13,1.1,63.82
118,29,19.5,95.72,79.55,6,5.7,6.65,0,1,1,8,3.6,8.34,1.15,74.98
119,21,10.71,85.76,90.03,17,7.3,5.95,1,0,0,12,3.99,6.45,1.98,73.1
120,24,20.05,83.35,71.39,16,8.34,8.89,1,1,1,3,2.02,6.5,0.94,72.56
121,22,11.78,86.31,76.65,11,7.68,5.91,0,0,1,13,5.09,8.67,2.1,67.85
122,24,13.9,88.57,82.91,9,5.05,7.75,1,1,1,10,2.74,3.58,2.76,73.33
123,22,16.42,85.26,71.36,18,2.36,6.06,1,1,0,0,1.91,6.43,1.76,61.99
124,24,13.46,82.93,65.48,15,6.21,5.42,0,0,0,12,4.23,4.0,1.33,62.53
125,23,24.08,83.69,76.38,10,0.43,7.05,0,1,0,9,2.64,6.26,1.04,66.86
126,25,13.22,89.76,78.14,8,7.31,5.65,1,1,1,7,3.94,4.35,1.81,72.42
127,29,6.01,74.43,81.47,13,7.21,6.51,0,1,1,10,4.13,7.39,2.55,66.82
128,18,18.53,84.97,82.1,18,3.61,8.25,1,1,1,8,1.0,2.73,2.59,73.42
129,23,9.94,83.86,64.02,9,7.13,6.68,0,1,1,0,3.56,4.6,2.16,62.27
130,22,10.48,80.44,77.43,12,4.7,8.44,0,1,1,13,2.72,6.65,2.29,65.94
131,21,0.0,91.87,86.9,12,8.47,6.31,1,1,1,4,2.69,4.57,1.64,70.65
132,19,17.0,72.93,66.49,6,4.49,7.47,0,0,1,0,1.18,4.0,2.51,56.57
133,16,16.09,81.57,76.45,9,4.36,5.48,0,1,0,0,5.57,8.53,2.55,62.08
134,21,16.0,77.03,64.63,17,4.71,8.9,0,1,0,1,3.12,6.74,1.18,60.29
135,27,16.89,90.08,74.09,11,6.46,3.97,1,1,1,8,3.68,5.09,2.8,71.98
136,17,20.46,80.62,92.99,10,3.96,7.38,1,0,0,0,2.47,6.26,1.7,68.87
137,21,11.77,85.45,74.17,13,10.0,7.79,0,1,0,9,2.12,6.34,2.5,70.24
138,29,16.69,88.59,60.46,6,5.27,3.14,0,0,1,7,5.45,6.45,3.23,61.45
139,29,8.28,70.07,76.24,5,9.43,4.56,0,1,1,9,3.68,6.46,3.32,65.93
140,19,10.23,89.22,74.68,17,5.44,4.73,1,0,1,12,5.38,7.26,2.72,66.45
141,16,17.28,78.0,85.52,5,5.37,6.84,0,1,1,6,3.65,6.29,1.72,68.92
142,25,13.96,82.61,55.57,6,4.61,6.58,0,0,0,5,4.57,7.69,2.17,53.78
143,16,5.33,83.94,61.06,9,4.51,6.46,1,1,0,4,3.69,8.26,0.58,54.43
144,20,13.81,92.55,71.15,8,6.85,7.86,1,1,1,7,4.49,6.1,1.84,67.08
145,22,11.09,91.89,53.39,17,8.34,10.0,0,0,1,9,1.0,7.03,1.06,61.75
146,28,7.91,100.0,85.76,7,6.21,5.47,0,0,0,13,5.08,7.72,1.59,68.69
147,17,14.17,86.65,47.72,10,4.25,7.49,1,1,1,4,3.79,5.12,1.64,55.66
148,25,9.98,80.54,62.09,11,6.41,7.03,1,0,1,10,3.36,5.45,2.09,58.64
149,23,4.15,80.3,54.31,14,4.45,8.56,0,1,0,0,2.93,7.11,0.49,48.95
150,17,6.44,91.1,64.2,19,0.75,3.84,1,0,1,10,5.04,7.93,3.29,57.08
151,27,20.85,99.97,81.73,6,6.24,4.59,1,0,0,4,3.55,8.86,3.57,71.33
152,27,4.43,88.18,79.34,6,2.58,5.38,1,1,1,5,4.21,5.75,3.23,61.28
153,22,13.11,79.61,83.24,5,4.76,5.37,0,0,1,13,5.3,6.08,2.72,66.91
154,29,15.05,87.56,79.35,19,6.1,7.31,0,0,1,13,1.06,2.49,3.19,72.29
155,24,15.2,87.39,47.63,16,5.21,6.26,0,1,0,10,5.51,5.3,3.05,59.14
156,28,5.87,85.3,75.72,9,5.48,4.0,1,1,1,1,3.86,4.72,2.72,64.66
157,29,10.39,78.06,49.88,10,9.03,5.86,1,1,1,5,4.82,7.29,2.54,57.07
158,23,12.7,61.29,66.04,11,7.87,4.58,0,1,0,0,3.72,4.93,4.25,57.99
159,19,16.0,79.99,67.37,7,8.96,5.83,0,0,1,3,4.82,7.28,2.94,62.17
160,18,8.78,94.83,65.55,16,6.41,6.67,1,0,1,11,2.89,4.48,2.03,65.37
161,23,6.18,86.98,78.01,12,6.44,5.8,1,0,1,11,4.4,5.46,3.19,67.15
162,18,17.01,64.37,62.36,17,9.46,8.74,0,1,0,13,2.52,7.26,1.44,65.19
163,26,17.53,85.05,92.93,14,4.77,10.0,0,0,1,3,1.72,5.87,0.32,71.64
164,28,13.85,67.75,79.29,6,6.65,7.68,0,1,1,6,3.47,5.3,1.26,67.52
165,19,8.96,100.0,86.3,6,6.26,4.68,0,0,0,1,4.75,8.47,2.65,65.44
166,23,14.03,86.78,81.22,15,6.57,9.05,1,0,0,14,1.91,3.53,0.0,69.92
167,16,12.55,73.76,82.84,15,7.16,10.0,1,1,0,5,2.91,5.89,0.5,67.91
168,18,16.19,92.45,71.59,11,6.23,6.68,1,1,0,11,3.25,3.92,1.42,68.69
169,21,5.75,77.69,95.72,7,7.58,7.5,0,0,0,4,3.1,7.14,1.51,65.86
170,28,12.58,90.24,59.43,6,4.34,8.56,1,1,1,13,3.09,6.32,1.06,64.1
171,29,11.2,85.2,77.65,19,6.97,7.24,1,0,0,4,2.53,4.9,2.19,66.43
172,24,6.45,73.98,72.15,19,3.96,8.79,1,0,1,11,2.01,4.37,1.19,59.76
173,24,13.08,91.21,69.41,13,8.1,7.76,0,1,0,8,3.1,7.57,1.47,68.32
174,23,12.17,72.49,75.93,11,7.91,6.05,1,0,0,11,4.08,6.31,2.44,63.7
175,16,9.95,97.52,63.08,9,5.58,6.23,0,1,0,14,3.79,4.84,2.52,61.49
176,21,13.98,85.57,82.55,15,4.99,6.58,0,1,1,1,3.27,3.22,1.7,70.25
177,29,4.91,75.39,81.54,13,5.93,5.95,0,1,1,8,4.35,8.01,1.98,64.6
178,21,11.73,68.07,73.27,16,7.07,8.87,1,0,0,4,2.94,7.86,1.17,57.04
179,18,14.16,100.0,80.97,15,3.03,7.42,0,1,0,9,1.83,6.67,2.06,71.58
180,19,13.42,98.55,59.61,8,4.02,6.66,0,1,0,3,2.88,6.64,2.44,60.55
181,25,17.38,73.26,50.35,7,7.81,8.14,0,1,0,6,2.69,5.72,0.23,57.51
182,16,5.99,100.0,65.12,9,5.56,7.06,0,0,1,7,3.61,5.41,1.4,61.26
183,29,4.46,86.56,69.25,8,3.47,8.48,1,1,1,11,3.34,4.33,1.06,60.91
184,28,13.2,82.93,100.0,10,1.64,9.32,0,1,1,7,2.51,6.18,0.0,72.45
185,23,14.28,84.19,69.36,6,5.11,7.2,0,0,0,7,2.86,5.37,1.84,58.69
186,22,22.6,82.49,84.51,18,2.55,6.09,1,1,1,13,3.03,6.34,3.0,75.31
187,26,15.08,98.36,82.27,13,6.22,5.22,0,0,1,14,4.87,6.43,1.94,74.23
188,23,7.63,86.4,97.48,17,5.81,9.54,1,0,1,1,1.24,4.68,0.44,70.91
189,22,16.03,67.79,73.51,10,9.55,7.51,1,0,1,12,2.16,6.38,2.61,65.92
190,20,7.77,100.0,79.97,14,3.52,6.07,1,1,0,14,4.82,6.78,1.91,69.82
191,22,4.57,93.24,69.78,13,7.2,6.8,0,0,0,14,2.92,9.67,1.79,63.46
192,26,25.05,74.83,61.71,10,3.63,5.29,0,1,0,7,4.07,8.19,2.71,63.58
193,16,13.63,81.67,60.03,13,3.95,8.92,0,1,0,13,2.49,4.98,1.1,62.52
194,16,15.57,76.55,62.68,9,5.55,7.4,1,0,0,14,1.0,4.82,2.21,60.76
195,26,14.82,85.44,89.28,11,4.31,6.41,1,0,0,9,6.35,9.31,2.47,66.85
196,21,21.06,88.68,75.54,10,9.5,4.78,1,0,1,3,6.17,10.0,1.86,71.18
197,27,13.42,87.22,70.26,10,5.84,10.0,0,0,0,11,3.56,3.84,1.3,62.84
198,16,18.09,79.41,72.32,10,4.48,7.12,1,1,1,9,3.28,5.46,2.07,67.82
199,28,6.86,77.53,65.33,8,10.0,3.68,0,1,0,1,5.56,4.34,4.42,59.62
200,17,5.04,92.91,71.7,11,4.4,6.1,1,1,0,9,4.94,7.1,2.8,62.66
201,21,19.13,84.06,71.62,9,5.21,6.9,1,0,1,2,3.62,5.43,1.58,66.06
202,29,19.37,100.0,79.94,11,5.53,7.17,1,0,0,7,3.67,6.31,2.8,70.91
203,17,14.55,77.46,83.06,19,4.42,5.34,1,0,0,6,4.02,7.65,2.41,65.7
204,25,13.13,92.36,52.45,10,7.11,8.63,0,0,0,10,1.61,3.17,0.95,59.03
205,26,12.83,85.46,74.9,15,8.25,7.8,1,0,1,0,4.23,5.14,1.64,65.47
206,21,8.56,77.9,88.64,16,3.42,7.01,1,1,0,9,4.02,6.52,1.92,64.72
207,17,19.69,97.72,59.84,9,4.98,5.98,1,0,1,10,4.21,5.26,2.04,65.41
208,23,15.29,86.15,69.1,18,5.19,4.33,0,1,0,5,4.49,5.61,3.09,64.03
209,22,14.53,76.65,74.14,5,3.2,6.27,1,0,0,6,6.11,5.23,1.71,57.5
210,28,13.88,82.02,85.34,18,3.36,6.64,1,1,1,0,3.31,2.67,1.54,70.84
211,25,17.24,94.5,79.28,8,5.2,5.2,1,1,0,6,2.58,5.25,4.11,69.45
212,20,14.53,73.56,69.48,7,4.16,7.37,1,1,0,3,3.71,8.45,0.71,57.66
213,16,15.73,97.88,78.13,8,6.52,8.11,0,1,0,1,1.0,7.16,2.42,71.76
214,24,6.16,91.4,84.58,13,7.5,6.25,0,0,0,11,5.19,10.0,2.46,67.34
215,19,14.55,82.4,76.81,14,6.27,6.34,1,0,0,8,3.26,7.27,1.23,65.23
216,25,22.94,97.67,94.45,7,6.46,6.91,1,1,1,0,3.51,5.4,1.43,80.73
217,28,9.41,100.0,77.2,15,4.12,9.38,1,0,1,13,2.06,2.55,0.0,70.17
218,20,11.36,90.6,59.5,18,4.74,9.03,0,0,0,6,1.96,5.66,0.56,59.04
219,28,16.46,86.59,62.7,11,6.66,4.51,0,0,1,10,3.61,4.87,3.88,63.52
220,23,16.79,100.0,70.51,12,7.01,6.21,0,0,1,5,4.43,5.51,0.17,67.6
221,23,15.12,98.98,69.64,18,5.73,10.0,0,0,0,6,1.92,3.07,1.21,64.93
222,26,3.91,76.33,79.59,5,6.96,6.46,0,0,1,6,2.97,3.63,2.17,60.43
223,27,14.51,83.07,76.38,8,5.41,9.52,0,0,1,7,2.68,6.48,0.0,64.38
224,28,6.08,82.99,92.74,17,3.64,7.68,0,1,1,7,3.68,4.93,1.22,71.13
225,29,7.88,81.16,81.88,14,6.5,8.8,0,0,1,2,1.44,4.31,2.22,65.0
226,18,14.74,70.99,89.98,15,5.08,6.42,0,0,1,6,3.82,6.49,1.7,66.24
227,21,10.52,93.44,62.97,9,2.6,7.07,0,1,0,13,1.8,6.82,1.99,60.79
228,29,16.05,85.78,67.01,6,7.52,7.74,1,1,1,6,1.0,2.74,0.9,69.08
229,20,27.74,85.92,80.37,7,6.64,6.92,0,1,0,1,4.35,9.12,1.67,72.43
230,16,15.89,98.19,73.25,17,7.3,6.87,0,0,0,9,3.54,5.78,2.21,70.1
231,24,15.61,79.71,79.69,15,4.98,9.04,0,0,0,2,3.44,5.27,1.67,65.38
232,26,7.52,84.47,75.16,5,8.76,6.71,1,0,1,14,3.83,6.44,1.02,63.62
233,26,8.79,87.57,64.7,8,6.82,8.89,0,1,0,4,2.65,2.74,1.77,59.96
234,27,6.68,80.95,92.62,18,7.78,6.07,1,1,0,12,4.42,5.58,3.13,73.95
235,25,9.34,83.96,85.88,11,4.63,6.49,0,1,0,1,4.35,6.4,1.75,65.13
236,17,6.54,92.18,53.5,19,5.29,8.02,0,0,1,0,3.49,5.06,2.05,54.71
237,27,8.7,84.92,64.76,8,8.37,7.7,0,1,0,9,1.96,4.01,1.06,61.57
238,21,10.96,97.48,72.45,11,5.84,8.37,0,1,0,1,3.08,6.34,1.9,66.2
239,27,7.0,77.96,80.34,13,5.94,7.01,1,0,0,6,1.39,4.9,2.13,62.04
240,27,4.9,86.89,71.31,14,8.77,6.91,1,0,1,13,3.81,5.05,1.91,66.28
241,29,5.19,71.61,55.83,14,8.13,6.26,1,0,1,3,6.05,6.03,2.96,53.3
242,16,14.27,83.89,82.16,10,6.34,4.64,0,0,0,9,6.93,7.27,3.64,67.7
243,28,12.3,78.41,69.7,14,9.58,6.35,0,0,0,1,5.38,5.78,2.4,62.35
244,24,17.13,97.79,86.63,12,3.03,8.47,1,1,0,0,1.95,6.9,1.28,70.22
245,22,17.22,91.99,75.83,14,5.77,6.85,0,0,0,10,4.21,7.17,2.74,70.4
246,27,10.3,89.78,84.22,17,4.84,7.25,1,0,1,2,2.46,3.5,1.85,66.54
247,29,15.35,100.0,82.23,5,8.74,8.78,1,1,0,3,3.4,5.17,3.14,73.96
248,23,4.8,98.56,82.81,16,8.94,5.61,1,0,1,5,4.14,4.21,0.58,71.02
249,17,23.42,91.75,66.11,14,4.98,7.47,0,0,1,10,2.61,6.0,2.6,70.95
250,26,17.98,78.51,84.56,11,6.19,6.14,1,1,1,2,4.38,6.86,3.41,70.4
251,19,10.92,71.41,74.67,12,7.71,8.61,0,0,1,13,3.58,5.47,1.37,63.9
252,19,6.18,84.72,57.26,17,6.91,4.81,0,0,0,6,3.34,5.84,1.44,53.88
253,18,13.9,81.66,67.49,11,6.42,6.44,1,0,0,8,3.56,6.53,2.72,61.12
254,18,2.65,78.91,68.18,9,7.83,6.21,0,0,1,4,4.19,6.23,2.32,57.08
255,28,8.1,82.27,77.86,19,9.65,6.46,1,1,0,5,4.07,8.15,2.71,69.43
256,21,15.74,69.43,80.45,16,6.15,6.14,0,1,1,13,3.22,5.44,3.41,69.62
257,17,12.38,99.03,58.87,8,3.79,9.7,0,1,0,0,1.8,6.5,0.88,59.38
258,18,9.55,74.26,80.94,9,5.71,6.64,0,0,0,3,3.02,8.45,1.95,57.9
259,21,16.75,78.67,71.47,14,5.85,6.74,0,0,0,8,4.55,4.56,2.64,62.74
260,20,6.81,90.37,59.59,17,5.19,4.85,0,1,1,2,5.14,5.26,2.46,60.35
261,20,13.42,69.67,82.25,18,7.26,5.02,1,0,1,8,6.25,5.01,2.37,68.54
262,29,9.51,93.68,63.13,8,7.33,5.85,1,1,1,2,3.51,4.86,2.6,63.57
263,28,7.76,93.84,57.96,14,7.66,5.18,0,0,1,3,3.84,5.71,2.88,60.41
264,24,14.32,82.05,81.33,12,6.84,7.7,1,0,1,10,3.31,6.13,2.44,68.33
265,29,7.04,74.84,83.05,11,6.43,6.1,1,1,0,7,5.2,4.19,3.36,63.5
266,20,21.51,80.53,64.36,7,3.96,6.3,1,0,0,8,4.18,6.1,2.43,59.1
267,17,9.08,67.55,84.94,15,5.27,6.75,0,1,0,5,3.38,5.26,1.53,63.05
268,19,21.95,98.09,84.29,6,4.28,5.63,1,0,1,14,2.65,6.85,4.19,75.74
269,17,6.53,85.51,66.07,9,6.54,5.11,0,0,1,1,4.27,4.5,4.55,56.59
270,29,15.03,78.05,96.22,11,5.7,5.97,0,0,0,7,4.38,6.78,3.22,70.14
271,19,6.0,76.43,71.59,6,5.85,7.25,1,0,0,12,4.45,8.45,0.74,54.87
272,22,5.29,90.42,74.99,6,6.93,6.8,0,0,1,1,2.23,5.76,0.81,61.4
273,18,12.8,99.19,43.71,6,5.37,5.72,0,1,0,1,4.8,7.05,2.68,54.55
274,29,15.39,72.97,79.92,7,7.97,9.28,1,1,0,11,2.49,3.46,0.0,68.28
275,18,5.63,79.57,64.88,9,7.93,7.49,1,1,0,1,5.36,5.27,2.39,57.13
