age,income,balance,transactions,loan,credit_score,products,tenure_years,is_active,churn
57,176714,39358,140,0,809,3,5,1,0
21,23139,46269,87,0,603,3,19,0,0
19,97179,17193,292,0,393,1,7,0,1
23,38643,82950,18,1,719,1,7,0,1
59,124425,11791,29,0,486,3,3,1,0
21,80117,66216,213,1,506,3,18,0,1
46,179852,75390,251,0,589,2,2,0,0
35,126485,73429,167,1,726,2,5,1,0
43,133607,98807,142,1,366,2,12,0,1
61,80332,1224,197,0,463,3,9,0,1
51,50632,22685,84,0,337,2,12,1,0
27,189565,89045,103,1,802,1,3,0,1
53,199424,13476,117,0,523,1,10,0,0
31,180480,71598,37,0,439,3,6,0,1
48,107157,-3516,135,1,702,1,17,1,0
65,177011,87526,75,0,434,2,9,0,1
32,197952,14760,294,0,479,4,6,0,1
25,56843,1326,108,1,476,1,13,1,0
31,58930,28234,55,0,451,2,0,1,0
40,180942,65469,17,0,486,4,17,0,1
57,125940,75075,103,0,629,4,0,0,0
38,78103,28742,148,0,315,2,5,0,1
33,60770,40678,218,0,817,2,6,0,0
62,131757,65723,5,0,528,4,17,0,0
35,50158,51624,158,0,452,3,9,0,1
64,108992,63187,97,1,420,3,9,0,1
41,67401,78719,250,1,734,3,8,0,1
43,164064,9963,60,0,346,2,13,0,1
42,176462,77935,67,0,658,3,4,1,0
62,65858,1238,252,1,478,1,8,0,1
58,167828,86860,111,0,625,4,18,0,0
46,173043,53028,16,0,843,2,12,1,0
32,158143,42900,156,0,752,1,13,1,0
62,197589,55494,66,0,352,1,17,1,0
18,104811,59791,2,1,668,4,10,0,1
42,149970,43788,102,0,389,1,8,0,1
24,26586,36328,154,0,488,2,13,0,1
26,39703,50574,0,1,747,2,11,0,1
41,96177,56790,3,1,564,3,7,1,0
18,56735,93203,202,1,624,2,2,0,1
61,118525,66583,32,0,515,2,7,1,0
25,59648,50701,10,0,537,4,15,1,0
41,163201,67125,203,0,732,1,9,0,0
28,56656,75501,206,0,665,2,0,1,0
68,180737,7805,184,0,564,4,2,1,0
34,164571,61880,153,0,518,3,5,1,0
25,95888,81037,181,1,810,1,3,0,1
52,39654,22331,154,0,393,1,9,1,0
52,150117,69860,227,1,607,3,7,1,0
50,106613,68075,101,0,390,3,15,1,0
22,38982,35632,181,0,355,3,9,0,1
59,119970,90798,257,0,315,3,8,0,1
56,101848,82268,264,0,386,4,4,0,1
58,129577,8225,71,0,837,4,17,0,0
45,99874,47218,240,1,608,2,5,1,0
24,50173,34859,114,0,841,3,19,1,0
26,146765,54755,64,0,509,4,15,0,0
25,57525,21496,276,1,735,4,8,0,1
29,47328,79392,142,0,317,4,1,0,1
51,162432,-4042,216,1,337,3,5,1,0
50,136242,88399,166,0,720,3,12,0,0
65,124419,78408,15,0,653,4,11,0,0
40,42625,81687,34,0,518,4,5,1,0
41,127576,60457,278,0,561,4,6,1,0
54,195966,13317,139,0,666,3,17,1,0
52,36471,8584,239,0,692,2,18,0,0
61,59883,33495,274,0,412,3,8,1,0
57,22703,21592,114,0,642,1,2,1,0
39,85524,32917,86,0,410,1,2,0,1
44,185587,82672,138,0,528,3,3,0,0
52,35151,51308,42,1,561,3,10,0,1
18,69190,32742,68,0,841,1,12,1,0
52,76195,84010,164,0,375,3,15,0,1
54,146559,15321,152,1,327,4,19,1,0
64,84108,31029,151,0,553,4,6,0,0
31,169607,92313,105,1,355,3,3,0,1
20,122241,23858,289,0,606,4,13,0,0
18,125190,36838,78,1,365,4,8,0,1
22,63050,33336,110,0,484,1,0,0,1
43,52976,59597,267,0,586,1,17,0,0
31,20599,-232,147,0,551,2,2,1,0
56,79867,72422,70,1,395,1,5,0,1
44,23709,177,240,0,321,1,8,1,0
26,175182,26761,227,1,443,4,12,0,1
32,69365,68582,149,0,780,2,1,1,0
32,25723,45022,72,0,507,3,0,1,0
43,132308,26883,16,0,369,3,13,0,1
59,178466,1601,96,0,429,4,0,1,0
30,84120,69433,257,0,840,1,6,0,0
68,30316,14073,262,0,343,1,7,0,1
49,173694,51261,222,0,794,4,15,1,0
56,175916,38219,13,0,688,3,8,1,0
66,126276,-419,259,0,323,1,10,0,1
69,41162,34802,172,0,824,3,19,0,0
49,48833,24698,190,0,406,4,0,0,1
21,168278,46119,265,0,311,1,18,0,1
47,146515,69980,44,1,326,3,0,1,0
54,140788,69980,215,0,540,4,0,0,0
40,71747,55393,299,0,469,4,12,0,1
56,110037,80,182,0,516,3,5,1,0
62,133850,97742,145,1,548,3,19,0,1
32,138641,59652,10,1,566,3,14,1,0
60,138519,63664,241,0,782,2,4,0,0
46,139271,57577,181,0,692,1,6,0,0
53,75387,17206,128,0,728,4,17,1,0
30,45226,25450,52,0,568,4,14,0,0
49,126287,73117,207,0,732,1,19,0,0
24,157572,39569,205,0,359,2,15,0,1
68,21634,4811,32,0,531,1,14,0,0
39,165131,88018,82,0,413,1,10,1,0
45,135855,45496,24,0,462,4,12,0,1
19,24076,72641,73,0,599,1,0,0,0
59,126694,88897,131,1,821,3,13,0,1
62,58210,81588,151,0,640,1,16,0,0
23,148798,6960,189,0,534,1,1,0,0
45,177003,51832,217,0,491,4,6,0,1
45,52007,86039,224,0,661,3,15,0,0
61,173816,13162,75,1,332,3,19,1,0
61,181468,63639,165,1,501,1,14,1,0
37,108619,33634,144,0,805,2,14,0,0
47,142315,530,9,1,837,1,8,1,0
28,86038,87556,170,1,742,2,14,1,0
45,163828,63624,288,0,701,2,13,1,0
42,161677,18128,36,1,633,4,1,1,0
56,173488,65707,119,1,653,1,16,0,1
50,76558,-535,173,0,552,1,6,0,1
18,188559,85275,37,1,648,4,7,1,0
44,126052,24998,20,1,653,2,17,1,0
69,113079,99897,160,1,479,3,17,1,0
30,116816,89111,217,0,791,4,1,0,0
58,153942,83607,243,0,618,1,8,1,0
20,147942,22333,42,1,371,2,4,0,1
56,155830,88685,117,0,611,2,12,0,0
23,131342,60886,93,0,590,4,2,0,0
25,189808,1522,197,1,837,3,3,0,1
44,85138,41518,250,0,722,4,5,0,0
26,70250,93504,191,0,755,4,19,0,0
54,137857,84194,124,0,427,4,13,1,0
50,135070,30320,36,0,717,4,5,0,0
68,60558,51307,78,0,459,2,6,1,0
59,73092,68087,103,1,643,1,6,1,0
61,95121,43975,150,0,756,3,5,1,0
41,142140,28819,233,1,573,3,12,1,0
32,150877,89544,72,1,745,3,6,1,0
49,75604,52630,33,1,446,1,14,0,1
49,57039,71406,161,0,352,4,1,0,1
41,89859,51662,207,1,546,1,15,1,0
58,112506,-1442,259,1,310,2,8,1,0
69,120342,58082,203,1,334,4,8,0,1
66,199817,59762,196,0,642,3,16,0,0
66,25461,68834,229,0,758,1,15,0,0
69,60831,46705,99,0,803,1,10,1,0
29,71137,-1487,93,0,497,2,15,0,1
56,54030,4460,62,0,822,1,11,0,0
19,156803,50374,193,0,393,4,13,0,1
20,41500,20316,283,0,624,1,9,0,0
66,53117,68189,276,1,448,2,13,0,1
54,114138,60558,206,0,400,3,4,0,1
66,182246,44512,86,1,336,3,15,0,1
34,53208,23669,137,0,459,3,15,0,1
66,104728,98099,25,0,530,3,5,0,0
19,104482,94754,289,0,818,3,9,0,0
19,45960,52560,257,0,674,2,12,1,0
45,161319,26709,171,1,675,4,18,1,0
40,116342,60270,238,0,617,3,13,0,0
54,127918,82705,42,0,604,1,14,0,0
49,134761,96058,109,1,652,2,16,0,1
50,46038,12011,146,0,816,2,2,1,0
18,178842,14651,122,0,500,4,9,0,0
36,142232,-4434,238,0,517,1,2,1,0
19,92485,31526,190,0,375,3,10,1,0
61,77773,-2980,115,0,526,1,19,1,0
43,103391,64066,156,1,404,4,4,1,0
49,72633,13890,206,0,417,1,7,0,1
23,142226,72283,52,0,315,4,0,0,1
49,170636,70919,97,1,603,4,14,0,1
21,169186,38882,27,0,627,4,7,1,0
28,52803,20304,212,0,708,4,2,0,0
34,135708,42742,144,0,404,4,9,1,0
55,149997,77393,244,0,541,4,4,1,0
41,123838,57124,247,0,512,3,4,0,0
22,43545,28373,23,1,336,2,13,1,0
69,82759,86354,252,0,582,4,0,0,0
51,126313,33451,35,1,762,1,12,0,1
23,96488,47754,196,0,370,2,8,0,1
39,137805,8669,183,1,338,4,17,0,1
28,73866,67940,66,0,494,1,1,0,1
65,147145,97058,32,1,790,4,6,1,0
33,90499,15754,166,1,476,4,19,1,0
50,98243,97182,185,0,468,4,1,0,1
26,140779,97047,11,0,752,3,11,0,0
23,163932,-153,244,0,641,4,3,1,0
33,102946,76472,83,0,849,4,13,1,0
46,138353,33446,42,0,649,3,3,1,0
20,37670,92676,106,1,797,1,8,0,1
37,104766,55489,12,0,566,3,6,0,0
53,192352,99401,89,0,640,1,12,0,0
36,109694,64589,115,1,386,1,0,0,1
43,186133,61245,105,0,777,4,1,1,0
20,70764,-4078,172,0,665,4,11,1,0
36,135164,96703,22,0,692,4,3,0,0
37,43810,93711,290,1,360,4,4,0,1
49,129660,45261,240,0,820,3,10,1,0
24,110894,31360,95,0,336,3,16,1,0
69,196660,7790,124,0,453,3,4,1,0
58,35933,86900,233,0,357,2,13,1,0
50,181106,9567,176,0,806,4,14,0,0
57,21947,15343,69,0,378,2,9,0,1
56,39715,50793,205,0,458,2,4,0,1
35,50956,26142,232,0,721,1,2,0,0
57,100846,-3510,119,0,363,4,4,0,1
18,36303,75118,292,0,550,3,15,0,0
28,133318,55928,118,0,812,1,19,1,0
45,44031,23426,21,0,768,2,18,1,0
42,114786,78401,248,0,495,4,2,0,1
67,107389,29048,211,0,785,1,9,1,0
40,169049,42578,184,0,724,1,12,1,0
48,62707,90824,187,1,519,1,5,1,0
47,165537,92914,182,0,839,4,4,0,0
59,95761,26723,40,1,391,3,7,1,0
52,167712,11178,27,0,355,3,7,0,1
24,51535,56286,286,0,318,3,8,0,1
33,190352,32622,20,1,574,1,15,0,1
43,22991,36834,73,1,610,1,7,0,1
65,168873,3055,35,0,679,3,4,0,0
69,109680,19687,18,1,645,4,10,1,0
66,27965,50318,261,0,314,2,7,0,1
19,164802,34848,175,1,318,2,4,1,0
18,49553,35829,14,0,310,2,2,1,0
65,138802,99762,109,1,617,3,7,1,0
29,28301,68929,108,0,651,3,8,0,0
22,38936,76396,123,0,478,4,3,1,0
54,165227,38613,17,1,541,2,13,0,1
49,147978,81672,83,1,557,2,0,1,0
26,147230,78451,192,1,392,2,18,0,1
58,68848,4581,187,0,584,2,15,1,0
52,22042,76617,163,1,348,4,12,1,0
36,169637,78537,209,0,775,1,9,0,0
65,198674,40101,19,1,825,1,3,1,0
33,57260,98458,250,0,332,1,8,0,1
20,56326,19940,112,1,314,2,11,0,1
37,62581,63907,149,1,322,2,19,1,0
41,154730,6016,259,0,615,2,3,0,0
50,101855,17943,82,1,510,4,13,1,0
41,104614,49617,57,0,561,2,5,1,0
69,122188,78292,53,0,809,4,17,0,0
28,188620,71585,27,0,598,2,19,1,0
66,170740,-2763,204,1,580,1,12,1,0
25,191357,96778,56,0,600,4,14,0,0
53,173618,60263,63,0,364,1,0,0,1
55,57874,64980,91,1,501,2,19,1,0
57,71318,15852,285,0,732,1,15,0,0
37,57165,758,22,0,363,3,12,0,1
52,76820,96880,17,1,648,2,3,0,1
65,65411,39322,253,0,696,3,14,1,0
42,105312,40003,80,0,564,4,4,0,0
52,56479,80895,181,1,536,1,3,1,0
42,140567,4176,135,0,516,4,15,0,0
46,119890,24658,106,0,384,1,1,0,1
35,59906,674,133,0,504,2,19,1,0
63,149523,12910,199,1,576,2,11,0,1
35,93198,22948,253,0,376,3,16,0,1
19,92940,50941,295,1,311,1,6,0,1
52,193677,61572,178,0,619,3,17,1,0
33,29542,22749,46,1,699,3,18,0,1
58,47774,87356,222,1,808,4,17,1,0
53,159628,21678,114,0,398,2,5,1,0
50,197195,62766,195,1,551,2,2,1,0
21,98342,12426,248,0,649,1,9,1,0
50,137887,40418,225,0,719,3,16,0,0
31,193658,35709,282,0,367,3,6,0,1
38,146081,23680,53,1,678,2,19,1,0
65,34864,1168,141,0,345,3,8,0,1
37,115552,94633,232,0,327,4,1,0,1
25,78989,64191,149,0,518,2,7,0,0
24,76093,98857,196,1,756,3,16,0,1
20,53749,42076,55,0,844,1,9,1,0
34,79739,98845,209,0,694,4,13,1,0
50,194068,97209,50,1,783,4,17,0,1
65,37305,-3920,127,1,671,4,8,0,1
29,97474,72333,256,0,539,2,2,0,0
68,36318,44975,11,0,673,1,19,0,0
39,72810,31018,23,0,493,3,3,1,0
39,146662,62651,125,0,678,3,5,0,0
63,141752,80487,170,0,688,4,0,0,0
47,188892,98424,104,1,763,4,5,0,1
55,81800,68775,220,0,421,3,18,0,1
55,90942,78360,56,0,529,4,11,0,0
62,40661,6927,148,1,842,1,14,1,0
68,103394,-4056,39,0,648,2,10,1,0
25,50816,47420,32,0,618,1,14,0,0
44,32850,14503,160,0,723,2,2,1,0
44,190938,17456,107,0,404,2,4,0,1
51,177716,5175,64,1,413,4,0,1,0
38,72919,19930,75,0,539,4,10,1,0
47,47428,-1695,45,1,418,2,13,0,1
50,125023,75881,234,0,754,2,5,1,0
45,134160,48947,113,0,452,3,15,0,1
64,126898,95221,123,0,505,4,0,1,0
50,184452,34537,285,1,359,2,12,0,1
22,92822,28136,142,1,467,2,11,0,1
65,95604,22562,136,0,847,2,1,0,0
36,154089,94496,246,0,486,3,8,0,1
21,29926,39953,287,0,526,2,10,1,0
52,64508,71730,71,0,327,2,5,1,0
66,174558,70624,282,0,826,1,9,0,0
34,145799,84264,41,1,442,4,13,0,1
61,115933,46699,263,0,457,3,19,0,1
45,180583,78473,220,0,803,3,10,1,0
47,145030,14194,266,0,555,4,1,0,0
46,134541,75312,242,0,500,2,16,1,0
63,30002,93415,43,0,561,3,11,0,0
23,68586,80992,288,1,656,2,7,0,1
52,88737,77983,66,1,743,3,5,1,0
58,149157,48349,268,1,592,2,5,1,0
54,47048,94696,35,1,656,3,15,1,0
41,191396,78117,86,0,757,2,1,1,0
46,147912,56241,25,0,687,1,11,1,0
66,99517,93644,293,1,392,3,6,1,0
63,165597,65551,99,0,813,2,6,0,0
48,141443,30629,150,0,689,3,2,0,0
52,72634,40251,135,0,836,3,15,1,0
50,81491,8895,269,0,573,3,10,1,0
69,142416,53549,279,1,622,1,13,0,1
38,25565,91032,100,0,804,2,1,0,0
49,100483,90344,152,1,760,3,11,1,0
40,126234,53918,117,0,758,3,0,0,0
50,92053,7792,238,0,816,4,0,0,0
20,34287,58406,16,0,304,3,19,0,1
35,97365,10430,131,0,439,3,13,0,1
42,153494,34130,250,0,428,4,9,0,1
59,49060,37500,84,0,564,3,0,0,0
48,61633,66844,211,0,358,3,17,1,0
20,125251,64120,104,0,431,4,15,1,0
57,33790,56397,98,0,565,2,1,1,0
63,151059,49455,40,1,480,3,9,0,1
41,176240,46078,59,0,334,2,10,0,1
67,175091,26088,86,0,563,4,14,1,0
49,194811,64055,42,0,790,3,12,0,0
64,23668,4597,20,0,409,2,11,1,0
39,96280,-2987,151,0,416,1,11,0,1
40,48754,93751,121,0,332,1,5,0,1
19,105058,78640,171,1,715,4,6,0,1
44,24509,88979,210,0,623,4,14,1,0
59,153572,8465,132,0,390,3,11,0,1
19,138981,81013,299,0,791,4,10,1,0
43,95440,60569,218,0,680,3,12,1,0
34,46921,22487,64,1,647,2,19,0,1
57,74551,61939,158,0,420,3,4,1,0
50,36683,-1781,113,0,599,4,5,0,1
26,97952,3077,73,0,791,3,2,1,0
60,34833,-2290,59,0,356,1,11,0,1
65,38290,21178,253,0,550,3,13,0,0
56,34003,41994,242,0,769,1,6,1,0
46,143086,93023,114,1,348,1,15,1,0
59,91656,98974,294,1,428,3,1,0,1
43,61253,7964,103,0,678,1,6,0,0
52,108022,82138,47,0,337,2,3,0,1
67,173778,23288,79,0,638,3,19,0,0
42,107231,25714,26,0,340,2,16,0,1
41,124791,-1398,271,1,617,1,11,0,1
30,193804,83024,232,0,753,4,4,1,0
24,52716,-904,253,1,378,4,17,0,1
53,26880,95638,136,1,663,4,13,1,0
62,48949,66652,152,1,332,4,17,1,0
37,86064,76075,57,0,373,3,5,1,0
18,63093,24610,219,0,568,3,5,0,0
25,173916,61815,17,0,684,1,0,0,0
63,173432,98253,89,0,501,4,2,0,0
33,107941,60585,176,0,783,3,0,1,0
31,147668,33419,43,0,677,3,3,1,0
29,144240,87776,202,1,468,4,10,1,0
68,63322,37734,109,0,848,3,19,0,0
40,171776,97350,192,0,477,2,15,1,0
32,68181,76985,127,0,490,1,19,1,0
45,181661,1539,9,0,338,1,2,0,1
51,107972,16754,93,1,436,3,13,1,0
19,132431,-777,224,0,303,1,9,1,0
49,110179,22320,257,0,308,4,6,1,0
40,103562,44339,223,1,629,3,16,1,0
39,160284,302,258,0,753,4,8,1,0
68,164922,58046,35,0,783,3,1,0,0
42,59767,89151,260,0,848,2,7,0,0
39,27322,79808,275,0,723,2,0,1,0
39,55911,16241,258,1,782,2,3,0,1
66,197652,28434,258,0,808,4,13,1,0
69,25678,51731,227,0,670,3,9,1,0
59,85265,36892,87,0,814,4,15,0,0
23,86918,25798,101,0,603,1,16,1,0
32,172852,138,292,0,839,2,17,1,0
60,178578,97156,7,0,362,4,14,0,1
54,193368,64676,101,0,378,2,11,1,0
50,190954,43901,112,0,670,1,14,1,0
25,80510,8533,207,1,816,2,10,0,1
61,62202,28385,44,0,418,2,10,0,1
61,152777,74480,9,1,408,1,14,0,1
22,107983,92509,231,0,684,1,11,0,0
56,191802,44944,232,1,642,1,18,1,0
21,110016,53594,168,0,754,3,19,1,0
23,51051,72721,267,1,733,3,10,0,1
62,137282,62980,236,1,566,2,9,0,1
49,97665,5514,263,0,606,1,10,0,0
69,144559,15617,87,0,834,2,11,0,0
47,181857,-3650,153,0,685,1,14,0,1
64,142827,87942,106,1,768,1,0,0,1
52,49402,42318,216,0,631,1,15,0,0
57,22704,79195,158,0,348,1,18,0,1
69,47027,83170,36,0,662,2,11,1,0
33,79092,46358,71,1,370,4,1,1,0
30,25725,95221,120,0,723,2,4,1,0
67,84105,56178,171,0,801,1,17,1,0
59,176295,70805,226,0,544,3,2,1,0
47,112305,53465,216,1,688,2,11,1,0
36,178456,-4392,94,0,732,4,6,0,1
34,82993,85880,176,0,833,3,14,1,0
36,117681,71657,86,0,801,1,16,1,0
45,128033,43650,101,0,410,4,5,1,0
43,50027,34834,126,0,622,4,10,1,0
54,163839,95693,69,1,493,4,14,0,1
43,107017,-4833,222,0,390,1,5,0,1
40,38354,43338,259,0,784,4,18,0,0
26,68777,34543,276,0,797,1,7,0,0
29,172973,-1744,297,0,654,3,12,0,1
18,69966,-2521,83,0,528,1,14,1,0
18,36515,84511,133,1,302,1,15,0,1
64,175878,56478,254,1,538,3,14,0,1
51,118698,36939,10,0,722,4,16,0,0
49,23573,22010,209,0,475,4,19,0,1
65,193013,96120,72,0,547,3,11,0,0
42,125410,3982,139,1,499,3,10,1,0
57,63915,45626,286,1,581,2,9,1,0
62,25060,52277,158,0,778,3,4,0,0
18,149471,97305,170,1,536,3,9,0,1
33,75421,71176,185,0,742,4,1,1,0
56,65610,68276,49,0,412,3,10,0,1
22,30933,20702,246,1,605,4,8,1,0
39,92168,54094,207,0,492,4,16,0,1
46,63898,56541,40,0,635,2,16,1,0
20,25589,99330,111,0,543,1,14,0,0
29,31612,16134,203,0,619,3,5,0,0
43,67611,6353,204,0,442,1,6,0,1
33,38888,71917,171,1,687,2,13,0,1
68,39417,10238,126,0,845,4,4,1,0
54,65440,57766,65,1,564,2,17,0,1
39,186816,41596,270,0,449,2,15,0,1
46,31891,78152,33,0,741,1,11,0,0
31,92131,9422,197,1,312,1,16,1,0
45,82093,24638,43,0,450,4,11,0,1
22,48557,42990,252,0,347,3,12,1,0
64,131129,65264,160,0,453,1,17,0,1
66,103817,59756,117,0,309,2,6,1,0
47,22192,56285,295,1,388,3,4,0,1
63,196104,57553,261,0,436,1,3,0,1
69,193933,19029,74,0,467,1,15,0,1
22,54946,46851,13,1,767,4,2,1,0
29,69884,52226,4,1,771,4,9,1,0
33,66360,13384,186,0,763,3,17,0,0
43,83252,25089,200,1,401,3,7,1,0
43,148651,82926,298,0,839,1,10,0,0
65,61472,28007,250,1,638,3,2,0,1
38,55455,84359,154,1,477,3,3,0,1
56,48672,62726,196,0,460,1,0,1,0
53,23756,58182,68,0,493,3,19,0,1
50,126927,32459,47,0,526,4,17,0,0
47,90030,60411,248,0,566,2,9,0,0
54,78151,-2985,231,0,456,1,17,1,0
40,54047,82290,110,0,355,2,5,0,1
27,153293,77082,280,1,590,4,14,1,0
22,25164,48901,135,0,690,2,2,0,0
53,53622,-4970,77,0,837,4,9,0,1
51,55980,1601,230,0,604,2,4,1,0
69,139528,19389,254,1,822,2,13,1,0
48,104688,38098,159,0,769,4,4,0,0
27,174684,79095,60,0,800,2,4,1,0
36,98066,46978,86,0,511,1,12,1,0
49,139947,81985,0,1,711,1,9,0,1
18,108660,12231,110,1,820,2,11,0,1
22,128115,44943,158,1,333,3,15,1,0
62,53043,19276,233,0,552,3,5,0,0
21,141886,89952,69,1,478,3,7,0,1
33,97831,40795,80,0,749,1,5,1,0
41,86250,58344,201,0,706,1,10,0,0
33,189894,68513,92,0,570,2,6,1,0
19,86345,97636,71,1,741,1,7,0,1
66,105898,9294,56,1,439,1,19,1,0
45,151108,57996,10,0,495,1,8,0,1
49,183474,4204,145,0,475,3,10,1,0
44,110034,79944,147,0,734,4,19,0,0
37,113923,96374,207,1,687,3,12,0,1
41,30273,77994,90,0,373,4,12,1,0
29,176102,17352,86,1,616,1,3,0,1
67,147419,46067,108,0,606,3,4,0,0
52,72460,81403,282,1,325,4,14,0,1
50,130803,18613,204,0,521,4,19,1,0
50,96939,74190,96,0,562,2,13,1,0
68,170111,18704,264,0,664,4,14,0,0
60,34017,77655,268,1,302,2,3,0,1
54,102901,3133,263,0,759,3,0,1,0
29,133000,91296,113,0,460,4,3,1,0
20,59215,57949,218,0,602,4,1,0,0
18,32583,52321,232,0,439,2,16,0,1
50,183991,49200,96,0,449,1,10,1,0
57,67025,76573,6,1,440,4,11,0,1
27,195326,82741,76,1,606,3,18,1,0
60,197347,38816,127,0,460,3,16,1,0
61,77943,82596,183,0,485,2,17,0,1
46,160586,76615,103,0,431,4,7,1,0
30,189488,15861,83,0,730,4,10,0,0
29,21511,11479,292,0,524,3,0,0,0
48,169714,69639,63,1,794,4,19,0,1
63,102151,24458,232,0,355,1,10,0,1
19,44225,97692,16,0,391,1,3,1,0
68,171918,72034,92,1,415,2,1,0,1
67,49152,15820,276,1,316,1,7,1,0
52,126053,69446,77,1,491,2,2,1,0
40,86107,38964,110,1,739,2,11,0,1
34,144387,50833,76,0,803,2,7,0,0
43,177260,53717,233,1,574,2,17,0,1
25,80910,18399,94,1,510,4,9,0,1
46,62530,18758,267,0,300,1,7,0,1
43,98753,2658,45,1,612,4,13,0,1
27,61999,92420,214,0,671,3,0,1,0
43,26609,75801,275,1,721,4,2,0,1
51,198469,50162,67,0,447,4,16,0,1
68,69322,15065,299,0,670,3,14,1,0
58,25151,46961,285,0,734,1,4,1,0
24,26406,42467,286,1,639,1,6,0,1
21,82678,93041,126,0,450,3,13,1,0
67,67062,6411,232,1,650,3,8,0,1
62,184028,57408,181,0,796,3,16,0,0
28,131377,27697,13,1,401,3,16,0,1
46,73830,10162,101,0,560,4,7,0,0
53,33133,66571,150,1,719,2,15,0,1
42,32209,17510,179,0,606,4,10,0,0
38,129828,52848,177,1,386,4,4,0,1
53,94681,41925,212,0,715,1,0,0,0
27,74345,66664,32,1,413,1,19,1,0
54,62585,21841,8,0,502,3,6,0,0
26,54638,33746,263,1,540,3,16,0,1
41,40645,75353,202,1,373,1,13,1,0
52,38408,80980,262,0,693,2,15,0,0
66,32521,63520,148,0,374,4,14,0,1
52,107414,14180,91,0,529,3,8,0,0
65,148432,444,52,0,355,4,10,0,1
53,143520,98235,14,0,533,2,3,0,0
35,58221,80846,51,1,765,4,10,0,1
66,120131,64344,199,0,812,2,16,0,0
56,172158,69216,36,1,505,3,18,0,1
49,36923,41487,78,0,713,1,5,1,0
41,101761,18327,149,0,544,3,18,0,0
40,27202,21834,35,0,405,4,1,1,0
49,115675,79633,93,1,476,4,8,1,0
54,188278,56698,190,0,458,3,12,0,1
29,170957,20826,165,0,348,4,18,0,1
66,130443,66654,39,1,487,3,15,0,1
30,31218,99017,63,0,398,4,15,1,0
40,65692,89072,183,0,771,3,11,1,0
42,117148,9707,269,0,386,3,14,0,1
52,26716,86103,129,0,711,1,5,1,0
58,36088,19975,238,1,787,4,16,0,1
47,51001,7596,274,0,347,1,7,0,1
34,173656,48207,77,0,787,3,2,0,0
66,151022,31867,124,0,495,4,3,0,1
37,24286,86679,8,1,539,2,6,0,1
65,155811,-1183,288,0,813,1,19,1,0
