transaction_id,customer_id,customer_age,customer_tenure_months,merchant_category,merchant_country,is_foreign,is_high_risk_country,transaction_type,card_present,transaction_hour,time_of_day,amount,device_score,num_transactions_30d,avg_monthly_spend,days_since_last_tx,new_card,is_fraud
5845,399372,18,8,fashion,ES,1,0,in-store,1,12,afternoon,14.33,0.082,7,5822.96,10,0,0
26477,520871,41,12,services,ES,1,0,online,0,16,afternoon,36.83,0.0,2,3391.09,9,0,0
24199,662952,34,7,pharmacy,IN,1,0,mobile,0,23,evening,10.36,0.004,9,1339.49,27,0,0
28882,495107,45,33,restaurants,PK,0,0,in-store,1,12,afternoon,13.79,0.082,7,1337.27,21,0,0
4846,239227,20,35,grocery,IN,1,0,in-store,1,22,evening,31.14,0.228,7,1789.79,13,0,0
4986,812509,53,5,electronics,US,1,0,online,0,3,night,15.16,0.485,5,4796.2,12,0,0
23400,737574,39,68,fashion,IN,1,0,in-store,1,6,morning,38.14,0.287,5,2571.35,19,0,0
25570,552827,33,15,entertainment,NG,1,1,in-store,1,4,night,29.75,0.059,7,1268.92,2,0,0
20263,128887,32,9,electronics,PK,0,0,mobile,0,23,evening,9.34,0.026,5,2456.29,0,0,0
20857,554256,39,7,grocery,NG,1,1,in-store,1,11,morning,13.97,0.354,3,4519.56,0,0,0
26823,335077,51,1,restaurants,US,1,0,online,0,16,afternoon,1.22,0.3,6,2263.0,8,1,0
9318,727503,18,54,entertainment,US,1,0,online,0,19,evening,6.36,0.004,4,4990.93,0,0,0
25507,691346,31,40,restaurants,GB,1,0,online,0,19,evening,22.38,0.16,0,3353.28,6,0,0
14848,349109,33,10,grocery,BD,1,1,in-store,1,14,afternoon,24.21,0.0,2,3171.33,8,0,0
7843,596232,30,19,services,IN,1,0,in-store,1,13,afternoon,35.98,0.195,2,4024.63,7,0,0
28648,123519,32,13,fashion,PK,0,0,online,0,20,evening,4.49,0.07,5,1829.07,13,0,0
29985,511344,22,6,restaurants,PK,0,0,online,0,6,morning,10.9,0.087,7,4141.35,14,0,0
13049,392164,28,67,electronics,ES,1,0,in-store,1,19,evening,28.04,0.169,6,4829.9,3,0,0
25100,289579,56,0,restaurants,US,1,0,in-store,1,22,evening,31.08,0.177,4,3819.96,18,1,0
14857,275231,25,24,restaurants,US,1,0,in-store,1,0,night,16.04,0.053,10,4437.52,18,0,0
25014,678309,33,15,restaurants,PK,0,0,mobile,0,3,night,24.13,0.173,4,1497.3,11,0,0
10740,345993,43,3,grocery,US,1,0,online,0,16,afternoon,55.5,0.213,6,3222.11,1,0,0
16095,394740,45,33,fashion,DE,1,0,in-store,1,17,afternoon,56.33,0.113,6,2818.7,3,0,0
2209,733025,37,62,electronics,PK,0,0,in-store,1,13,afternoon,88.4,0.254,4,3055.65,9,0,0
18841,867914,37,6,utilities,IN,1,0,online,0,2,night,10.53,0.357,4,5326.67,8,0,0
28273,190341,22,87,electronics,PK,0,0,online,0,15,afternoon,95.19,0.501,2,3549.33,0,0,0
22373,225812,40,21,services,IN,1,0,mobile,0,17,afternoon,52.7,0.176,3,3312.17,4,0,0
2267,128380,27,12,travel,GB,1,0,online,0,15,afternoon,28.59,0.278,4,1594.13,10,0,0
5227,503777,26,13,services,BD,1,1,mobile,0,1,night,41.12,0.368,1,3451.19,3,0,0
28302,990567,53,29,utilities,IN,1,0,online,0,19,evening,1.97,0.209,7,3250.73,3,0,0
21579,557357,27,19,pharmacy,FR,1,0,online,0,12,afternoon,7.92,0.53,8,1917.18,6,0,0
20123,351060,21,60,others,BD,1,1,online,0,12,afternoon,9.99,0.242,3,942.94,4,0,0
17893,405617,24,3,restaurants,US,1,0,in-store,1,7,morning,13.29,0.173,4,2950.67,3,0,0
20928,775531,51,2,restaurants,PK,0,0,in-store,1,5,night,21.61,0.158,5,1762.37,15,0,0
13023,662453,37,14,services,ES,1,0,online,0,3,night,10.03,0.027,6,5796.43,42,0,0
20737,535078,37,17,travel,FR,1,0,in-store,1,21,evening,10.68,0.023,3,3649.82,15,0,0
27367,399615,26,53,entertainment,IN,1,0,online,0,17,afternoon,10.88,0.035,7,2860.79,8,0,0
11741,815663,32,9,restaurants,IN,1,0,in-store,1,4,night,11.27,0.068,4,3022.22,10,0,0
6548,841184,33,18,pharmacy,US,1,0,in-store,1,17,afternoon,3.57,0.325,9,3240.06,14,0,0
3283,816987,24,22,utilities,Other,1,0,online,0,17,afternoon,54.73,0.029,6,170.45,37,0,0
15615,162821,38,14,utilities,Other,1,0,online,0,10,morning,9.85,0.07,8,3505.68,10,0,0
23662,194769,31,25,electronics,GB,1,0,online,0,3,night,7.41,0.158,4,160.41,5,0,0
2277,902514,39,42,grocery,IN,1,0,online,0,10,morning,43.43,0.369,2,6301.23,4,0,0
26051,864227,36,6,electronics,US,1,0,in-store,1,20,evening,78.32,0.201,6,1368.43,8,0,0
12355,547454,18,25,grocery,PK,0,0,in-store,1,22,evening,83.14,0.251,4,2283.41,0,0,0
16486,972521,36,31,utilities,AE,1,0,online,0,2,night,33.47,0.229,7,3446.26,8,0,0
19536,693665,29,24,grocery,FR,1,0,online,0,8,morning,10.93,0.15,7,1834.79,2,0,0
18674,358946,33,24,restaurants,IN,1,0,online,0,22,evening,42.39,0.043,8,3122.89,7,0,0
8697,123004,36,8,restaurants,NG,1,1,online,0,21,evening,20.86,0.211,3,4400.02,0,0,0
22565,893983,34,7,travel,US,1,0,in-store,1,10,morning,77.77,0.098,3,1438.39,8,0,0
16380,829643,21,1,fashion,IN,1,0,online,0,4,night,29.06,0.207,4,2427.9,6,1,0
25295,378900,52,145,restaurants,PK,0,0,in-store,1,10,morning,18.26,0.289,10,3505.02,15,0,0
28681,896988,25,108,travel,Other,1,0,in-store,1,22,evening,896.282583951843,0.241,2,2297.18,1,0,0
