Age,Experience_Years,Education_Level,Department,Working_Hours_Per_Week,Remote_Work_Ratio,Training_Hours,Certifications,Gender,Region,High_Performance
31,18,Masters,Finance,51,0.57,37,9,Female,East,1
58,0,Bachelors,Sales,59,0.22,77,9,Female,West,0
21,1,PhD,Operations,50,0.94,39,5,Male,North,0
22,26,Masters,Finance,42,0.47,43,5,Male,East,1
56,4,PhD,IT,30,0.39,90,1,Male,West,0
36,17,High School,Operations,38,0.79,27,1,Female,West,1
21,28,PhD,Finance,47,0.3,69,9,Female,South,1
21,5,High School,Operations,54,0.59,5,7,Female,North,0
47,5,High School,IT,54,0.2,23,3,Male,East,0
42,21,High School,IT,59,0.06,6,9,Female,North,1
56,27,Masters,Operations,37,0.5,60,7,Female,West,1
51,26,High School,R&D,50,0.16,2,6,Female,West,0
52,15,Masters,Operations,36,0.36,55,9,Male,South,0
20,15,Bachelors,Sales,35,0.48,0,9,Female,West,0
38,29,Masters,HR,53,0.01,8,4,Male,North,0
21,2,PhD,Finance,36,0.35,67,8,Male,North,0
45,26,Masters,R&D,37,0.44,93,2,Female,West,1
51,2,Masters,IT,34,0.55,43,8,Male,West,0
25,25,Masters,IT,58,0.84,59,3,Male,North,1
51,22,Bachelors,Finance,52,0.33,77,3,Female,East,1
23,28,Masters,R&D,43,0.92,14,3,Female,West,0
30,28,PhD,Operations,40,0.34,85,2,Female,North,1
36,3,PhD,Sales,55,0.56,96,8,Female,South,1
57,5,High School,R&D,37,0.08,13,3,Male,North,0
43,27,Masters,Finance,55,0.4,23,2,Female,West,0
24,23,Bachelors,Operations,38,0.78,85,1,Male,South,1
53,2,High School,IT,30,0.3,39,4,Male,South,0
25,24,PhD,Operations,59,0.01,57,9,Female,South,1
41,8,High School,HR,57,0.93,61,5,Female,East,1
30,2,Bachelors,Sales,58,0.01,35,1,Female,South,0
35,5,PhD,HR,39,0.27,49,9,Female,North,0
52,20,PhD,HR,57,0.9,85,0,Female,North,1
28,19,Masters,Operations,32,0.14,15,6,Male,East,0
25,23,PhD,Operations,48,0.86,90,9,Female,East,1
35,25,PhD,R&D,44,0.96,45,2,Male,North,1
48,8,PhD,R&D,52,0.62,25,9,Male,West,1
22,14,Masters,Finance,44,0.33,19,3,Female,East,0
39,27,Masters,R&D,36,0.31,50,0,Female,East,0
55,8,PhD,IT,43,0.14,82,7,Female,West,0
38,4,Bachelors,Sales,37,0.9,9,6,Male,West,0
45,20,Bachelors,HR,50,0.79,8,2,Female,West,0
22,26,High School,Operations,45,0.22,25,5,Male,East,0
38,15,PhD,IT,52,0.67,60,7,Female,West,1
39,2,PhD,Finance,55,0.59,24,2,Female,West,0
51,8,Masters,Operations,59,0.14,96,9,Female,West,1
26,16,Masters,Finance,41,0.24,28,3,Female,South,0
52,27,Bachelors,R&D,54,0.14,99,5,Male,East,1
59,2,Bachelors,R&D,43,0.54,29,4,Male,West,0
58,6,High School,R&D,44,0.19,97,9,Male,West,1
37,6,PhD,Operations,50,0.98,94,5,Male,South,1
59,20,Masters,R&D,50,0.28,4,4,Male,West,0
20,5,High School,Sales,58,0.72,66,2,Female,South,0
30,19,High School,HR,46,0.33,38,9,Male,West,1
47,7,Bachelors,Finance,51,0.36,41,1,Male,East,0
44,3,PhD,Finance,42,0.31,70,8,Male,South,0
42,25,PhD,Finance,57,0.11,79,3,Female,West,1
50,14,Masters,Operations,38,0.93,96,2,Male,North,1
49,5,PhD,Finance,51,0.78,8,3,Male,South,0
54,15,High School,Operations,43,0.24,91,2,Male,North,0
26,4,PhD,Operations,40,0.31,3,7,Male,South,0
35,11,PhD,R&D,48,0.44,45,9,Female,South,0
45,13,Masters,Sales,34,0.77,8,0,Male,West,0
21,25,Bachelors,R&D,30,0.88,66,9,Male,East,0
20,5,High School,Operations,59,0.77,8,6,Female,West,0
31,2,Masters,R&D,35,0.95,84,1,Male,South,0
24,28,Masters,IT,33,0.76,33,2,Male,West,0
56,18,PhD,Finance,39,0.22,5,7,Female,West,0
51,9,Masters,HR,51,0.38,40,1,Male,North,0
28,6,Bachelors,Finance,33,0.74,0,1,Female,West,0
54,12,High School,IT,46,0.13,23,4,Male,East,0
38,0,High School,R&D,30,0.23,61,2,Female,South,0
35,0,Masters,Operations,57,0.98,94,2,Female,South,0
22,16,High School,R&D,46,0.66,69,4,Female,South,1
39,21,Bachelors,Sales,50,0.18,12,2,Male,South,0
43,3,Masters,Operations,34,0.09,8,6,Male,East,0
52,13,Masters,Sales,58,0.96,49,7,Male,South,1
43,5,Bachelors,HR,56,0.5,38,4,Female,East,0
30,29,Masters,Finance,52,0.42,67,1,Male,North,1
27,13,High School,Operations,44,0.8,78,8,Male,West,1
55,14,High School,Sales,53,0.67,26,4,Male,North,1
57,0,Bachelors,Sales,37,0.56,76,5,Male,East,0
59,19,PhD,IT,30,0.23,59,2,Male,West,0
39,15,PhD,IT,36,0.56,33,6,Male,East,0
54,3,PhD,Finance,58,0.54,55,9,Male,South,1
44,1,Bachelors,Sales,46,0.1,23,3,Female,West,0
54,0,PhD,HR,59,0.5,61,0,Male,East,0
44,12,High School,Sales,55,0.6,68,5,Male,South,1
48,15,Masters,Sales,58,0.73,14,9,Male,South,1
37,7,PhD,Operations,39,0.56,95,0,Female,South,0
37,21,Bachelors,Operations,39,0.56,20,0,Female,North,0
21,3,High School,IT,45,0.57,37,4,Female,South,0
54,1,PhD,Operations,44,0.27,4,8,Male,North,0
35,27,PhD,Sales,39,0.88,39,1,Male,East,1
55,12,High School,Operations,56,0.62,1,8,Female,North,0
52,4,Bachelors,IT,35,0.68,85,9,Female,North,0
23,24,Masters,Finance,32,0.5,21,8,Female,North,0
52,22,High School,R&D,41,0.15,28,2,Female,North,0
33,19,Masters,HR,43,0.16,90,7,Female,East,1
40,20,PhD,R&D,40,0.46,28,9,Female,East,0
39,23,High School,R&D,37,0.87,25,0,Male,South,1
27,26,PhD,Sales,40,0.12,28,2,Male,North,0
26,12,PhD,HR,48,0.5,68,7,Female,South,0
22,4,PhD,R&D,39,0.04,30,6,Female,East,0
36,15,PhD,R&D,55,0.87,59,9,Female,North,1
52,27,PhD,Finance,36,0.26,26,1,Male,South,0
31,5,Bachelors,Sales,55,0.35,51,8,Male,East,0
41,15,PhD,HR,45,0.16,1,0,Male,North,0
41,28,High School,Finance,55,0.31,38,4,Female,South,1
49,25,Masters,Sales,37,0.39,53,9,Male,South,1
57,21,High School,Finance,43,0.16,62,6,Male,South,1
57,23,High School,R&D,46,0.28,9,2,Male,South,0
27,12,Bachelors,Sales,49,0.68,86,8,Female,East,1
46,10,PhD,Sales,47,0.87,57,4,Male,South,1
46,20,Masters,R&D,33,0.65,77,9,Male,South,1
53,0,Masters,Finance,48,0.96,6,6,Male,South,0
40,3,PhD,IT,59,0.25,7,1,Female,East,0
49,2,Masters,HR,52,0.36,40,7,Female,East,0
52,17,Bachelors,IT,41,0.33,62,8,Female,South,0
47,22,PhD,Operations,52,0.53,22,2,Male,North,0
52,15,Masters,HR,43,0.71,11,4,Male,West,0
24,12,High School,Sales,36,0.21,56,4,Male,South,0
38,12,Masters,R&D,51,0.82,51,0,Female,East,1
23,6,High School,HR,48,0.34,61,9,Female,North,0
54,23,PhD,HR,36,0.46,32,1,Female,North,0
36,14,High School,Operations,39,0.84,72,3,Male,West,1
47,25,High School,R&D,45,0.33,35,7,Female,East,1
49,14,Bachelors,IT,40,0.67,22,5,Male,North,0
48,4,Bachelors,Sales,52,0.46,83,2,Female,North,0
25,16,PhD,HR,44,0.27,93,1,Female,East,0
54,21,Bachelors,IT,39,0.45,84,4,Male,West,1
56,21,PhD,Operations,45,0.76,3,7,Female,North,0
43,10,Bachelors,IT,47,0.67,32,2,Female,West,0
48,23,High School,Operations,36,0.75,56,1,Female,West,0
50,12,PhD,R&D,49,0.31,50,1,Female,North,0
54,9,High School,HR,42,0.77,82,8,Female,West,1
52,14,Masters,Sales,45,0.4,84,9,Male,East,0
40,1,PhD,IT,47,0.54,58,4,Male,West,0
51,10,PhD,Operations,42,0.88,73,3,Male,North,0
42,24,PhD,Sales,39,0.72,43,8,Female,East,1
52,10,Bachelors,HR,43,0.72,3,6,Female,East,0
22,28,Masters,IT,47,0.5,24,5,Male,West,0
37,21,Bachelors,Finance,36,0.58,73,6,Female,West,1
44,0,Bachelors,Sales,57,0.75,12,2,Female,West,0
50,24,Masters,IT,38,0.0,70,2,Female,North,1
22,7,PhD,Operations,31,0.41,28,0,Female,South,0
59,25,Bachelors,Finance,54,0.3,87,9,Male,North,1
43,16,Masters,Sales,59,0.26,14,1,Female,North,0
51,7,High School,R&D,48,0.83,11,9,Female,South,0
41,12,PhD,R&D,58,0.48,95,3,Female,West,1
42,22,High School,Finance,35,0.05,90,6,Female,West,1
21,4,PhD,Sales,32,0.98,0,4,Male,South,0
46,28,PhD,R&D,39,0.15,41,2,Male,South,0
21,5,Masters,HR,33,0.43,95,3,Male,North,0
45,19,Masters,R&D,32,0.63,32,4,Male,South,0
36,24,High School,Operations,54,0.56,98,4,Female,West,1
59,24,High School,Operations,59,0.44,95,0,Female,East,1
52,28,Bachelors,HR,40,0.3,92,6,Male,North,1
28,25,Bachelors,Sales,52,0.57,37,5,Male,South,1
58,13,PhD,Sales,55,0.86,31,5,Male,South,1
48,16,High School,Operations,46,0.24,61,6,Female,East,1
45,15,Bachelors,IT,35,0.06,85,7,Male,West,0
54,27,Masters,R&D,33,0.36,6,7,Male,South,0
44,8,Masters,Sales,53,0.75,95,9,Male,North,1
43,18,High School,HR,35,0.99,24,6,Female,North,0
32,27,Masters,Operations,58,0.65,69,0,Female,North,1
26,1,Bachelors,HR,51,0.51,0,6,Male,North,0
55,3,Bachelors,HR,38,0.08,48,0,Male,North,0
39,19,High School,Sales,51,0.34,43,9,Female,South,1
20,8,Bachelors,R&D,40,0.06,68,1,Male,South,0
27,3,High School,HR,49,0.42,36,0,Female,East,0
35,4,Bachelors,Operations,38,0.49,97,3,Male,East,0
33,5,Bachelors,IT,33,0.27,56,0,Female,South,0
31,19,Bachelors,Operations,48,0.07,52,2,Male,East,0
42,0,High School,Finance,48,0.43,64,0,Male,East,0
34,12,High School,Operations,57,0.97,13,9,Female,East,1
47,17,Bachelors,Finance,40,0.32,81,8,Male,South,1
53,2,Bachelors,Sales,30,0.31,73,5,Female,West,0
21,19,Bachelors,Finance,53,0.15,22,1,Male,North,0
51,4,Masters,IT,49,0.56,49,9,Male,North,0
42,12,PhD,Sales,34,0.54,65,4,Male,East,0
41,9,PhD,IT,31,0.39,85,6,Male,West,0
44,25,Masters,Finance,51,0.89,25,7,Male,East,1
41,2,PhD,Sales,55,0.09,22,7,Female,South,0
41,10,PhD,Finance,41,0.92,19,6,Female,South,0
25,0,PhD,HR,45,0.41,30,8,Female,North,0
34,26,Bachelors,IT,59,0.14,52,1,Male,South,1
56,26,Masters,HR,40,0.56,78,0,Male,West,0
52,14,Bachelors,IT,46,0.68,98,1,Female,East,0
27,23,PhD,IT,58,0.28,63,7,Female,North,1
24,23,Masters,Sales,38,0.84,60,9,Female,East,1
58,28,Masters,R&D,56,0.01,6,3,Female,West,0
23,3,Bachelors,HR,45,0.35,62,1,Female,South,0
25,14,High School,Finance,58,0.88,91,2,Female,North,1
51,6,Masters,Sales,36,0.68,27,4,Female,South,0
49,14,High School,R&D,39,0.22,22,3,Male,West,0
54,3,PhD,IT,30,0.45,53,5,Male,North,0
59,29,Masters,Finance,51,0.27,18,2,Female,North,0
35,2,High School,IT,46,0.47,8,1,Male,North,0
32,22,High School,IT,55,0.84,67,1,Female,West,1
49,13,Bachelors,Finance,53,0.05,40,6,Male,East,1
38,5,High School,Operations,37,0.25,46,1,Female,South,0
36,0,PhD,Finance,45,0.03,6,8,Female,North,0
38,8,PhD,Sales,38,0.99,22,6,Female,West,0
47,11,Masters,Finance,51,0.16,38,9,Male,West,0
45,17,Bachelors,Sales,39,0.28,3,8,Male,West,0
56,28,Bachelors,HR,52,0.85,44,3,Male,East,1
45,2,Bachelors,Finance,41,0.51,46,9,Female,East,0
42,20,PhD,R&D,53,0.94,70,7,Female,East,1
28,18,High School,HR,55,0.59,73,1,Male,North,1
31,2,PhD,Finance,39,0.72,64,3,Female,North,0
20,23,PhD,R&D,59,0.62,76,6,Female,East,1
20,13,High School,Sales,41,0.74,54,8,Female,North,1
53,3,PhD,R&D,59,0.27,67,2,Male,East,0
51,12,Masters,R&D,35,0.33,56,9,Female,South,1
44,12,Masters,HR,57,0.6,61,7,Male,West,1
59,25,Masters,Operations,48,0.86,97,8,Male,East,1
20,1,Masters,Finance,35,0.23,48,9,Male,North,0
35,20,Masters,Sales,40,0.96,68,7,Female,North,1
58,1,Bachelors,Sales,34,0.45,70,9,Female,West,0
24,9,PhD,IT,47,0.13,14,2,Male,South,0
41,10,High School,Sales,37,0.87,15,2,Female,North,0
48,27,Bachelors,Sales,58,0.93,29,5,Female,East,1
22,23,High School,Finance,36,0.82,92,4,Male,North,1
31,14,PhD,HR,41,0.44,30,4,Male,West,0
45,2,Bachelors,R&D,55,0.94,6,7,Male,East,0
35,13,High School,Finance,45,0.33,5,6,Female,East,0
56,17,Masters,Finance,52,0.09,85,4,Female,West,1
41,18,Bachelors,Operations,44,0.34,63,2,Female,South,0
48,18,Masters,R&D,39,0.37,68,4,Female,South,0
33,0,Bachelors,Operations,47,0.8,59,8,Male,West,0
47,18,PhD,Finance,36,0.72,40,6,Male,South,0
24,2,Bachelors,Operations,37,0.62,61,7,Male,West,0
49,19,PhD,IT,57,0.19,78,1,Female,East,1
24,28,Bachelors,Sales,30,0.8,12,1,Male,South,0
31,7,PhD,R&D,37,0.03,4,4,Female,East,0
35,24,Masters,Finance,53,0.22,85,8,Female,North,1
45,16,PhD,HR,45,0.55,97,7,Male,North,1
45,0,Masters,Operations,36,0.48,50,3,Male,North,0
40,5,Bachelors,IT,59,0.69,72,3,Female,East,0
58,16,Bachelors,Operations,58,0.79,78,0,Male,West,1
55,27,Bachelors,IT,40,0.86,69,5,Female,West,1
52,20,Bachelors,R&D,56,0.96,70,6,Male,South,1
49,29,Masters,IT,43,0.55,69,7,Male,North,1
56,27,High School,R&D,30,0.58,12,9,Female,East,1
42,0,High School,R&D,45,0.56,58,4,Female,South,0
29,12,PhD,IT,55,0.9,45,9,Male,East,1
24,23,Bachelors,Finance,48,0.77,36,5,Female,North,0
55,11,Bachelors,Sales,57,0.5,99,4,Female,South,1
53,4,High School,Finance,44,0.68,61,2,Male,West,0
50,21,High School,Sales,31,0.3,62,2,Female,West,0
29,19,Bachelors,HR,44,0.17,73,8,Female,East,1
38,12,Bachelors,Operations,59,0.05,3,4,Female,West,0
51,7,High School,Finance,49,0.41,91,7,Female,North,1
20,11,Masters,Operations,34,0.37,42,9,Female,South,0
24,24,Bachelors,R&D,35,0.76,86,5,Male,South,1
23,8,High School,Operations,55,0.5,40,0,Female,South,0
35,16,Masters,R&D,36,0.17,40,8,Female,West,0
43,13,High School,R&D,33,0.1,81,0,Male,East,0
35,6,Bachelors,HR,54,0.08,95,7,Male,North,1
21,3,PhD,Operations,54,0.02,98,7,Female,North,1
47,28,High School,Sales,56,0.07,87,0,Female,North,1
51,28,PhD,Finance,34,0.75,30,0,Male,West,0
46,25,PhD,HR,39,0.77,2,2,Male,South,0
39,26,Bachelors,R&D,42,0.35,20,4,Male,South,0
43,23,Masters,R&D,36,0.03,20,2,Male,North,0
31,6,PhD,Sales,58,0.13,78,0,Male,North,0
54,16,Masters,R&D,52,0.51,46,2,Female,East,1
52,16,Bachelors,Sales,53,0.98,70,8,Male,West,1
52,0,Bachelors,R&D,42,0.12,26,5,Male,North,0
56,1,Bachelors,R&D,47,0.15,11,0,Male,East,0
31,25,Masters,HR,53,0.4,3,6,Male,East,1
22,17,High School,HR,34,0.62,47,6,Male,East,0
20,8,PhD,Operations,56,0.39,24,9,Male,West,0
52,4,Bachelors,IT,45,0.63,95,9,Male,East,1
59,0,PhD,R&D,30,0.07,74,7,Male,West,0
29,6,Masters,Sales,36,0.18,32,4,Female,East,0
48,25,Masters,R&D,39,0.07,37,8,Male,South,1
32,1,PhD,Sales,40,0.88,2,3,Female,West,0
31,2,High School,IT,56,0.8,5,7,Male,North,1
50,3,Bachelors,Sales,57,0.27,32,8,Female,East,0
21,2,High School,R&D,32,0.75,64,5,Female,West,0
54,18,PhD,Finance,53,0.81,32,7,Female,South,1
42,24,Bachelors,Operations,42,0.85,45,6,Male,South,1
36,11,Bachelors,Operations,30,0.43,85,0,Male,North,0
45,14,PhD,Finance,58,0.97,7,2,Female,West,0
27,3,Bachelors,IT,42,0.89,7,3,Female,West,0
48,23,High School,HR,56,0.71,1,7,Male,South,1
45,0,Masters,Sales,39,0.03,77,2,Male,East,0
29,15,Masters,Sales,31,0.74,68,9,Male,East,0
45,28,PhD,HR,59,0.63,77,7,Male,South,1
53,5,Masters,HR,30,0.95,87,3,Female,South,0
26,16,Masters,IT,57,0.45,45,6,Male,East,0
23,4,PhD,R&D,34,0.59,71,7,Male,South,0
30,22,PhD,Sales,53,0.57,7,6,Female,South,0
48,12,Bachelors,HR,39,0.02,38,4,Male,North,0
55,11,PhD,Sales,56,0.21,24,8,Male,West,0
44,0,High School,R&D,58,0.18,71,9,Male,North,1
40,24,PhD,Finance,58,0.35,75,5,Male,South,1
55,11,Bachelors,R&D,51,0.28,10,8,Male,North,0
29,26,Bachelors,HR,41,0.32,0,5,Male,East,0
56,24,PhD,IT,42,0.07,18,0,Female,West,0
28,21,High School,IT,33,0.15,17,7,Female,West,0
43,29,Bachelors,R&D,37,0.51,1,0,Male,East,0
54,1,High School,Sales,55,0.51,16,7,Male,West,0
54,17,Bachelors,Sales,45,0.1,65,6,Female,West,1
55,8,Masters,R&D,51,0.61,17,1,Female,West,0
37,15,Bachelors,IT,39,0.98,62,6,Female,North,1
58,28,Bachelors,Sales,51,0.39,47,0,Male,North,1
51,29,Bachelors,IT,34,0.16,74,3,Female,East,0
43,29,Bachelors,Operations,53,1.0,12,5,Female,North,1
