ID,Age,Income,LoanAmount,CreditScore,EmploymentYears,Dependents,Married,OwnHouse,DefaultedBefore,Date,Approved
127,51,85826,11388,712,36,1,1,1,1,2015-05-07,1
128,50,59080,14114,331,9,0,0,1,0,2015-05-08,0
129,65,76879,49503,531,37,0,1,1,0,2015-05-09,0
130,40,148461,4148,504,37,0,0,1,1,2015-05-10,0
131,41,89215,5621,534,13,3,0,0,0,2015-05-11,0
132,54,73062,4006,739,34,1,1,0,1,2015-05-12,1
133,52,122955,9757,744,19,0,1,0,0,2015-05-13,1
134,61,85888,35556,439,7,0,0,0,1,2015-05-14,0
135,57,135951,43959,793,1,3,0,1,1,2015-05-15,0
136,39,38210,40596,372,14,4,0,1,1,2015-05-16,0
137,44,57146,25049,622,5,2,1,1,1,2015-05-17,1
138,52,117728,34713,419,15,0,0,0,0,2015-05-18,0
139,18,136293,41616,426,14,3,0,0,1,2015-05-19,0
140,52,113948,32835,401,11,0,0,1,0,2015-05-20,0
141,54,56166,29030,529,28,0,0,0,1,2015-05-21,0
142,64,139239,30312,741,16,4,1,0,1,2015-05-22,0
143,31,23006,9699,515,22,3,1,0,1,2015-05-23,0
144,20,21004,21609,437,9,0,0,0,1,2015-05-24,0
145,18,67580,22575,759,37,3,1,0,0,2015-05-25,1
146,22,25967,48870,663,21,2,0,0,0,2015-05-26,0
147,43,91964,38516,669,14,3,1,0,1,2015-05-27,0
148,31,54846,45005,680,30,2,0,0,0,2015-05-28,0
149,56,38879,25062,350,2,3,1,1,0,2015-05-29,0
150,44,22261,39013,335,1,3,0,0,1,2015-05-30,0
151,26,48340,39650,809,8,0,0,0,1,2015-05-31,0
152,32,87273,43488,503,24,0,0,0,1,2015-06-01,0
153,32,52323,5609,507,31,2,1,0,1,2015-06-02,0
154,43,55864,24006,432,24,1,1,0,1,2015-06-03,0
155,59,27927,2033,507,2,4,0,1,0,2015-06-04,0
156,30,84884,38334,430,3,3,0,1,1,2015-06-05,0
157,68,55212,41309,723,18,4,0,1,0,2015-06-06,0
158,49,102256,12037,674,10,2,1,0,0,2015-06-07,1
159,56,104903,9927,566,2,4,1,0,1,2015-06-08,0
160,66,61927,8232,345,24,3,0,0,0,2015-06-09,0
161,69,141686,35924,796,34,1,1,1,0,2015-06-10,0
162,49,74150,32019,326,22,4,0,1,0,2015-06-11,0
163,21,127167,47121,583,3,2,1,0,1,2015-06-12,0
164,47,78647,24810,360,31,3,1,1,1,2015-06-13,0
165,54,33056,40534,720,4,2,1,1,0,2015-06-14,0
166,40,30862,23941,334,12,3,1,0,0,2015-06-15,0
167,56,30798,5123,574,30,1,1,0,1,2015-06-16,0
168,62,126491,3610,608,2,4,0,0,1,2015-06-17,1
169,32,79058,29018,509,23,3,1,0,0,2015-06-18,0
170,60,71747,13500,784,24,0,0,0,1,2015-06-19,1
171,46,55738,37476,467,8,1,1,1,0,2015-06-20,0
172,53,121573,28404,597,15,4,0,1,0,2015-06-21,0
173,30,79945,46209,769,38,0,1,1,0,2015-06-22,0
174,49,102398,20303,404,10,4,0,0,1,2015-06-23,0
175,24,37227,1157,590,12,1,0,1,0,2015-06-24,0
176,68,54393,16255,393,28,2,0,1,1,2015-06-25,0
177,39,103800,44301,743,2,3,0,0,1,2015-06-26,0
178,45,146531,31056,673,35,0,1,0,1,2015-06-27,0
179,19,79461,4437,477,30,3,0,0,0,2015-06-28,0
180,59,77848,12023,787,6,2,1,1,1,2015-06-29,1
181,62,44685,22101,354,4,2,0,1,0,2015-06-30,0
182,23,111517,44241,483,22,4,1,1,0,2015-07-01,0
183,45,139180,11416,403,13,3,0,1,1,2015-07-02,0
184,45,23480,34406,449,8,2,0,0,0,2015-07-03,0
185,61,126846,1051,642,26,2,1,1,1,2015-07-04,1
186,61,144437,41751,577,5,4,1,0,1,2015-07-05,0
187,37,35860,1329,662,37,4,0,0,0,2015-07-06,0
188,47,88578,12857,748,0,4,0,1,0,2015-07-07,1
189,28,137524,9976,752,31,0,0,0,0,2015-07-08,1
190,45,77230,49680,508,33,2,0,0,0,2015-07-09,0
191,42,77026,16157,781,13,4,0,1,1,2015-07-10,1
192,56,26564,25871,778,18,0,0,0,1,2015-07-11,0
193,50,40012,32518,717,11,4,1,1,1,2015-07-12,0
194,18,74169,17729,634,19,0,0,1,0,2015-07-13,1
195,44,128537,35969,821,32,3,0,1,1,2015-07-14,0
196,69,110222,27955,536,36,2,0,0,0,2015-07-15,0
197,30,114416,8313,433,28,4,1,0,0,2015-07-16,0
198,58,46341,18889,624,24,1,1,1,0,2015-07-17,1
199,20,76758,4874,729,20,1,0,0,1,2015-07-18,1
200,56,103121,30050,647,15,0,0,1,1,2015-07-19,0
201,23,129474,20831,382,29,2,0,1,0,2015-07-20,0
202,25,66841,11186,464,28,4,1,0,1,2015-07-21,0
203,44,112584,4956,506,28,4,0,1,0,2015-07-22,0
204,26,63335,41989,791,20,3,1,0,1,2015-07-23,0
205,54,75155,40409,415,6,3,1,1,0,2015-07-24,0
206,50,118314,21042,665,8,4,0,1,0,2015-07-25,1
207,68,101147,19925,584,34,4,1,1,1,2015-07-26,0
208,59,49527,11803,354,1,4,0,1,0,2015-07-27,0
209,61,115466,45227,769,32,1,1,1,0,2015-07-28,0
210,41,68775,7883,610,20,1,1,0,0,2015-07-29,1
211,32,145181,20593,722,20,3,1,1,0,2015-07-30,1
212,49,128085,11234,318,28,3,1,1,1,2015-07-31,0
213,49,70653,21257,846,5,2,0,0,0,2015-08-01,1
214,41,44704,22694,811,1,3,0,1,0,2015-08-02,1
215,58,126209,2503,540,18,0,0,1,1,2015-08-03,0
216,69,121907,1177,355,30,0,1,1,0,2015-08-04,0
217,66,138883,48515,591,24,3,0,0,1,2015-08-05,0
218,66,53057,31058,826,1,0,0,1,1,2015-08-06,0
219,69,123992,49676,481,35,4,0,1,0,2015-08-07,0
220,29,27393,43704,307,3,0,1,1,1,2015-08-08,0
221,56,95404,38666,824,14,0,1,0,0,2015-08-09,0
222,19,131740,32164,624,13,0,0,0,1,2015-08-10,0
223,20,60373,27964,773,18,3,1,0,1,2015-08-11,1
224,66,111956,30471,366,3,1,1,0,1,2015-08-12,0
225,54,130131,6345,819,16,2,0,1,1,2015-08-13,1
226,66,104613,47087,325,29,4,1,1,0,2015-08-14,0
227,34,79171,27575,787,16,0,0,0,0,2015-08-15,1
228,66,49336,7050,650,31,4,1,0,1,2015-08-16,1
229,19,78714,26110,382,33,0,1,0,1,2015-08-17,0
230,19,32985,41956,474,14,4,1,1,0,2015-08-18,0
231,45,32014,1734,447,16,3,0,0,0,2015-08-19,0
232,40,28374,39236,344,30,1,1,1,1,2015-08-20,0
233,54,135038,41210,712,11,1,1,1,0,2015-08-21,0
234,49,105506,47892,310,32,4,1,0,0,2015-08-22,0
235,50,42299,42507,812,13,4,1,0,1,2015-08-23,0
236,18,111513,49816,556,17,1,0,0,1,2015-08-24,0
237,36,47331,49827,752,14,1,1,1,1,2015-08-25,0
238,19,25584,34079,354,7,3,1,1,0,2015-08-26,0
239,61,32965,42928,794,22,2,1,0,0,2015-08-27,0
240,43,104769,36042,835,3,1,0,0,0,2015-08-28,0
241,49,40819,44776,528,36,3,1,0,0,2015-08-29,0
242,23,146092,38984,419,31,1,1,0,0,2015-08-30,0
243,49,48782,1720,585,27,0,1,1,0,2015-08-31,0
244,21,124708,9012,510,37,2,1,1,1,2015-09-01,0
245,28,130463,19692,466,17,0,1,1,0,2015-09-02,0
246,34,99035,45088,339,1,1,1,0,1,2015-09-03,0
247,55,105847,12945,614,23,0,0,0,1,2015-09-04,1
248,41,108434,49517,539,13,1,0,1,0,2015-09-05,0
249,22,80773,48956,608,34,2,1,0,0,2015-09-06,0
250,69,43824,44576,384,30,0,1,0,0,2015-09-07,0
251,51,140504,30565,578,0,1,0,1,1,2015-09-08,0
252,23,34110,5198,500,26,0,0,0,1,2015-09-09,0
253,39,67707,43095,441,20,3,0,0,1,2015-09-10,0
254,28,108512,18202,842,38,2,0,1,0,2015-09-11,1
255,65,25825,47852,817,4,3,0,0,0,2015-09-12,0
256,33,23488,21849,758,17,1,0,1,1,2015-09-13,0
257,50,87431,40743,535,17,3,0,0,0,2015-09-14,0
258,26,88444,18433,768,6,4,1,1,1,2015-09-15,1
259,23,86947,46892,573,34,2,0,1,1,2015-09-16,0
260,33,25457,34695,643,34,3,0,0,0,2015-09-17,0
261,46,97110,33007,421,18,2,0,1,0,2015-09-18,0
262,20,128439,12784,625,26,0,0,0,1,2015-09-19,1
263,37,138687,2845,845,2,1,1,0,0,2015-09-20,1
264,53,58216,49347,499,15,1,0,1,0,2015-09-21,0
265,36,113230,28075,586,8,1,1,0,0,2015-09-22,0
266,43,28847,13994,679,39,3,0,1,0,2015-09-23,0
267,20,108212,31632,557,23,2,0,0,0,2015-09-24,0
268,36,61309,14481,497,28,3,0,1,0,2015-09-25,0
269,37,34658,31090,381,14,3,0,0,1,2015-09-26,0
270,49,108928,32855,376,8,2,1,1,0,2015-09-27,0
271,24,146878,41924,741,16,0,0,1,1,2015-09-28,0
272,69,37527,32614,563,28,3,1,0,0,2015-09-29,0
273,58,49676,19311,588,25,2,1,1,0,2015-09-30,0
274,50,36781,18069,737,37,0,0,0,1,2015-10-01,0
275,57,20645,27590,630,29,1,1,1,1,2015-10-02,0
276,56,117476,7723,434,26,2,0,0,1,2015-10-03,0
277,35,98236,27257,324,33,1,0,0,0,2015-10-04,0
278,57,43990,1138,702,39,2,1,1,0,2015-10-05,1
279,18,106052,39106,615,13,1,1,0,1,2015-10-06,0
280,28,38618,16762,719,4,3,0,1,0,2015-10-07,0
281,45,81859,42457,492,3,3,0,0,0,2015-10-08,0
282,42,96500,34816,402,32,4,1,0,1,2015-10-09,0
283,67,78827,42365,789,33,2,1,0,0,2015-10-10,0
284,40,117389,6371,782,29,3,0,0,1,2015-10-11,1
285,48,145114,19134,822,22,0,1,1,0,2015-10-12,1
286,47,116726,44453,601,14,1,1,1,0,2015-10-13,0
287,59,148077,8049,391,5,3,1,1,0,2015-10-14,0
288,52,144863,28443,370,29,1,1,1,0,2015-10-15,0
289,24,21962,43060,377,37,3,1,0,0,2015-10-16,0
290,33,148373,17863,640,12,3,0,0,0,2015-10-17,1
291,43,135497,29955,561,35,1,1,1,0,2015-10-18,0
292,65,59241,2709,783,39,2,0,0,1,2015-10-19,1
293,69,146076,24700,458,5,3,0,0,1,2015-10-20,0
294,66,60251,6262,413,17,4,1,0,1,2015-10-21,0
295,19,82397,15978,518,35,4,0,0,0,2015-10-22,0
296,18,89951,39224,322,24,4,0,0,1,2015-10-23,0
297,65,75770,29768,645,3,1,0,1,0,2015-10-24,1
298,29,134152,16623,335,23,0,1,0,0,2015-10-25,0
299,22,51545,27489,484,24,0,0,1,0,2015-10-26,0
300,54,28705,2369,846,21,2,0,0,1,2015-10-27,0
301,49,143213,44393,349,0,1,0,1,0,2015-10-28,0
302,26,115302,40076,750,3,1,1,0,0,2015-10-29,0
303,58,30704,8563,545,36,4,1,0,0,2015-10-30,0
304,52,52119,34298,469,26,0,1,0,1,2015-10-31,0
305,36,48671,40706,448,37,1,0,1,1,2015-11-01,0
306,65,41203,44457,457,32,0,0,1,0,2015-11-02,0
307,33,101927,2551,337,6,2,1,0,0,2015-11-03,0
308,20,140503,40425,341,5,4,1,0,0,2015-11-04,0
309,37,112115,34385,325,12,0,0,0,1,2015-11-05,0
310,41,32451,19448,770,29,0,0,0,0,2015-11-06,0
311,50,44516,13491,392,13,1,1,0,1,2015-11-07,0
312,41,131372,16366,791,19,0,1,1,0,2015-11-08,1
313,69,140102,10928,703,39,1,0,0,0,2015-11-09,1
314,28,116613,31253,758,12,1,0,1,0,2015-11-10,0
315,66,95856,42993,433,1,4,0,1,1,2015-11-11,0
316,25,149797,35560,838,29,3,0,1,0,2015-11-12,0
317,53,78642,29296,521,26,2,1,0,0,2015-11-13,0
318,55,65976,3236,379,36,0,1,1,0,2015-11-14,0
319,57,39330,8599,716,6,1,0,1,0,2015-11-15,0
320,37,107656,11525,506,21,2,1,1,1,2015-11-16,0
321,52,54612,25903,779,39,2,0,1,0,2015-11-17,1
322,65,138299,34462,640,39,4,1,1,1,2015-11-18,0
323,42,133561,16882,403,15,0,1,1,0,2015-11-19,0
324,52,51790,36696,453,36,3,0,0,0,2015-11-20,0
325,42,125863,11675,415,19,1,1,1,0,2015-11-21,0
326,46,149848,38854,774,20,3,0,0,0,2015-11-22,0
327,35,142872,14802,747,12,4,0,1,1,2015-11-23,1
328,63,107606,42290,615,34,4,0,1,0,2015-11-24,0
329,35,39449,26350,332,17,0,1,0,0,2015-11-25,0
330,19,94830,24477,822,23,2,0,1,0,2015-11-26,1
331,52,52256,30782,807,15,3,1,0,1,2015-11-27,0
332,33,118983,2055,469,30,3,1,0,1,2015-11-28,0
333,58,27190,27941,310,28,4,0,0,0,2015-11-29,0
334,53,123651,28790,687,0,1,1,0,1,2015-11-30,1
335,50,65493,20409,346,33,0,1,0,1,2015-12-01,0
336,21,31561,10307,564,28,0,1,1,1,2015-12-02,0
337,50,40431,5284,469,14,2,1,0,1,2015-12-03,0
338,31,49617,38965,469,0,2,0,1,1,2015-12-04,0
339,38,33571,26420,428,23,0,1,1,1,2015-12-05,0
340,65,129319,40351,432,17,2,1,0,0,2015-12-06,0
341,37,116931,33885,411,32,3,1,1,1,2015-12-07,0
342,25,20009,15359,397,4,0,0,1,0,2015-12-08,0
343,24,134291,8707,781,30,3,0,0,0,2015-12-09,1
344,20,130749,14066,411,18,4,1,1,1,2015-12-10,0
345,34,100739,47834,316,21,1,1,0,1,2015-12-11,0
346,50,63791,12227,657,25,1,1,1,1,2015-12-12,1
347,65,148157,47805,462,6,1,0,0,0,2015-12-13,0
348,29,141151,15032,401,29,1,1,0,0,2015-12-14,0
349,68,146827,41568,410,39,0,1,1,0,2015-12-15,0
350,39,90857,42171,717,24,2,0,1,1,2015-12-16,0
351,39,73368,2600,671,36,1,0,0,1,2015-12-17,1
352,63,95914,47507,681,17,0,0,0,0,2015-12-18,0
353,47,143553,28711,542,1,3,0,0,1,2015-12-19,0
354,55,68847,30704,675,33,1,1,1,1,2015-12-20,0
355,55,142422,9223,657,23,4,1,1,1,2015-12-21,1
356,62,93042,47361,496,28,3,1,1,1,2015-12-22,0
357,68,95755,6949,311,9,2,1,1,1,2015-12-23,0
358,25,115491,38484,565,30,3,1,1,0,2015-12-24,0
359,44,54224,28817,713,6,1,1,1,1,2015-12-25,1
360,44,118347,49303,758,33,4,1,0,0,2015-12-26,0
361,51,60094,34669,631,28,0,0,1,0,2015-12-27,0
362,38,147791,39773,710,37,3,1,1,1,2015-12-28,0
363,47,82818,27879,447,28,3,1,0,1,2015-12-29,0
364,50,114305,45829,326,22,4,1,1,0,2015-12-30,0
365,45,146489,41086,501,10,2,1,0,0,2015-12-31,0
366,64,30086,27726,646,21,4,1,0,0,2016-01-01,0
367,50,113893,12224,717,1,2,1,1,1,2016-01-02,1
368,22,60544,32884,661,3,3,0,0,1,2016-01-03,0
369,65,112398,17024,706,32,3,1,0,0,2016-01-04,1
370,36,139258,37112,315,13,2,1,1,1,2016-01-05,0
371,21,38955,44627,477,12,2,1,1,0,2016-01-06,0
372,52,67660,21506,835,10,0,0,1,0,2016-01-07,1
373,66,144295,13421,619,0,4,1,0,0,2016-01-08,1
374,34,93736,10806,518,20,1,0,1,1,2016-01-09,0
375,61,91168,49495,375,32,2,0,1,1,2016-01-10,0
376,45,99236,30399,780,18,1,0,0,0,2016-01-11,0
377,47,54630,5810,653,1,4,1,1,1,2016-01-12,1
378,46,70385,9668,535,37,1,0,1,1,2016-01-13,0
379,63,105045,36783,524,20,4,1,0,0,2016-01-14,0
380,23,24711,28511,839,15,2,0,0,0,2016-01-15,0
381,52,50871,24753,394,34,1,1,1,0,2016-01-16,0
382,58,22457,12578,521,6,0,0,0,0,2016-01-17,0
383,54,142889,4081,435,39,1,1,0,0,2016-01-18,0
384,41,96732,41192,794,3,3,0,0,0,2016-01-19,0
385,46,98375,15060,485,35,0,0,1,1,2016-01-20,0
386,66,59467,29211,558,14,2,1,0,0,2016-01-21,0
387,63,33167,11966,446,27,2,1,1,1,2016-01-22,0
388,48,93995,23673,568,30,0,1,1,1,2016-01-23,0
389,52,27157,49982,496,19,3,1,1,1,2016-01-24,0
390,50,130357,17132,566,26,3,1,1,0,2016-01-25,0
391,69,22714,45927,649,19,4,1,1,1,2016-01-26,0
392,38,106466,25559,488,10,4,0,0,0,2016-01-27,0
393,49,47217,20813,603,25,2,0,1,0,2016-01-28,1
394,40,60132,16221,806,0,1,1,1,0,2016-01-29,1
395,50,116653,16732,393,27,3,1,1,1,2016-01-30,0
396,20,100792,24654,352,19,1,1,0,0,2016-01-31,0
397,35,76371,22203,469,35,3,1,0,1,2016-02-01,0
398,42,130302,17220,331,0,0,0,1,1,2016-02-02,0
399,59,76788,37911,417,30,3,0,1,1,2016-02-03,0
400,48,29583,44110,537,2,1,1,0,1,2016-02-04,0
401,20,109461,35015,762,16,0,0,1,0,2016-02-05,0
402,57,62042,41747,441,36,4,1,1,1,2016-02-06,0
403,63,110405,5206,337,10,3,0,0,0,2016-02-07,0
404,41,97807,42281,665,12,4,1,1,0,2016-02-08,0
405,67,88371,45671,489,34,0,0,0,0,2016-02-09,0
406,49,28013,5858,712,4,0,1,0,1,2016-02-10,0
407,64,142643,8153,575,17,1,0,1,0,2016-02-11,0
408,39,98775,36992,600,17,4,1,0,0,2016-02-12,0
409,40,49540,28564,680,27,3,1,0,0,2016-02-13,1
410,19,56973,11006,442,11,1,0,0,1,2016-02-14,0
411,44,132157,23504,419,25,3,1,1,0,2016-02-15,0
412,59,87690,8080,525,27,1,1,0,1,2016-02-16,0
413,19,107028,43400,330,28,1,1,1,0,2016-02-17,0
414,43,128840,41824,324,36,1,0,0,0,2016-02-18,0
415,34,89459,23811,803,30,3,1,0,1,2016-02-19,1
416,57,51558,30447,813,33,3,0,0,1,2016-02-20,0
417,50,128350,26312,429,3,1,1,0,1,2016-02-21,0
418,26,108004,30437,480,5,4,1,1,1,2016-02-22,0
419,60,60030,2180,749,27,0,0,0,0,2016-02-23,1
420,65,56636,18263,522,21,4,1,1,1,2016-02-24,0
421,56,89326,40607,844,16,3,1,0,1,2016-02-25,0
422,46,129528,20236,771,35,3,1,0,1,2016-02-26,1
423,59,110956,36730,417,30,2,1,0,0,2016-02-27,0
424,43,79051,13279,684,30,2,0,0,1,2016-02-28,1
425,52,117751,4506,389,39,4,1,0,0,2016-02-29,0
426,67,83566,24892,665,32,3,0,0,0,2016-03-01,1
427,42,71159,9439,704,29,2,1,1,1,2016-03-02,1
428,41,86809,20362,607,19,3,0,0,1,2016-03-03,1
429,30,76025,35265,359,23,1,0,1,0,2016-03-04,0
430,24,147314,27741,816,36,0,0,1,1,2016-03-05,1
431,53,46680,21571,648,25,0,1,1,1,2016-03-06,1
432,62,129463,13245,326,23,4,1,1,1,2016-03-07,0
433,37,32434,22327,839,29,4,1,1,1,2016-03-08,0
434,18,82185,18931,663,26,0,1,0,1,2016-03-09,1
435,25,66096,31235,313,5,0,1,1,1,2016-03-10,0
436,63,67471,19374,574,10,0,0,0,1,2016-03-11,0
437,33,76004,32703,684,14,4,1,1,0,2016-03-12,0
438,31,94940,4146,547,12,1,0,1,0,2016-03-13,0
439,29,60579,15414,617,37,3,1,1,1,2016-03-14,1
440,68,30487,2746,328,33,0,0,0,0,2016-03-15,0
441,40,95925,32414,467,16,4,0,1,1,2016-03-16,0
442,32,114921,49206,546,20,4,1,1,1,2016-03-17,0
443,45,80628,20144,562,0,2,1,0,0,2016-03-18,0
444,51,120568,29876,383,15,4,1,1,1,2016-03-19,0
445,19,68133,7961,550,22,4,1,1,0,2016-03-20,0
446,49,116925,38404,629,38,2,1,1,1,2016-03-21,0
447,40,133500,26401,650,2,1,1,0,0,2016-03-22,1
