ID,Age,Income,LoanAmount,CreditScore,EmploymentYears,FamilySize,OwnsCar,OwnsPropertyBefore,OwnsHouse
112,52,99854,164747,440,33,6,0,1,1
113,24,191528,344607,687,8,7,0,0,1
114,61,161409,383594,675,1,8,1,0,1
115,58,162095,323680,581,35,3,0,1,1
116,60,98406,377135,386,5,4,0,1,1
117,47,123326,291806,649,39,5,1,1,1
118,26,125888,26592,484,26,1,0,1,1
119,28,80916,7421,507,12,1,1,1,1
120,27,198692,286071,670,22,1,0,1,1
121,31,34274,173242,815,23,4,0,0,1
122,53,105285,316691,500,1,7,1,0,0
123,52,44398,113256,575,22,8,0,0,0
124,67,101506,385892,395,18,4,1,0,1
125,42,50135,6948,364,21,7,1,1,1
126,43,132096,378407,628,2,6,1,1,1
127,56,147843,213110,595,26,1,0,0,1
128,54,31412,365500,467,39,6,0,0,0
129,63,166365,108087,527,4,8,1,1,1
130,59,164266,374541,781,12,2,1,0,1
131,41,133283,388259,706,23,6,1,0,1
132,46,111182,203,748,30,6,1,0,1
133,54,114301,474457,719,31,8,1,0,1
134,20,57219,63521,355,14,7,1,1,1
135,54,55507,461317,648,35,3,0,1,1
136,56,76591,164397,514,27,8,0,1,1
137,66,107468,472780,642,31,1,1,0,1
138,33,190631,36470,469,22,9,0,1,1
139,22,109836,256405,646,34,4,0,1,1
140,20,108765,237922,626,26,6,0,0,1
141,24,157939,85074,640,10,7,1,0,1
142,45,94644,145380,728,13,1,1,1,1
143,33,23943,83094,674,26,8,0,0,1
144,58,166595,51313,675,19,6,1,1,1
145,46,121764,26175,331,12,6,1,1,1
146,28,87028,41567,737,16,8,1,1,1
147,34,187461,5291,363,33,4,0,0,1
148,34,159990,8202,689,31,2,1,0,1
149,45,197682,452163,595,30,4,0,1,1
150,61,196893,57660,469,20,6,1,1,1
151,32,46185,232011,504,33,6,1,0,0
152,51,41402,20023,755,14,4,0,1,1
153,58,114860,348850,489,27,3,1,1,1
154,68,180648,348222,757,20,3,1,1,1
155,51,43134,490726,756,6,2,1,0,1
156,23,50505,65309,300,24,9,0,1,1
157,49,135250,446473,396,21,9,0,0,1
158,56,21268,225778,342,14,1,0,1,1
159,42,91097,265175,312,27,4,1,0,1
160,58,75197,338838,438,23,6,1,1,1
161,64,162343,144896,794,8,2,1,1,1
162,34,122958,341551,539,31,5,0,1,1
163,62,137859,380803,776,14,3,1,1,1
164,48,27512,259958,795,10,7,1,1,1
165,55,83968,80027,550,32,7,1,1,1
166,32,141534,452779,410,11,1,1,0,1
167,51,80757,479468,849,5,9,0,1,1
168,26,172494,99444,516,26,9,0,0,1
169,41,127753,151362,403,19,6,0,0,1
170,47,150282,254191,826,1,4,0,0,1
171,21,116381,149889,697,12,9,1,1,1
172,61,163836,198248,313,8,3,0,0,1
173,64,172236,127545,679,10,9,0,0,1
174,25,128915,323333,451,6,5,0,0,1
175,47,86679,32937,589,24,7,0,0,1
176,47,180285,329488,407,6,2,0,1,1
177,63,92239,303524,647,21,6,0,1,1
178,63,114386,141227,345,26,9,1,1,1
179,39,161878,492566,760,31,1,1,0,1
180,49,158166,338215,315,11,8,1,0,1
181,30,36158,445652,321,18,6,0,1,1
182,47,134523,405163,514,27,9,0,0,1
183,44,47209,52382,759,11,2,0,1,1
184,58,33763,489035,468,18,7,0,1,1
185,52,187328,157916,833,35,4,0,0,1
186,20,62105,231657,388,13,8,0,1,1
187,46,120408,391035,538,18,2,0,1,1
188,32,105776,62348,344,34,6,1,1,1
189,60,123423,467417,393,28,8,1,1,1
190,22,164582,152032,740,36,8,0,0,1
191,58,138747,128097,494,4,5,1,1,1
192,25,87344,30483,811,16,5,0,0,1
193,27,172936,11950,738,27,6,1,1,1
194,46,85945,365321,527,34,8,1,0,1
195,28,151717,141504,805,9,5,0,1,1
196,56,81264,187187,737,2,8,1,1,1
197,52,103471,266558,825,6,2,0,1,1
198,61,164998,390812,449,24,6,0,0,1
199,63,140050,117173,698,16,6,0,1,1
200,43,152185,213629,627,23,8,0,0,1
201,34,69213,241749,835,19,6,0,1,1
202,51,176883,105009,725,30,5,1,0,1
203,51,155664,497216,339,18,4,1,1,1
204,43,132695,163079,626,29,2,1,0,1
205,60,44552,289016,692,4,7,0,0,0
206,68,81898,62216,781,9,4,0,1,1
207,68,72118,77846,427,24,9,0,1,1
208,31,39744,301819,726,14,6,1,1,1
209,58,42046,383187,523,20,7,0,1,1
210,21,101365,183201,832,15,2,0,0,1
211,22,127908,124431,773,28,7,0,0,1
212,68,84932,404726,360,37,9,0,0,1
213,56,146464,47061,589,27,7,0,1,1
214,68,128229,456188,407,36,8,1,1,1
215,36,43084,144621,497,7,9,0,1,1
216,68,56398,393917,716,14,7,0,0,1
217,21,117219,281599,762,31,9,0,0,1
218,21,183549,8918,386,15,4,1,1,1
219,47,156272,330304,626,23,7,0,0,1
220,42,128987,8141,761,15,1,0,1,1
221,56,22039,308915,352,7,9,1,1,1
222,51,109374,68208,737,14,4,0,0,1
223,52,119611,19493,555,14,7,1,0,1
224,20,157706,476025,653,5,4,1,0,1
225,38,84899,12199,599,15,5,1,0,1
226,21,21724,440689,434,10,1,1,0,0
227,63,107590,189191,649,0,4,0,0,1
228,45,153527,282399,534,18,8,1,0,1
229,51,132966,116263,345,13,1,1,0,1
230,25,92628,468673,461,39,9,1,1,1
231,51,177684,455087,601,9,3,0,0,1
232,23,60456,290060,796,6,3,0,1,1
233,30,62773,264314,830,17,5,0,1,1
234,36,154133,154650,790,1,4,1,1,1
235,57,183073,18093,329,10,9,1,0,1
236,43,30586,59974,563,36,7,1,1,1
237,24,114479,237570,385,7,8,0,1,1
238,53,95012,13140,573,5,7,0,1,1
239,25,110507,56636,387,39,1,0,0,1
240,41,154835,324679,407,25,1,1,0,1
241,30,65209,462784,351,37,3,1,1,1
242,67,175150,217232,665,13,6,1,1,1
243,35,78434,236953,819,27,6,1,1,1
244,52,55656,66844,696,33,5,1,0,1
245,28,155078,108615,462,16,7,1,0,1
246,25,37470,141221,493,12,9,1,0,0
247,35,92035,449714,647,29,6,0,0,1
248,48,119608,5162,772,0,7,0,1,1
249,22,96840,206023,684,37,1,1,1,1
250,39,115771,355079,478,6,1,0,1,1
251,55,173966,422296,641,6,5,0,1,1
252,38,168470,146665,498,37,5,0,0,1
253,45,65332,373097,325,9,2,0,0,0
254,22,140536,488949,650,37,9,0,0,1
255,38,97533,136315,774,26,5,0,0,1
256,39,181852,158006,476,34,1,1,1,1
257,51,193158,288940,729,2,2,1,1,1
258,26,177578,207322,444,17,7,0,0,1
259,60,150194,210133,743,1,2,0,1,1
260,52,128618,6978,768,19,2,0,1,1
261,59,123424,334648,488,23,3,1,1,1
262,58,115596,359984,360,26,6,0,0,1
263,37,71020,451637,347,9,7,0,0,0
264,59,165057,384942,689,5,4,0,0,1
265,20,122416,392895,824,6,5,1,0,1
266,30,142610,423408,712,10,3,0,1,1
267,47,152534,430615,362,19,7,1,0,1
268,44,44082,227901,717,24,7,0,1,1
269,69,152937,91936,639,1,6,1,1,1
270,42,56777,334434,405,5,3,1,0,0
271,50,162394,217895,629,2,9,0,0,1
272,49,178834,20636,536,1,4,1,1,1
273,61,34538,334855,579,23,9,0,1,1
274,54,77125,104906,686,12,7,1,1,1
275,26,110583,132367,327,4,7,1,1,1
276,35,154249,83834,699,4,7,1,0,1
277,45,47502,4512,556,2,6,1,0,0
278,67,149988,465215,680,34,4,0,0,1
279,68,39249,345342,789,33,7,0,0,1
280,21,23197,458378,526,1,4,1,1,0
281,20,55229,345244,827,22,1,1,0,1
282,67,44166,496944,500,13,7,1,0,0
283,31,159764,175212,714,16,4,1,1,1
284,24,126298,161879,604,22,9,0,1,1
285,56,21775,305857,415,7,2,1,0,0
286,51,52656,83972,792,38,1,0,0,1
287,28,20606,449239,399,12,5,1,1,1
288,60,77281,173492,479,14,7,0,0,0
289,54,27375,427563,584,6,5,0,0,0
290,38,150708,292078,418,24,7,0,1,1
291,67,147325,193670,403,35,6,1,0,1
292,35,20819,357342,500,2,6,1,0,0
293,22,96992,276445,384,9,5,0,0,1
294,39,182445,18943,787,32,9,1,0,1
295,43,151855,37445,566,23,5,0,0,1
296,52,27560,441156,447,35,6,1,1,1
297,43,49168,322126,373,13,2,0,1,1
298,30,175336,465306,484,8,3,1,1,1
299,68,146625,364130,514,12,9,1,0,1
300,27,119436,336437,727,7,1,0,0,1
301,55,98598,189640,518,34,6,0,0,1
302,57,197873,88445,614,28,7,0,0,1
303,59,95924,219926,536,33,6,0,0,1
304,39,198431,437433,546,23,5,1,1,1
305,54,179108,28304,348,36,4,0,1,1
306,67,25318,407156,826,10,4,1,1,1
307,44,74714,304726,750,35,6,1,1,1
308,54,50544,492845,641,5,9,1,0,0
309,44,40823,39526,438,26,7,0,1,1
310,48,124555,318766,819,4,5,0,1,1
311,37,36978,345564,336,33,7,1,0,0
312,65,179532,170298,831,32,9,1,0,1
313,37,195183,142950,555,25,9,1,0,1
314,21,154396,60844,321,36,2,0,0,1
315,54,142418,323949,834,13,3,1,0,1
316,35,154006,76861,333,33,8,1,1,1
317,60,25033,258869,533,29,3,1,0,0
318,55,125067,387196,477,8,5,1,0,1
319,52,157158,375754,346,34,5,0,0,1
320,23,188173,128369,771,30,6,1,0,1
321,52,195017,144012,735,13,7,0,1,1
322,33,38894,490763,806,14,4,1,1,1
323,40,24687,1537,771,33,9,1,0,1
324,67,153959,366633,324,0,7,0,0,0
325,39,154115,455861,485,7,1,1,0,1
326,27,169087,52234,513,37,6,0,1,1
327,26,37789,325871,372,32,6,1,0,0
328,22,76784,307568,353,26,3,0,0,0
329,36,26115,486989,490,1,6,1,1,0
330,52,48821,194965,315,27,1,0,0,0
331,67,42879,262356,818,1,1,0,1,1
332,31,137177,206956,454,35,6,1,1,1
333,41,69157,147632,434,37,1,0,1,1
334,41,183789,149540,641,6,6,1,1,1
335,65,80262,46883,360,38,8,0,1,1
336,49,60971,32746,617,2,8,0,1,1
337,57,121146,5808,568,11,2,0,0,1
338,57,141535,422457,614,7,4,0,0,1
339,64,112384,204034,510,11,5,1,0,1
340,27,175814,467905,316,7,8,0,1,1
341,46,132453,50138,554,10,8,1,0,1
342,46,120277,299168,827,28,8,0,0,1
343,53,46520,413694,740,1,7,1,0,0
344,40,34833,281489,496,33,8,1,0,0
345,49,81475,337839,525,27,9,0,0,1
346,52,28143,340042,318,22,8,0,1,1
347,47,109472,312518,375,33,5,0,1,1
348,66,122132,112676,419,11,1,0,1,1
349,52,107005,439985,804,29,3,0,0,1
350,24,68538,170531,752,20,2,0,1,1
351,67,83795,48922,744,9,2,1,0,1
352,38,123041,85909,322,9,1,0,1,1
353,23,102159,433438,421,29,2,1,1,1
354,54,143796,456103,539,4,2,1,1,1
355,68,97166,371125,406,24,7,0,1,1
356,36,168311,268095,603,24,1,0,1,1
357,63,178312,209605,537,3,3,1,1,1
358,47,121542,245493,569,23,2,0,0,1
359,49,20553,410996,843,12,8,1,1,1
360,48,175590,198452,667,22,5,1,1,1
361,65,128381,61237,399,16,1,1,1,1
362,25,33612,465845,483,29,3,1,1,1
363,54,96673,104672,376,3,6,1,1,1
364,60,84459,284614,477,34,2,1,0,1
365,56,45804,454533,489,20,3,1,0,0
366,43,61154,117567,564,2,6,1,0,0
367,48,191178,291509,477,19,8,1,0,1
368,68,130183,357952,404,13,9,1,1,1
369,65,160689,259686,554,17,9,0,0,1
370,50,166470,121261,419,32,6,1,0,1
371,54,22693,436197,713,17,1,1,1,1
372,52,50971,149673,449,30,2,1,0,0
373,40,146633,323583,354,27,9,1,1,1
374,51,100078,129647,385,6,3,1,1,1
375,42,94227,98027,451,35,9,1,0,1
376,52,98990,127068,343,35,2,1,1,1
377,22,106034,93770,706,35,6,1,1,1
378,37,105567,228827,492,20,3,1,0,1
379,44,60677,294823,336,37,9,0,0,0
380,61,88402,395549,399,1,9,1,0,0
381,50,118104,199702,597,33,6,1,1,1
382,22,42291,348939,512,3,4,1,1,0
383,59,48497,289270,570,7,8,0,0,0
384,65,135135,352859,493,39,4,0,0,1
385,43,51969,421533,768,30,2,1,1,1
386,69,193156,483450,413,17,6,1,1,1
387,51,167749,137830,317,18,5,0,0,1
388,66,50245,296207,467,26,7,0,0,0
389,41,73312,418973,317,20,8,0,1,1
390,42,186386,166467,506,25,1,0,0,1
391,21,28267,367904,553,20,3,1,1,1
392,46,59812,127416,808,3,2,1,1,1
393,61,154847,115552,759,8,6,0,1,1
394,21,145562,259323,789,3,2,1,1,1
395,45,96924,112283,843,38,1,0,0,1
396,36,45875,244180,362,34,7,0,1,1
397,59,115803,460494,693,15,1,0,0,1
398,52,67589,333337,439,16,2,1,0,0
399,28,23534,220796,390,6,1,0,1,1
400,62,190952,299533,830,2,9,1,0,1
401,67,169155,186040,706,35,9,0,0,1
402,58,81807,87694,310,35,1,0,0,1
403,48,71670,395279,604,36,1,1,0,1
404,61,95465,362788,680,14,8,0,0,1
405,45,74720,424186,502,37,2,1,1,1
406,54,193962,489226,731,16,8,1,0,1
407,69,190672,160522,579,6,6,1,0,1
408,44,192401,69792,594,3,7,0,1,1
409,43,117619,298241,564,9,2,0,1,1
410,32,23739,187936,812,16,4,1,0,1
411,26,171829,350082,410,14,1,1,1,1
412,55,53107,57683,322,17,3,1,1,1
413,64,153934,125216,820,22,7,1,0,1
414,39,102533,278297,793,14,8,0,0,1
415,20,37487,386032,698,27,4,0,0,1
416,27,48353,312097,686,17,5,1,0,1
417,65,28984,52301,556,12,5,0,0,0
418,35,43130,335283,524,35,8,1,0,0
419,33,93794,209756,617,25,4,1,1,1
420,31,188351,246721,507,12,7,1,0,1
421,42,60080,73969,430,5,9,0,1,0
422,34,32839,191431,315,24,5,0,0,0
423,47,118874,313242,459,28,5,0,0,1
424,53,61499,165319,773,35,6,1,1,1
425,21,150094,62278,711,39,7,1,1,1
426,51,156428,179402,646,29,7,1,1,1
427,42,102036,215411,475,19,5,1,0,1
428,41,95926,455910,731,36,2,1,1,1
429,44,49778,139869,567,15,4,1,1,1
430,41,125528,32757,718,25,8,0,0,1
431,41,83192,342502,446,21,2,0,0,1
432,68,105376,267440,811,19,4,1,1,1
433,61,148219,91438,692,22,7,1,0,1
434,25,49980,195220,844,6,3,0,1,1
435,34,186891,264084,456,18,6,0,0,1
436,62,34065,3270,494,25,4,0,1,1
437,56,145361,419027,485,33,9,1,1,1
438,52,30559,273724,543,25,2,0,0,0
439,27,144514,105840,402,23,5,0,0,1
440,63,93969,470770,526,31,8,1,1,1
441,63,159728,485261,399,39,3,1,1,1
442,24,63210,187283,632,12,7,0,0,1
443,58,51477,353796,523,2,3,1,1,0
444,23,126111,315550,362,13,5,1,0,1
445,25,49529,327357,509,6,6,1,1,1
446,64,38262,234039,535,10,8,1,0,0
447,51,85087,245175,665,36,9,1,1,1
448,49,188721,226699,635,36,4,1,0,1
449,66,71686,311489,714,24,9,0,0,1
450,54,193937,27161,542,6,4,1,1,1
451,59,187649,54339,736,36,3,0,1,1
452,35,94299,195101,712,38,7,1,1,1
453,32,133044,394721,379,34,5,0,1,1
454,69,56409,277476,356,39,8,0,1,1
455,61,179152,218387,720,8,5,1,1,1
456,49,179267,469697,638,8,8,1,1,1
457,38,166681,190060,544,0,9,0,1,1
458,36,39535,423330,421,25,5,1,1,1
459,38,143828,44366,395,27,3,1,0,1
460,47,155182,301874,442,36,8,1,1,1
461,45,129518,312047,483,23,8,1,0,1
462,56,158279,45325,639,35,1,1,0,1
463,45,68637,376118,574,0,6,0,1,0
464,42,184146,445347,736,16,5,0,1,1
465,28,192736,110448,409,38,6,0,1,1
466,31,94405,279348,591,11,9,0,0,1
467,20,63872,480949,703,37,2,1,0,1
468,20,32185,9205,754,36,4,0,0,1
469,66,126706,10686,653,38,2,1,1,1
470,53,171950,346845,775,28,4,1,1,1
471,51,21396,184299,594,13,5,1,1,1
472,67,23460,389561,641,37,1,0,0,1
473,44,122657,496794,724,34,9,0,0,1
474,59,196461,90625,742,10,9,1,0,1
475,64,27676,309716,736,17,6,0,1,1
476,20,57312,407411,746,9,7,1,1,1
477,35,154220,242765,797,8,3,0,1,1
478,58,163344,122458,841,8,5,1,1,1
479,24,22655,171476,610,28,3,0,0,1
480,41,194177,224534,512,11,2,1,1,1
481,48,75863,88738,756,38,1,1,1,1
482,22,81045,336189,696,15,4,0,1,1
483,31,65517,126063,729,10,5,0,0,1
484,45,94227,201031,674,1,2,1,0,1
485,35,194710,34874,812,17,5,1,1,1
486,56,94789,206795,813,2,7,1,0,1
487,41,74322,368319,591,31,6,0,1,1
488,48,121800,282459,472,38,9,0,0,1
489,33,140782,492456,777,39,6,0,0,1
490,47,155294,93088,466,31,6,0,1,1
491,24,71141,110816,354,6,8,0,0,0
492,66,30716,376456,742,34,9,1,0,1
493,68,80644,135549,559,39,4,0,1,1
494,49,145650,2382,822,13,6,0,1,1
495,65,108499,36681,795,0,6,0,0,1
496,24,152454,435504,321,37,8,0,1,1
497,31,155239,307969,492,6,4,1,0,1
498,35,137323,340098,353,33,7,1,1,1
499,45,123849,388758,814,0,2,0,1,1
500,45,101117,276681,779,13,9,0,1,1
501,67,111730,459538,823,27,7,0,1,1
502,40,199793,234216,307,20,1,1,0,1
503,58,179895,123153,599,26,9,0,0,1
504,55,80972,107170,420,26,6,0,1,1
505,52,94963,337128,595,7,7,0,1,1
506,49,74534,77749,641,12,6,0,0,1
507,56,187823,1018,846,36,8,0,0,1
508,42,136093,449979,723,36,6,1,1,1
509,29,44121,458730,621,38,1,0,0,1
510,24,91736,78472,422,23,5,0,1,1
511,55,173198,17630,317,12,5,1,1,1
512,53,81581,406877,333,19,3,0,1,1
513,50,46123,3300,311,13,1,0,0,0
514,29,71036,186291,576,3,7,0,0,0
515,38,150062,107441,359,14,6,1,0,1
516,51,98855,415755,773,24,1,1,0,1
517,20,166662,8410,565,0,2,1,0,0
518,24,197337,459604,827,4,2,1,0,1
519,64,42701,479536,704,13,6,1,0,1
520,23,61178,251567,360,36,4,0,0,0
521,35,125734,364277,598,14,2,0,0,1
522,43,57118,129562,315,6,1,1,0,0
523,35,45387,454901,310,11,5,1,0,0
524,21,77613,495501,511,2,8,0,1,0
525,68,66666,409782,676,19,7,1,1,1
526,47,190207,381416,699,10,3,1,0,1
527,51,49554,449141,460,19,3,1,0,0
528,46,139387,23948,385,29,4,0,1,1
529,39,62146,438786,772,38,1,0,0,1
530,43,120037,53183,460,21,1,1,1,1
531,31,164060,487639,803,30,8,0,1,1
532,69,36456,459999,442,30,3,0,1,1
533,54,139681,193636,620,36,6,0,0,1
534,52,142573,148343,415,6,4,0,1,1
535,52,180286,394823,843,24,6,1,0,1
536,62,81405,14690,591,33,7,1,0,1
537,56,162106,139926,399,11,8,0,1,1
538,31,20877,247503,611,30,2,1,0,1
539,22,82718,302947,430,37,2,1,1,1
540,20,78100,34504,441,14,8,0,0,0
541,52,29642,180006,779,1,9,1,1,1
542,59,120844,422713,759,31,1,1,0,1
543,29,70483,340497,546,34,7,0,1,1
544,62,85293,131696,394,24,6,0,0,1
545,63,95450,268469,845,21,8,0,0,1
546,48,116629,6942,522,12,3,0,0,1
547,32,133140,123365,335,11,4,1,1,1
548,31,69508,10559,843,10,8,1,0,1
549,50,127815,315177,812,21,2,0,1,1
550,65,151651,37924,794,33,4,0,0,1
551,21,32587,349294,531,22,3,0,0,0
552,69,86181,473057,630,2,4,0,1,1
553,54,199542,481006,374,15,3,1,0,1
554,42,167000,23144,619,2,4,1,1,1
555,36,112345,366405,424,17,1,1,0,1
556,45,63591,265059,490,4,8,1,0,0
557,27,51901,129782,782,27,5,0,0,1
558,48,113411,377037,375,39,5,1,0,1
559,45,159571,261631,351,33,5,0,1,1
560,29,151305,136552,729,35,4,0,0,1
561,45,168490,247127,504,39,7,0,0,1
562,53,79566,16736,494,17,7,0,0,0
563,60,35246,363378,730,27,3,1,1,1
564,26,189857,415529,717,2,1,1,1,1
565,23,123425,369521,575,11,8,1,0,1
566,69,133400,434130,367,34,2,0,1,1
567,64,54503,206364,340,14,2,1,1,1
568,30,155349,393588,726,29,6,0,1,1
569,48,86477,220802,370,33,3,0,1,1
570,55,151421,10385,602,15,7,0,0,1
571,44,112798,53076,340,34,2,0,0,1
572,40,93000,432028,791,25,2,1,1,1
573,55,164580,141875,504,3,1,1,0,0
574,29,117565,376180,712,2,4,0,0,1
575,56,130123,484393,580,28,6,1,1,1
576,28,87081,335155,558,34,5,0,1,1
577,43,136434,429475,329,24,7,0,1,1
578,54,48957,423134,402,17,1,1,1,1
579,68,158968,348039,357,15,6,1,0,1
580,54,125634,196575,815,25,5,0,1,1
581,67,155360,30927,755,8,1,0,0,1
582,55,176816,149205,702,18,7,1,0,1
583,37,41150,240766,313,8,5,0,0,0
584,68,107877,83969,660,14,1,1,1,1
585,58,130540,328242,510,36,9,0,0,1
586,51,125139,17294,789,1,2,1,0,1
587,43,41091,189799,678,30,1,0,0,1
588,42,151972,64528,365,16,7,0,0,1
589,51,66702,42636,691,10,1,1,0,1
590,56,39725,297141,338,4,5,0,0,0
591,31,48722,369023,363,38,7,0,0,0
592,68,175150,72930,422,17,3,1,0,1
593,32,38059,473752,509,33,8,0,1,1
594,42,38161,11977,405,16,1,0,1,1
595,44,110345,186476,538,35,3,1,0,1
596,54,30687,12874,802,18,8,1,1,1
597,60,102503,239520,771,38,4,0,0,1
598,49,119770,205389,794,39,4,1,0,1
599,36,28694,67169,634,37,1,0,0,1
600,68,190590,236693,603,5,5,1,0,1
601,39,147260,445867,673,23,9,0,0,1
602,67,119459,459395,478,39,3,0,0,1
603,44,181713,110955,332,38,3,1,0,1
604,41,191800,484505,739,32,6,1,0,1
605,32,70087,22144,559,13,8,0,0,0
606,38,194623,171017,657,3,5,1,1,1
607,68,127941,473699,821,20,6,1,1,1
608,55,76561,159745,473,13,8,0,1,1
609,31,25364,394780,494,22,6,0,1,1
610,60,97008,469912,328,16,4,1,1,1
611,38,155046,175574,487,35,5,0,1,1
612,31,44053,415733,486,12,2,0,1,1
613,28,191144,143740,432,17,7,1,0,1
614,26,152282,181213,302,5,8,1,1,1
615,47,192661,422715,649,33,4,0,0,1
616,33,125128,203864,339,15,1,1,0,1
617,50,58966,221964,819,39,9,1,0,1
618,38,46070,249511,407,9,8,1,0,0
619,66,129573,416417,483,34,7,1,0,1
620,35,126327,192290,673,18,6,1,0,1
621,24,162318,397821,737,20,1,0,1,1
622,54,170271,218702,383,26,6,0,0,1
623,31,59829,395814,561,39,1,0,0,0
624,44,81125,191017,373,38,1,1,1,1
625,40,125111,252883,608,38,8,0,1,1
626,55,125277,330986,581,27,7,0,1,1
627,42,20169,349397,352,22,4,1,0,0
628,35,113943,476952,771,8,8,1,0,1
629,58,112408,176118,824,26,4,1,1,1
630,64,164021,276109,786,4,5,0,0,1
